#    itr              mu            ntot            mtot            etot
       1      -31.961426        0.500244        0.250122      -17.553640
       2       -9.479629        0.499268       -0.123840       -6.457424
       3       -8.903591        0.500977        0.105408       -6.288945
       4       -8.878414        0.500854       -0.092041       -6.261708
       5       -8.877550        0.499146        0.079956       -6.233248
       6       -8.874361        0.500122       -0.069946       -6.233190
       7       -8.861853        0.500610        0.060913       -6.228388
       8       -8.865074        0.499390       -0.052979       -6.210883
       9       -8.858336        0.499878        0.047119       -6.212215
      10       -8.866726        0.499878       -0.041260       -6.208471
      11       -8.864636        0.500854        0.035400       -6.214357
      12       -8.862759        0.500366       -0.030029       -6.206106
      13       -8.861073        0.500854        0.025146       -6.209301
      14       -8.864373        0.499634       -0.022095       -6.196434
      15       -8.867339        0.499878        0.019043       -6.199540
      16       -8.860369        0.500854       -0.015869       -6.207194
      17       -8.868555        0.499146        0.013550       -6.190235
      18       -8.868689        0.500122       -0.011597       -6.200917
      19       -8.861582        0.500854        0.010254       -6.205784
      20       -8.864830        0.499634       -0.009155       -6.193702
      21       -8.872567        0.499146        0.008423       -6.190953
