#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-9.883485	-5.765641	-9.883480	-5.765637	-20.505915	-16.692958	12.126980	16.244824	12.126985	16.244828	11.497248	15.310206	
1	-9.883179	-5.765336	-9.880475	-5.762631	-20.501699	-16.688741	12.123974	16.241818	12.126679	16.244523	11.496646	15.309604	
2	-9.882276	-5.764433	-9.871445	-5.753602	-20.489053	-16.676095	12.114945	16.232789	12.125776	16.243620	11.494840	15.307798	
3	-9.880772	-5.762928	-9.856402	-5.738559	-20.467984	-16.655026	12.099902	16.217746	12.124272	16.242115	11.491831	15.304789	
4	-9.878667	-5.760824	-9.835355	-5.717512	-20.438505	-16.625548	12.078855	16.196699	12.122167	16.240011	11.487622	15.300579	
5	-9.875963	-5.758120	-9.808316	-5.690473	-20.400635	-16.587677	12.051816	16.169660	12.119463	16.237307	11.482213	15.295171	
6	-9.872662	-5.754818	-9.775302	-5.657458	-20.354395	-16.541437	12.018802	16.136645	12.116162	16.234005	11.475610	15.288568	
7	-9.868765	-5.750921	-9.736332	-5.618489	-20.299814	-16.486856	11.979832	16.097676	12.112265	16.230108	11.467815	15.280773	
8	-9.864275	-5.746431	-9.691431	-5.573587	-20.236925	-16.423967	11.934931	16.052774	12.107775	16.225618	11.458834	15.271792	
9	-9.859194	-5.741350	-9.640624	-5.522781	-20.165765	-16.352807	11.884124	16.001968	12.102694	16.220537	11.448672	15.261630	
10	-9.853526	-5.735682	-9.583944	-5.466100	-20.086377	-16.273419	11.827444	15.945287	12.097026	16.214869	11.437335	15.250293	
11	-9.847274	-5.729430	-9.521424	-5.403580	-19.998809	-16.185852	11.764924	15.882767	12.090773	16.208617	11.424830	15.237787	
12	-9.840441	-5.722598	-9.453101	-5.335258	-19.903115	-16.090157	11.696601	15.814445	12.083941	16.201785	11.411164	15.224122	
13	-9.833033	-5.715189	-9.379018	-5.261175	-19.799351	-15.986393	11.622518	15.740362	12.076532	16.194376	11.396346	15.209303	
14	-9.825052	-5.707209	-9.299219	-5.181376	-19.687580	-15.874622	11.542719	15.660563	12.068552	16.186396	11.380384	15.193342	
15	-9.816505	-5.698662	-9.213752	-5.095909	-19.567869	-15.754912	11.457252	15.575096	12.060005	16.177849	11.363289	15.176247	
16	-9.807396	-5.689553	-9.122669	-5.004826	-19.440291	-15.627334	11.366169	15.484013	12.050896	16.168740	11.345070	15.158028	
17	-9.797731	-5.679888	-9.026025	-4.908181	-19.304923	-15.491965	11.269525	15.387368	12.041231	16.159075	11.325739	15.138697	
18	-9.787516	-5.669672	-8.923878	-4.806035	-19.161845	-15.348887	11.167378	15.285222	12.031015	16.148859	11.305307	15.118264	
19	-9.776756	-5.658912	-8.816290	-4.698447	-19.011145	-15.198187	11.059790	15.177634	12.020256	16.138099	11.283786	15.096744	
20	-9.765458	-5.647615	-8.703327	-4.585483	-18.852912	-15.039955	10.946826	15.064670	12.008958	16.126802	11.261190	15.074148	
21	-9.753630	-5.635786	-8.585055	-4.467212	-18.687243	-14.874285	10.828555	14.946399	11.997130	16.114973	11.237532	15.050490	
22	-9.741277	-5.623434	-8.461548	-4.343705	-18.514237	-14.701279	10.705048	14.822892	11.984777	16.102621	11.212827	15.025784	
23	-9.728409	-5.610565	-8.332880	-4.215036	-18.333998	-14.521041	10.576379	14.694223	11.971908	16.089752	11.187089	15.000046	
24	-9.715031	-5.597188	-8.199128	-4.081284	-18.146635	-14.333678	10.442627	14.560471	11.958531	16.076375	11.160333	14.973291	
25	-9.701153	-5.583310	-8.060373	-3.942529	-17.952261	-14.139304	10.303873	14.421716	11.944653	16.062497	11.132577	14.945535	
26	-9.686783	-5.568939	-7.916700	-3.798856	-17.750993	-13.938036	10.160200	14.278043	11.930283	16.048126	11.103836	14.916794	
27	-9.671929	-5.554086	-7.768196	-3.650352	-17.542953	-13.729995	10.011695	14.129539	11.915429	16.033273	11.074128	14.887086	
28	-9.656601	-5.538757	-7.614950	-3.497106	-17.328264	-13.515306	9.858449	13.976293	11.900101	16.017944	11.043472	14.856430	
29	-9.640807	-5.522964	-7.457055	-3.339211	-17.107058	-13.294100	9.700555	13.818398	11.884307	16.002151	11.011885	14.824842	
30	-9.624558	-5.506714	-7.294608	-3.176764	-16.879466	-13.066509	9.538107	13.655951	11.868057	15.985901	10.979386	14.792344	
31	-9.607862	-5.490018	-7.127706	-3.009862	-16.645627	-12.832670	9.371206	13.489049	11.851362	15.969205	10.945996	14.758953	
