#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-8.694169	-8.730313	-8.694169	-8.730313	-19.686462	-19.718315	13.305832	13.269688	13.305832	13.269688	12.313538	12.281685	
1	-8.693867	-8.730012	-8.691157	-8.727301	-19.682246	-19.714099	13.302821	13.266676	13.305531	13.269387	12.312935	12.281083	
2	-8.692964	-8.729108	-8.682123	-8.718267	-19.669599	-19.701452	13.293787	13.257643	13.304628	13.268484	12.311129	12.279276	
3	-8.691459	-8.727603	-8.667073	-8.703217	-19.648529	-19.680382	13.278737	13.242593	13.303123	13.266979	12.308119	12.276266	
4	-8.689353	-8.725498	-8.646016	-8.682160	-19.619049	-19.650901	13.257680	13.221535	13.301017	13.264873	12.303907	12.272054	
5	-8.686648	-8.722792	-8.618964	-8.655108	-19.581176	-19.613029	13.230628	13.194483	13.298312	13.262168	12.298497	12.266644	
6	-8.683345	-8.719489	-8.585934	-8.622078	-19.534934	-19.566786	13.197597	13.161453	13.295009	13.258865	12.291891	12.260038	
7	-8.679446	-8.715590	-8.546945	-8.583089	-19.480349	-19.512202	13.158609	13.122465	13.291110	13.254966	12.284093	12.252240	
8	-8.674954	-8.711098	-8.502021	-8.538166	-19.417456	-19.449309	13.113685	13.077541	13.286618	13.250473	12.275108	12.243256	
9	-8.669871	-8.706015	-8.451190	-8.487334	-19.346292	-19.378145	13.062854	13.026709	13.281534	13.245390	12.264942	12.233089	
10	-8.664200	-8.700344	-8.394481	-8.430625	-19.266900	-19.298753	13.006145	12.970001	13.275864	13.239719	12.253600	12.221747	
11	-8.657945	-8.694089	-8.331929	-8.368073	-19.179327	-19.211180	12.943593	12.907449	13.269608	13.233464	12.241090	12.209237	
12	-8.651109	-8.687253	-8.263572	-8.299716	-19.083627	-19.115480	12.875236	12.839091	13.262773	13.226628	12.227418	12.195566	
13	-8.643697	-8.679841	-8.189450	-8.225595	-18.979857	-19.011710	12.801114	12.764970	13.255361	13.219216	12.212594	12.180741	
14	-8.635713	-8.671857	-8.109609	-8.145753	-18.868079	-18.899932	12.721273	12.685129	13.247376	13.211232	12.196626	12.164773	
15	-8.627161	-8.663306	-8.024097	-8.060241	-18.748362	-18.780214	12.635760	12.599616	13.238825	13.202681	12.179523	12.147671	
16	-8.618048	-8.654192	-7.932964	-7.969108	-18.620776	-18.652629	12.544628	12.508483	13.229712	13.193568	12.161297	12.129444	
17	-8.608378	-8.644523	-7.836266	-7.872410	-18.485399	-18.517252	12.447930	12.411786	13.220042	13.183898	12.141957	12.110104	
18	-8.598158	-8.634302	-7.734062	-7.770206	-18.342313	-18.374165	12.345725	12.309581	13.209822	13.173677	12.121516	12.089664	
19	-8.587393	-8.623537	-7.626412	-7.662556	-18.191603	-18.223455	12.238075	12.201931	13.199057	13.162912	12.099986	12.068134	
20	-8.576090	-8.612234	-7.513381	-7.549525	-18.033360	-18.065213	12.125045	12.088901	13.187754	13.151609	12.077380	12.045527	
21	-8.564256	-8.600400	-7.395039	-7.431183	-17.867680	-17.899533	12.006702	11.970558	13.175919	13.139775	12.053712	12.021859	
22	-8.551897	-8.588041	-7.271455	-7.307599	-17.694663	-17.726516	11.883119	11.846974	13.163561	13.127417	12.028995	11.997142	
23	-8.539022	-8.575166	-7.142704	-7.178849	-17.514412	-17.546265	11.754368	11.718224	13.150686	13.114542	12.003245	11.971392	
24	-8.525638	-8.561782	-7.008865	-7.045009	-17.327037	-17.358890	11.620529	11.584384	13.137302	13.101158	11.976477	11.944624	
25	-8.511753	-8.547898	-6.870017	-6.906161	-17.132650	-17.164503	11.481681	11.445536	13.123417	13.087273	11.948707	11.916855	
26	-8.497376	-8.533520	-6.726244	-6.762388	-16.931368	-16.963221	11.337908	11.301764	13.109040	13.072896	11.919953	11.888100	
27	-8.482515	-8.518659	-6.577633	-6.613777	-16.723312	-16.755165	11.189297	11.153152	13.094179	13.058035	11.890231	11.858378	
28	-8.467179	-8.503323	-6.424273	-6.460417	-16.508609	-16.540462	11.035937	10.999793	13.078843	13.042699	11.859559	11.827706	
29	-8.451377	-8.487522	-6.266257	-6.302401	-16.287386	-16.319239	10.877921	10.841777	13.063041	13.026897	11.827955	11.796103	
30	-8.435120	-8.471264	-6.103680	-6.139824	-16.059778	-16.091631	10.715344	10.679199	13.046783	13.010639	11.795440	11.763587	
31	-8.418416	-8.454560	-5.936640	-5.972784	-15.825922	-15.857774	10.548303	10.512159	13.030079	12.993935	11.762032	11.730179	
32	-8.401275	-8.437420	-5.765237	-5.801381	-15.585957	-15.617810	10.376900	10.340756	13.012939	12.976795	11.727751	11.695899	
33	-8.383709	-8.419853	-5.589574	-5.625718	-15.340030	-15.371883	10.201238	10.165094	12.995373	12.959229	11.692619	11.660766	
34	-8.365728	-8.401872	-5.409758	-5.445903	-15.088288	-15.120141	10.021422	9.985278	12.977391	12.941247	11.656656	11.624803	
35	-8.347341	-8.383486	-5.225897	-5.262041	-14.830882	-14.862735	9.837561	9.801417	12.959005	12.922861	11.619883	11.588031	
36	-8.328562	-8.364706	-5.038102	-5.074246	-14.567968	-14.599821	9.649765	9.613621	12.940226	12.904081	11.582324	11.550472	
37	-8.309400	-8.345544	-4.846485	-4.882629	-14.299705	-14.331557	9.458149	9.422004	12.921064	12.884920	11.544001	11.512148	
38	-8.289868	-8.326012	-4.651162	-4.687306	-14.026253	-14.058105	9.262826	9.226681	12.901532	12.865387	11.504936	11.473084	
39	-8.269977	-8.306121	-4.452251	-4.488395	-13.747777	-13.779630	9.063915	9.027770	12.881641	12.845496	11.465154	11.433301	
40	-8.249739	-8.285883	-4.249871	-4.286015	-13.464446	-13.496298	8.861535	8.825391	12.861403	12.825258	11.424678	11.392825	
41	-8.229166	-8.265310	-4.044145	-4.080289	-13.176429	-13.208282	8.655809	8.619665	12.840830	12.804686	11.383533	11.351680	
42	-8.208271	-8.244416	-3.835196	-3.871341	-12.883901	-12.915754	8.446860	8.410716	12.819935	12.783791	11.341743	11.309890	
43	-8.187067	-8.223211	-3.623151	-3.659295	-12.587037	-12.618890	8.234815	8.198670	12.798731	12.762586	11.299334	11.267481	
44	-8.165565	-8.201710	-3.408136	-3.444281	-12.286017	-12.317870	8.019800	7.983656	12.777229	12.741085	11.256331	11.224478	
45	-8.143780	-8.179924	-3.190282	-3.226427	-11.981021	-12.012874	7.801946	7.765802	12.755444	12.719299	11.212760	11.180908	
46	-8.121724	-8.157868	-2.969720	-3.005864	-11.672234	-11.704087	7.581384	7.545240	12.733387	12.697243	11.168648	11.136795	
47	-8.099410	-8.135554	-2.746582	-2.782726	-11.359841	-11.391694	7.358246	7.322102	12.711074	12.674929	11.124020	11.092168	
48	-8.076852	-8.112996	-2.521003	-2.557148	-11.044031	-11.075883	7.132667	7.096523	12.688516	12.652372	11.078905	11.047052	
49	-8.054064	-8.090208	-2.293120	-2.329264	-10.724993	-10.756846	6.904783	6.868639	12.665727	12.629583	11.033328	11.001475	
50	-8.031058	-8.067203	-2.063068	-2.099212	-10.402920	-10.434773	6.674732	6.638587	12.642722	12.606578	10.987317	10.955465	
51	-8.007850	-8.043995	-1.830987	-1.867131	-10.078007	-10.109860	6.442650	6.406506	12.619514	12.583370	10.940901	10.909048	
