#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-10.373044	8.220340	-10.373044	8.220340	-21.082972	-3.104945	11.818845	30.412228	11.818845	30.412228	11.010707	28.988734	
1	-10.372745	8.220639	-10.370058	8.223326	-21.078763	-3.100736	11.815859	30.409243	11.818546	30.411930	11.010111	28.988139	
2	-10.371850	8.221534	-10.361103	8.232281	-21.066137	-3.088110	11.806903	30.400287	11.817650	30.411034	11.008326	28.986353	
3	-10.370358	8.223026	-10.346183	8.247201	-21.045102	-3.067075	11.791984	30.385368	11.816158	30.409542	11.005351	28.983378	
4	-10.368270	8.225114	-10.325309	8.268075	-21.015671	-3.037644	11.771110	30.364494	11.814071	30.407455	11.001189	28.979216	
5	-10.365588	8.227795	-10.298494	8.294890	-20.977862	-2.999835	11.744295	30.337678	11.811389	30.404773	10.995842	28.973869	
6	-10.362314	8.231070	-10.265754	8.327630	-20.931698	-2.953670	11.711555	30.304938	11.808115	30.401498	10.989314	28.967341	
7	-10.358449	8.234935	-10.227110	8.366274	-20.877206	-2.899178	11.672911	30.266295	11.804250	30.397633	10.981608	28.959636	
8	-10.353995	8.239388	-10.182587	8.410797	-20.814419	-2.836392	11.628388	30.221772	11.799796	30.393180	10.972730	28.950758	
9	-10.348956	8.244427	-10.132213	8.461171	-20.743377	-2.765349	11.578014	30.171397	11.794757	30.388141	10.962685	28.940713	
10	-10.343335	8.250049	-10.076019	8.517365	-20.664120	-2.686093	11.521820	30.115204	11.789136	30.382519	10.951480	28.929507	
11	-10.337134	8.256250	-10.014042	8.579342	-20.576699	-2.598671	11.459843	30.053226	11.782935	30.376319	10.939120	28.917148	
12	-10.330358	8.263026	-9.946320	8.647064	-20.481165	-2.503137	11.392121	29.985505	11.776159	30.369542	10.925615	28.903642	
13	-10.323010	8.270373	-9.872897	8.720487	-20.377576	-2.399549	11.318697	29.912081	11.768811	30.362195	10.910972	28.888999	
14	-10.315096	8.278288	-9.793819	8.799565	-20.265995	-2.287968	11.239619	29.833003	11.760897	30.354280	10.895201	28.873228	
15	-10.306619	8.286764	-9.709136	8.884248	-20.146490	-2.168463	11.154937	29.748321	11.752420	30.345804	10.878311	28.856338	
16	-10.297586	8.295798	-9.618903	8.974480	-20.019133	-2.041106	11.064704	29.658088	11.743387	30.336771	10.860313	28.838341	
17	-10.288001	8.305383	-9.523178	9.070206	-19.884002	-1.905974	10.968979	29.562362	11.733802	30.327186	10.841219	28.819246	
18	-10.277870	8.315513	-9.422021	9.171363	-19.741177	-1.763150	10.867822	29.461205	11.723671	30.317055	10.821040	28.799067	
19	-10.267200	8.326184	-9.315497	9.277887	-19.590746	-1.612719	10.761298	29.354682	11.713001	30.306385	10.799789	28.777816	
20	-10.255997	8.337387	-9.203676	9.389708	-19.432800	-1.454772	10.649476	29.242860	11.701798	30.295182	10.777479	28.755506	
21	-10.244267	8.349116	-9.086628	9.506755	-19.267434	-1.289406	10.532429	29.125813	11.690068	30.283452	10.754124	28.732152	
22	-10.232018	8.361365	-8.964431	9.628953	-19.094748	-1.116721	10.410232	29.003615	11.677819	30.271203	10.729739	28.707767	
23	-10.219258	8.374126	-8.837162	9.756221	-18.914848	-0.936821	10.282963	28.876347	11.665059	30.258442	10.704340	28.682367	
24	-10.205993	8.387391	-8.704906	9.888477	-18.727843	-0.749815	10.150707	28.744091	11.651794	30.245178	10.677942	28.655969	
25	-10.192232	8.401152	-8.567749	10.025635	-18.533845	-0.555818	10.013550	28.606934	11.638033	30.231417	10.650561	28.628589	
26	-10.177983	8.415400	-8.425780	10.167603	-18.332972	-0.354945	9.871581	28.464965	11.623784	30.217168	10.622216	28.600244	
