#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	21.679203	-11.240185	21.679302	-11.240177	10.762475	-22.143775	44.227122	11.307742	44.227239	11.307751	43.140113	10.233863	
1	21.679596	-11.239892	21.682142	-11.237238	10.766663	-22.139587	44.224184	11.304804	44.226945	11.307457	43.139539	10.233289	
2	21.680477	-11.239010	21.690956	-11.228424	10.779226	-22.127024	44.215370	11.295990	44.226063	11.306576	43.137816	10.231566	
3	21.681946	-11.237542	21.705639	-11.213741	10.800155	-22.106095	44.200687	11.281307	44.224595	11.305108	43.134947	10.228697	
4	21.684000	-11.235487	21.726181	-11.193199	10.829438	-22.076812	44.180145	11.260765	44.222540	11.303053	43.130933	10.224683	
5	21.686640	-11.232848	21.752568	-11.166812	10.867057	-22.039193	44.153757	11.234377	44.219901	11.300414	43.125776	10.219526	
6	21.689862	-11.229625	21.784783	-11.134597	10.912988	-21.993262	44.121543	11.202163	44.216678	11.297191	43.119481	10.213231	
7	21.693666	-11.225821	21.822803	-11.096577	10.967204	-21.939046	44.083523	11.164143	44.212875	11.293387	43.112052	10.205802	
8	21.698049	-11.221438	21.866601	-11.052779	11.029671	-21.876579	44.039724	11.120344	44.208492	11.289004	43.103494	10.197244	
9	21.703008	-11.216479	21.916149	-11.003231	11.100350	-21.805900	43.990176	11.070797	44.203533	11.284045	43.093812	10.187562	
10	21.708541	-11.210947	21.971412	-10.947968	11.179199	-21.727051	43.934914	11.015534	44.198000	11.278513	43.083014	10.176764	
11	21.714643	-11.204845	22.032352	-10.887028	11.266169	-21.640081	43.873974	10.954594	44.191898	11.272410	43.071106	10.164856	
12	21.721311	-11.198176	22.098926	-10.820454	11.361206	-21.545044	43.807399	10.888019	44.185229	11.265742	43.058098	10.151848	
13	21.728542	-11.190946	22.171090	-10.748290	11.464251	-21.441999	43.735236	10.815856	44.177999	11.258511	43.043999	10.137749	
14	21.736330	-11.183157	22.248791	-10.670588	11.575242	-21.331008	43.657534	10.738154	44.170211	11.250723	43.028817	10.122567	
15	21.744671	-11.174816	22.331978	-10.587402	11.694111	-21.212139	43.574348	10.654968	44.161869	11.242382	43.012564	10.106314	
16	21.753560	-11.165927	22.420590	-10.498790	11.820783	-21.085467	43.485736	10.566356	44.152980	11.233493	42.995251	10.089001	
17	21.762992	-11.156496	22.514566	-10.404814	11.955181	-20.951069	43.391760	10.472380	44.143549	11.224062	42.976890	10.070640	
18	21.772960	-11.146528	22.613839	-10.305541	12.097223	-20.809027	43.292486	10.373107	44.133581	11.214094	42.957494	10.051244	
19	21.783458	-11.136029	22.718339	-10.201041	12.246820	-20.659430	43.187986	10.268607	44.123082	11.203595	42.937076	10.030826	
20	21.794481	-11.125006	22.827991	-10.091389	12.403881	-20.502369	43.078334	10.158955	44.112059	11.192572	42.915651	10.009401	
21	21.806022	-11.113466	22.942716	-9.976664	12.568309	-20.337941	42.963609	10.044230	44.100519	11.181032	42.893235	9.986985	
22	21.818072	-11.101415	23.062431	-9.856949	12.740002	-20.166248	42.843894	9.924515	44.088468	11.168981	42.869842	9.963592	
23	21.830626	-11.088861	23.187048	-9.732331	12.918855	-19.987395	42.719277	9.799897	44.075914	11.156427	42.845490	9.939240	
24	21.843676	-11.075812	23.316476	-9.602904	13.104756	-19.801494	42.589849	9.670469	44.062865	11.143378	42.820196	9.913946	
25	21.857212	-11.062275	23.450618	-9.468762	13.297592	-19.608658	42.455707	9.536327	44.049328	11.129841	42.793978	9.887728	
26	21.871228	-11.048259	23.589374	-9.330006	13.497243	-19.409007	42.316952	9.397572	44.035312	11.115825	42.766854	9.860604	
27	21.885715	-11.033772	23.732637	-9.186743	13.703586	-19.202664	42.173689	9.254309	44.020826	11.101338	42.738845	9.832595	
28	21.900664	-11.018824	23.880297	-9.039083	13.916492	-18.989758	42.026028	9.106648	44.005877	11.086390	42.709970	9.803720	
29	21.916065	-11.003423	24.032240	-8.887140	14.135831	-18.770419	41.874086	8.954706	43.990476	11.070988	42.680251	9.774001	
