#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-11.111722	21.067821	-11.111722	21.067821	-21.979040	10.171045	11.412839	43.592381	11.412839	43.592381	10.380529	42.530615	
1	-11.111428	21.068115	-11.108780	21.070762	-21.974850	10.175235	11.409897	43.589440	11.412545	43.592087	10.379954	42.530039	
2	-11.110545	21.068997	-11.099957	21.079585	-21.962284	10.187802	11.401074	43.580617	11.411662	43.591205	10.378227	42.528313	
3	-11.109075	21.070467	-11.085259	21.094284	-21.941348	10.208738	11.386376	43.565918	11.410192	43.589735	10.375351	42.525437	
4	-11.107019	21.072524	-11.064695	21.114847	-21.912055	10.238030	11.365812	43.545355	11.408136	43.587678	10.371328	42.521413	
5	-11.104377	21.075166	-11.038280	21.141262	-21.874425	10.275661	11.339397	43.518940	11.405494	43.585036	10.366159	42.516245	
6	-11.101151	21.078392	-11.006032	21.173511	-21.828479	10.321607	11.307149	43.486691	11.402268	43.581810	10.359850	42.509935	
7	-11.097343	21.082200	-10.967972	21.211571	-21.774245	10.375840	11.269089	43.448631	11.398460	43.578002	10.352403	42.502488	
8	-11.092955	21.086587	-10.924126	21.255416	-21.711758	10.438327	11.225243	43.404786	11.394072	43.573615	10.343824	42.493910	
9	-11.087991	21.091552	-10.874525	21.305018	-21.641056	10.509029	11.175642	43.355184	11.389108	43.568650	10.334120	42.484205	
10	-11.082453	21.097090	-10.819202	21.360341	-21.562182	10.587904	11.120319	43.299862	11.383570	43.563112	10.323296	42.473381	
11	-11.076344	21.103198	-10.758195	21.421347	-21.475184	10.674902	11.059312	43.238855	11.377461	43.557004	10.311360	42.461445	
12	-11.069669	21.109874	-10.691547	21.487996	-21.380115	10.769970	10.992664	43.172206	11.370786	43.550328	10.298321	42.448406	
13	-11.062431	21.117112	-10.619302	21.560240	-21.277035	10.873050	10.920419	43.099962	11.363548	43.543090	10.284187	42.434272	
14	-11.054634	21.124908	-10.541512	21.638031	-21.166007	10.984078	10.842628	43.022171	11.355751	43.535294	10.268968	42.419053	
15	-11.046284	21.133258	-10.458229	21.721314	-21.047099	11.102987	10.759346	42.938888	11.347401	43.526944	10.252674	42.402760	
16	-11.037386	21.142157	-10.369512	21.810030	-20.920383	11.229702	10.670629	42.850172	11.338503	43.518045	10.235318	42.385404	
17	-11.027945	21.151598	-10.275423	21.904119	-20.785939	11.364147	10.576540	42.756083	11.329062	43.508604	10.216911	42.366996	
18	-11.017966	21.161577	-10.176029	22.003514	-20.643848	11.506238	10.477146	42.656688	11.319083	43.498626	10.197465	42.347551	
19	-11.007456	21.172086	-10.071399	22.108144	-20.494198	11.655888	10.372516	42.552058	11.308573	43.488116	10.176995	42.327081	
20	-10.996422	21.183121	-9.961607	22.217935	-20.337081	11.813004	10.262724	42.442267	11.297539	43.477081	10.155515	42.305601	
21	-10.984869	21.194673	-9.846733	22.332810	-20.172594	11.977491	10.147850	42.327392	11.285986	43.465529	10.133039	42.283125	
22	-10.972806	21.206737	-9.726859	22.452684	-20.000838	12.149247	10.027975	42.207518	11.273923	43.453465	10.109584	42.259670	
23	-10.960238	21.219304	-9.602071	22.577471	-19.821920	12.328165	9.903188	42.082731	11.261355	43.440898	10.085166	42.235252	
24	-10.947175	21.232367	-9.472462	22.707081	-19.635949	12.514137	9.773579	41.953121	11.248292	43.427835	10.059803	42.209888	
25	-10.933624	21.245919	-9.338127	22.841416	-19.443040	12.707046	9.639244	41.818786	11.234741	43.414283	10.033511	42.183597	
26	-10.919593	21.259950	-9.199166	22.980377	-19.243312	12.906773	9.500283	41.679825	11.220710	43.400252	10.006311	42.156396	
27	-10.905091	21.274452	-9.055684	23.123859	-19.036889	13.113197	9.356801	41.536343	11.206208	43.385750	9.978221	42.128306	
28	-10.890126	21.289417	-8.907790	23.271752	-18.823897	13.326188	9.208907	41.388450	11.191243	43.370785	9.949261	42.099347	
29	-10.874708	21.304835	-8.755600	23.423943	-18.604470	13.545616	9.056717	41.236259	11.175825	43.355367	9.919453	42.069538	
30	-10.858846	21.320696	-8.599232	23.580310	-18.378742	13.771344	8.900349	41.079892	11.159963	43.339506	9.888818	42.038903	
31	-10.842550	21.336993	-8.438812	23.740731	-18.146853	14.003232	8.739929	40.919471	11.143667	43.323209	9.857377	42.007463	
32	-10.825829	21.353713	-8.274469	23.905073	-17.908947	14.241138	8.575586	40.755129	11.126946	43.306489	9.825155	41.975240	
33	-10.808695	21.370848	-8.106341	24.073202	-17.665172	14.484914	8.407458	40.587000	11.109812	43.289354	9.792174	41.942260	
34	-10.791157	21.388386	-7.934569	24.244974	-17.415678	14.734408	8.235686	40.415228	11.092273	43.271816	9.758459	41.908545	
35	-10.773225	21.406317	-7.759302	24.420241	-17.160620	14.989465	8.060419	40.239961	11.074342	43.253885	9.724036	41.874121	
36	-10.754912	21.424631	-7.580697	24.598846	-16.900158	15.249927	7.881814	40.061356	11.056029	43.235571	9.688928	41.839014	
37	-10.736227	21.443315	-7.398917	24.780626	-16.634454	15.515632	7.700034	39.879576	11.037344	43.216887	9.653164	41.803249	
38	-10.717183	21.462360	-7.214135	24.965408	-16.363672	15.786413	7.515252	39.694794	11.018300	43.197842	9.616770	41.766855	
39	-10.697791	21.481752	-7.026532	25.153010	-16.087982	16.062104	7.327649	39.507192	10.998907	43.178450	9.579773	41.729858	
40	-10.678062	21.501481	-6.836300	25.343243	-15.807556	16.342530	7.137417	39.316959	10.979179	43.158721	9.542202	41.692288	
41	-10.658009	21.521533	-6.643642	25.535901	-15.522569	16.627517	6.944759	39.124301	10.959126	43.138669	9.504086	41.654172	
42	-10.637644	21.541898	-6.448773	25.730770	-15.233199	16.916886	6.749890	38.929432	10.938761	43.118304	9.465456	41.615541	
43	-10.616979	21.562563	-6.251924	25.927618	-14.939629	17.210456	6.553041	38.732584	10.918096	43.097639	9.426340	41.576426	
44	-10.596027	21.583515	-6.053342	26.126201	-14.642043	17.508043	6.354459	38.534001	10.897144	43.076687	9.386771	41.536856	
45	-10.574801	21.604742	-5.853292	26.326251	-14.340627	17.809459	6.154409	38.333951	10.875918	43.055460	9.346780	41.496865	
