#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	23.959819	11.189524	23.959838	11.189574	12.968536	0.030243	46.040162	33.269887	46.040181	33.269899	45.031464	32.093171	
1	23.960119	11.189824	23.962839	11.192575	12.972748	0.034454	46.037161	33.266898	46.039881	33.269587	45.030866	32.092573	
2	23.961019	11.190724	23.971839	11.201576	12.985381	0.047087	46.028161	33.257897	46.038981	33.268687	45.029074	32.090780	
3	23.962518	11.192224	23.986834	11.216571	13.006427	0.068134	46.013166	33.242902	46.037482	33.267187	45.026088	32.087794	
4	23.964616	11.194322	24.007815	11.237551	13.035874	0.097581	45.992185	33.221922	46.035384	33.265089	45.021909	32.083616	
5	23.967312	11.197017	24.034767	11.264503	13.073704	0.135411	45.965233	33.194970	46.032688	33.262394	45.016542	32.078248	
6	23.970603	11.200308	24.067675	11.297411	13.119894	0.181601	45.932325	33.162061	46.029397	33.259103	45.009988	32.071694	
7	23.974487	11.204193	24.106519	11.336255	13.174416	0.236123	45.893482	33.123218	46.025513	33.255218	45.002252	32.063959	
8	23.978963	11.208669	24.151274	11.381010	13.237237	0.298944	45.848726	33.078463	46.021037	33.250742	44.993339	32.055046	
9	23.984028	11.213734	24.201913	11.431649	13.308320	0.370027	45.798087	33.027824	46.015972	33.245678	44.983254	32.044961	
10	23.989678	11.219384	24.258405	11.488141	13.387621	0.449327	45.741595	32.971332	46.010322	33.240028	44.972004	32.033711	
11	23.995910	11.225616	24.320715	11.550451	13.475092	0.536798	45.679285	32.909022	46.004090	33.233795	44.959595	32.021302	
12	24.002721	11.232427	24.388805	11.618541	13.570680	0.632387	45.611196	32.840932	45.997279	33.226985	44.946036	32.007742	
13	24.010106	11.239812	24.462632	11.692369	13.674329	0.736035	45.537368	32.767104	45.989894	33.219600	44.931333	31.993040	
14	24.018061	11.247766	24.542152	11.771888	13.785974	0.847680	45.457848	32.687585	45.981939	33.211645	44.915498	31.977204	
15	24.026580	11.256286	24.627315	11.857051	13.905548	0.967255	45.372685	32.602421	45.973419	33.203125	44.898538	31.960245	
16	24.035660	11.265366	24.718069	11.947805	14.032980	1.094687	45.281931	32.511668	45.964340	33.194046	44.880465	31.942172	
17	24.045294	11.275000	24.814357	12.044093	14.168192	1.229899	45.185643	32.415380	45.954706	33.184411	44.861291	31.922997	
18	24.055477	11.285183	24.916120	12.145857	14.311103	1.372809	45.083880	32.313616	45.944523	33.174229	44.841026	31.902732	
19	24.066202	11.295908	25.023295	12.253032	14.461625	1.523332	44.976705	32.206441	45.933798	33.163504	44.819683	31.881390	
20	24.077463	11.307169	25.135816	12.365553	14.619668	1.681375	44.864184	32.093920	45.922537	33.152243	44.797276	31.858983	
21	24.089253	11.318959	25.253613	12.483349	14.785137	1.846844	44.746387	31.976123	45.910747	33.140452	44.773819	31.835526	
22	24.101565	11.331271	25.376612	12.606349	14.957931	2.019638	44.623388	31.853124	45.898434	33.128140	44.749326	31.811032	
23	24.114392	11.344098	25.504738	12.734474	15.137946	2.199652	44.495262	31.724999	45.885608	33.115313	44.723811	31.785518	
24	24.127726	11.357432	25.637909	12.867646	15.325073	2.386779	44.362091	31.591827	45.872274	33.101980	44.697292	31.758999	
25	24.141559	11.371264	25.776044	13.005780	15.519198	2.580905	44.223956	31.453693	45.858441	33.088147	44.669784	31.731491	
26	24.155882	11.385588	25.919055	13.148791	15.720205	2.781911	44.080945	31.310682	45.844118	33.073824	44.641305	31.703012	
27	24.170687	11.400393	26.066853	13.296589	15.927971	2.989677	43.933147	31.162884	45.829313	33.059019	44.611872	31.673579	
28	24.185965	11.415670	26.219345	13.449081	16.142371	3.204077	43.780655	31.010392	45.814035	33.043741	44.581504	31.643210	
29	24.201706	11.431412	26.376434	13.606171	16.363275	3.424982	43.623566	30.853302	45.798294	33.027999	44.550219	31.611925	
30	24.217902	11.447608	26.538023	13.767759	16.590550	3.652256	43.461977	30.691714	45.782098	33.011804	44.518037	31.579743	
31	24.234542	11.464248	26.704007	13.933743	16.824057	3.885764	43.295994	30.525730	45.765458	32.995163	44.484978	31.546684	
32	24.251617	11.481323	26.874281	14.104017	17.063656	4.125363	43.125720	30.355456	45.748383	32.978089	44.451062	31.512769	
33	24.269115	11.498821	27.048735	14.278472	17.309201	4.370908	42.951265	30.181001	45.730884	32.960590	44.416312	31.478019	
34	24.287028	11.516733	27.227259	14.456995	17.560544	4.622251	42.772741	30.002478	45.712972	32.942678	44.380748	31.442455	
35	24.305343	11.535048	27.409736	14.639472	17.817533	4.879239	42.590265	29.820001	45.694657	32.924363	44.344393	31.406100	
36	24.324049	11.553755	27.596046	14.825783	18.080010	5.141717	42.403954	29.633690	45.675951	32.905656	44.307270	31.368977	
37	24.343136	11.572842	27.786069	15.015805	18.347819	5.409526	42.213931	29.443668	45.656864	32.886569	44.269402	31.331108	
38	24.362592	11.592298	27.979677	15.209413	18.620796	5.682502	42.020323	29.250059	45.637408	32.867114	44.230813	31.292519	
39	24.382405	11.612111	28.176742	15.406478	18.898775	5.960482	41.823258	29.052995	45.617595	32.847301	44.191526	31.253233	
40	24.402563	11.632269	28.377129	15.606866	19.181589	6.243296	41.622871	28.852607	45.597437	32.827143	44.151568	31.213274	
41	24.423054	11.652760	28.580703	15.810439	19.469066	6.530772	41.419298	28.649034	45.576946	32.806651	44.110963	31.172669	
42	24.443866	11.673572	28.787319	16.017056	19.761031	6.822737	41.212681	28.442417	45.556134	32.785839	44.069736	31.131443	
43	24.464986	11.694692	28.996833	16.226570	20.057307	7.119013	41.003167	28.232903	45.535014	32.764720	44.027915	31.089622	
44	24.486401	11.716107	29.209093	16.438829	20.357714	7.419420	40.790907	28.020644	45.513598	32.743304	43.985525	31.047232	
45	24.508099	11.737805	29.423940	16.653677	20.662070	7.723776	40.576060	27.805796	45.491901	32.721606	43.942595	31.004301	
46	24.530066	11.759772	29.641211	16.870947	20.970189	8.031896	40.358789	27.588526	45.469934	32.699639	43.899150	30.960856	
47	24.552290	11.781995	29.860733	17.090470	21.281886	8.343592	40.139267	27.369003	45.447710	32.677416	43.855219	30.916925	
48	24.574756	11.804461	30.082327	17.312063	21.596969	8.658676	39.917673	27.147410	45.425244	32.654950	43.810830	30.872536	
49	24.597451	11.827156	30.305799	17.535535	21.915248	8.976955	39.694201	26.923938	45.402549	32.632255	43.766012	30.827718	
50	24.620361	11.850067	30.530945	17.760681	22.236529	9.298235	39.469056	26.698792	45.379639	32.609344	43.720793	30.782500	
51	24.643474	11.873179	30.757543	17.987280	22.560615	9.622322	39.242457	26.472193	45.356526	32.586232	43.675204	30.736910	
52	24.666774	11.896479	30.985352	18.215089	22.887311	9.949017	39.014648	26.244384	45.333226	32.562932	43.629273	30.690980	
53	24.690248	11.919953	31.214104	18.443841	23.216416	10.278122	38.785896	26.015632	45.309752	32.539458	43.583031	30.644738	
54	24.713881	11.943586	31.443496	18.673232	23.547729	10.609436	38.556504	25.786241	45.286119	32.515825	43.536508	30.598215	
55	24.737659	11.967365	31.673178	18.902915	23.881050	10.942756	38.326822	25.556558	45.262341	32.492046	43.489735	30.551442	
56	24.761569	11.991275	31.902741	19.132478	24.216173	11.277879	38.097259	25.326995	45.238431	32.468137	43.442743	30.504450	
57	24.785595	12.015301	32.131687	19.361424	24.552894	11.614600	37.868313	25.098049	45.214405	32.444111	43.395563	30.457270	
58	24.809723	12.039429	32.359399	19.589135	24.891007	11.952713	37.640601	24.870338	45.190277	32.419983	43.348227	30.409934	
59	24.833939	12.063644	32.585081	19.814818	25.230305	12.292011	37.414919	24.644655	45.166061	32.395767	43.300767	30.362474	
60	24.858227	12.087933	32.807681	20.037418	25.570579	12.632286	37.192319	24.422055	45.141773	32.371478	43.253215	30.314922	
61	24.882574	12.112280	33.025754	20.255490	25.911622	12.973328	36.974246	24.203983	45.117426	32.347132	43.205604	30.267310	
62	24.906964	12.136670	33.237247	20.466983	26.253222	13.314929	36.762753	23.992490	45.093035	32.322741	43.157966	30.219672	
63	24.931384	12.161090	33.439156	20.668892	26.595171	13.656877	36.560844	23.790581	45.068616	32.298322	43.110335	30.172041	
64	24.955817	12.185523	33.626981	20.856717	26.937256	13.998963	36.373019	23.602756	45.044183	32.273888	43.062744	30.124450	
65	24.980250	12.209956	33.793938	21.023675	27.279268	14.340974	36.206062	23.435798	45.019750	32.249455	43.015227	30.076934	
66	25.004668	12.234374	33.930144	21.159880	27.620993	14.682700	36.069856	23.299593	44.995332	32.225038	42.967819	30.029525	
67	25.029056	12.258762	34.022725	21.252462	27.962221	15.023928	35.977275	23.207011	44.970944	32.200650	42.920553	29.982260	
68	25.053399	12.283105	34.058950	21.288686	28.302740	15.364446	35.941050	23.170787	44.946601	32.176307	42.873466	29.935172	
69	25.077683	12.307389	35.967164	23.196900	28.642337	15.704043	34.032836	21.262572	44.922317	32.152023	42.826591	29.888298	
70	25.101893	12.331599	36.050503	23.280239	28.980800	16.042506	33.949497	21.179234	44.898107	32.127813	42.779966	29.841672	
71	25.126014	12.355720	36.178449	23.408185	29.317917	16.379624	33.821551	21.051288	44.873986	32.103691	42.733625	29.795332	
72	25.150033	12.379738	36.337684	23.567421	29.653477	16.715184	33.662316	20.892052	44.849967	32.079673	42.687607	29.749313	
73	25.173933	12.403639	36.517792	23.747529	29.987268	17.048975	33.482208	20.711944	44.826067	32.055772	42.641947	29.703653	
74	25.197702	12.427408	36.711583	23.941319	30.319079	17.380785	33.288417	20.518154	44.802298	32.032003	42.596683	29.658390	
75	25.221325	12.451031	36.914288	24.144024	30.648698	17.710404	33.085713	20.315449	44.778675	32.008381	42.551855	29.613562	
76	25.244787	12.474493	37.122736	24.352472	30.975915	18.037621	32.877264	20.107000	44.755213	31.984918	42.507501	29.569208	
77	25.268075	12.497781	37.334774	24.564511	31.300519	18.362226	32.665226	19.894962	44.731925	31.961631	42.463661	29.525368	
78	25.291174	12.520880	37.548894	24.778631	31.622302	18.684008	32.451106	19.680842	44.708826	31.938532	42.420376	29.482083	
79	25.314071	12.543776	37.764005	24.993742	31.941053	19.002759	32.235995	19.465731	44.685929	31.915635	42.377688	29.439394	
80	25.336751	12.566457	37.979291	25.209027	32.256563	19.318269	32.020709	19.250445	44.663249	31.892955	42.335638	29.397345	
81	25.359201	12.588907	38.194121	25.423857	32.568623	19.630330	31.805879	19.035616	44.640799	31.870504	42.294273	29.355979	
82	25.381408	12.611114	38.407993	25.637729	32.877026	19.938732	31.592007	18.821743	44.618592	31.848297	42.253635	29.315342	
83	25.403358	12.633064	38.620496	25.850232	33.181562	20.243269	31.379504	18.609241	44.596641	31.826347	42.213774	29.275480	
84	25.425039	12.654744	38.831284	26.061020	33.482025	20.543731	31.168716	18.398453	44.574961	31.804667	42.174736	29.236443	
85	25.446436	12.676141	39.040060	26.269796	33.778205	20.839911	30.959940	18.189677	44.553564	31.783270	42.136573	29.198280	
86	25.467537	12.697243	39.246562	26.476299	34.069895	21.131601	30.753438	17.983174	44.532463	31.762169	42.099338	29.161045	
87	25.488330	12.718035	39.450559	26.680295	34.356886	21.418592	30.549441	17.779177	44.511670	31.741376	42.063086	29.124792	
