#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-9.824647	-9.784363	-9.824647	-9.784363	-20.656555	-20.619934	12.175355	12.215638	12.175355	12.215638	11.343445	11.380066	
1	-9.824345	-9.784062	-9.821635	-9.781352	-20.652339	-20.615718	12.172343	12.212626	12.175053	12.215337	11.342843	11.379464	
2	-9.823442	-9.783159	-9.812601	-9.772318	-20.639692	-20.603071	12.163309	12.203592	12.174150	12.214433	11.341036	11.377657	
3	-9.821937	-9.781654	-9.797551	-9.757268	-20.618622	-20.582001	12.148259	12.188542	12.172645	12.212928	11.338026	11.374647	
4	-9.819831	-9.779548	-9.776494	-9.736211	-20.589141	-20.552520	12.127202	12.167485	12.170539	12.210822	11.333814	11.370435	
5	-9.817126	-9.776843	-9.749442	-9.709159	-20.551269	-20.514648	12.100150	12.140433	12.167834	12.208117	11.328404	11.365025	
6	-9.813823	-9.773540	-9.716412	-9.676128	-20.505026	-20.468405	12.067120	12.107403	12.164531	12.204814	11.321798	11.358419	
7	-9.809924	-9.769641	-9.677423	-9.637140	-20.450442	-20.413821	12.028131	12.068414	12.160632	12.200915	11.314000	11.350621	
8	-9.805432	-9.765149	-9.632499	-9.592216	-20.387549	-20.350928	11.983207	12.023491	12.156140	12.196423	11.305016	11.341637	
9	-9.800349	-9.760065	-9.581668	-9.541385	-20.316385	-20.279764	11.932376	11.972659	12.151057	12.191340	11.294849	11.331470	
10	-9.794678	-9.754395	-9.524959	-9.484676	-20.236993	-20.200372	11.875667	11.915950	12.145386	12.185669	11.283507	11.320129	
11	-9.788423	-9.748139	-9.462407	-9.422124	-20.149420	-20.112799	11.813115	11.853398	12.139131	12.179414	11.270997	11.307618	
12	-9.781587	-9.741304	-9.394050	-9.353767	-20.053720	-20.017099	11.744758	11.785041	12.132295	12.172578	11.257326	11.293947	
13	-9.774175	-9.733891	-9.319928	-9.279645	-19.949950	-19.913329	11.670636	11.710920	12.124883	12.165166	11.242501	11.279122	
