#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-9.557834	-9.659305	-9.557834	-9.659305	-20.369416	-20.461274	12.442173	12.340702	12.442173	12.340702	11.630585	11.538728	
1	-9.557533	-9.659004	-9.554822	-9.656293	-20.365200	-20.457057	12.439161	12.337690	12.441871	12.340400	11.629983	11.538125	
2	-9.556630	-9.658101	-9.545789	-9.647260	-20.352552	-20.444410	12.430127	12.328656	12.440968	12.339497	11.628176	11.536318	
3	-9.555125	-9.656596	-9.530739	-9.632210	-20.331482	-20.423340	12.415077	12.313606	12.439463	12.337992	11.625166	11.533308	
4	-9.553019	-9.654490	-9.509681	-9.611152	-20.302002	-20.393860	12.394020	12.292549	12.437357	12.335886	11.620955	11.529097	
5	-9.550314	-9.651785	-9.482630	-9.584100	-20.264130	-20.355987	12.366968	12.265497	12.434652	12.333181	11.615545	11.523687	
6	-9.547011	-9.648482	-9.449599	-9.551070	-20.217887	-20.309745	12.333938	12.232467	12.431349	12.329878	11.608939	11.517081	
7	-9.543112	-9.644583	-9.410611	-9.512082	-20.163303	-20.255161	12.294949	12.193478	12.427450	12.325979	11.601141	11.509283	
8	-9.538619	-9.640090	-9.365687	-9.467158	-20.100410	-20.192268	12.250025	12.148554	12.422958	12.321487	11.592156	11.500298	
9	-9.533536	-9.635007	-9.314856	-9.416326	-20.029246	-20.121104	12.199194	12.097723	12.417875	12.316404	11.581990	11.490132	
10	-9.527865	-9.629336	-9.258147	-9.359618	-19.949854	-20.041712	12.142485	12.041014	12.412204	12.310733	11.570648	11.478790	
11	-9.521610	-9.623081	-9.195595	-9.297066	-19.862281	-19.954139	12.079933	11.978462	12.405949	12.304478	11.558138	11.466280	
12	-9.514774	-9.616245	-9.127238	-9.228709	-19.766581	-19.858439	12.011576	11.910105	12.399113	12.297642	11.544466	11.452608	
13	-9.507362	-9.608833	-9.053116	-9.154587	-19.662811	-19.754669	11.937454	11.835984	12.391701	12.290230	11.529642	11.437784	
14	-9.499378	-9.600849	-8.973275	-9.074746	-19.551033	-19.642891	11.857613	11.756142	12.383717	12.282246	11.513674	11.421816	
15	-9.490827	-9.592298	-8.887762	-8.989233	-19.431315	-19.523173	11.772101	11.670630	12.375165	12.273694	11.496571	11.404713	
16	-9.481714	-9.583185	-8.796630	-8.898101	-19.303730	-19.395587	11.680968	11.579497	12.366052	12.264581	11.478345	11.386487	
17	-9.472044	-9.573515	-8.699932	-8.801403	-19.168353	-19.260211	11.584270	11.482799	12.356382	12.254911	11.459005	11.367147	
18	-9.461823	-9.563294	-8.597727	-8.699198	-19.025266	-19.117124	11.482066	11.380595	12.346162	12.244691	11.438564	11.346706	
19	-9.451058	-9.552529	-8.490078	-8.591548	-18.874556	-18.966414	11.374416	11.272945	12.335397	12.233926	11.417034	11.325176	
20	-9.439755	-9.541226	-8.377047	-8.478518	-18.716314	-18.808172	11.261386	11.159915	12.324094	12.222623	11.394428	11.302570	
21	-9.427921	-9.529392	-8.258705	-8.360175	-18.550634	-18.642492	11.143043	11.041572	12.312260	12.210789	11.370760	11.278902	
22	-9.415563	-9.517034	-8.135121	-8.236592	-18.377617	-18.469475	11.019459	10.917988	12.299901	12.198430	11.346043	11.254185	
23	-9.402688	-9.504159	-8.006370	-8.107841	-18.197366	-18.289224	10.890709	10.789238	12.287026	12.185555	11.320293	11.228435	
24	-9.389304	-9.490775	-7.872531	-7.974002	-18.009991	-18.101849	10.756869	10.655398	12.273642	12.172171	11.293525	11.201667	
25	-9.375419	-9.476890	-7.733683	-7.835154	-17.815604	-17.907461	10.618021	10.516550	12.259757	12.158286	11.265755	11.173897	
