#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	8.119000	-10.263988	8.119000	-10.263988	-3.241063	-20.936375	30.308658	11.925670	30.308658	11.925670	28.847264	11.151952	
1	8.119299	-10.263689	8.121986	-10.261002	-3.236853	-20.932165	30.305672	11.922684	30.308360	11.925372	28.846668	11.151356	
2	8.120194	-10.262794	8.130942	-10.252046	-3.224226	-20.919538	30.296716	11.913728	30.307464	11.924476	28.844881	11.149569	
3	8.121686	-10.261302	8.145863	-10.237125	-3.203189	-20.898501	30.281795	11.898807	30.305972	11.922984	28.841905	11.146592	
4	8.123774	-10.259214	8.166739	-10.216249	-3.173755	-20.869068	30.260919	11.877931	30.303884	11.920896	28.837740	11.142427	
5	8.126456	-10.256532	8.193557	-10.189431	-3.135943	-20.831255	30.234101	11.851113	30.301202	11.918214	28.832389	11.137077	
6	8.129731	-10.253257	8.226301	-10.156687	-3.089774	-20.785086	30.201357	11.818369	30.297927	11.914939	28.825857	11.130544	
7	8.133596	-10.249392	8.264948	-10.118040	-3.035276	-20.730589	30.162710	11.779722	30.294062	11.911074	28.818146	11.122833	
8	8.138050	-10.244938	8.309476	-10.073512	-2.972484	-20.667796	30.118182	11.735194	30.289608	11.906620	28.809262	11.113949	
9	8.143090	-10.239898	8.359856	-10.023132	-2.901434	-20.596747	30.067802	11.684814	30.284568	11.901580	28.799210	11.103897	
10	8.148712	-10.234276	8.416055	-9.966933	-2.822170	-20.517483	30.011603	11.628615	30.278946	11.895958	28.787996	11.092684	
11	8.154913	-10.228075	8.478039	-9.904949	-2.734740	-20.430053	29.949619	11.566631	30.272745	11.889757	28.775628	11.080316	
12	8.161690	-10.221298	8.545768	-9.837220	-2.639197	-20.334509	29.881890	11.498902	30.265968	11.882980	28.762114	11.066801	
13	8.169038	-10.213950	8.619200	-9.763788	-2.535597	-20.230910	29.808458	11.425470	30.258620	11.875632	28.747460	11.052148	
14	8.176954	-10.206034	8.698286	-9.684702	-2.424006	-20.119318	29.729372	11.346384	30.250704	11.867716	28.731678	11.036365	
15	8.185431	-10.197557	8.782978	-9.600010	-2.304489	-19.999801	29.644680	11.261692	30.242227	11.859239	28.714776	11.019464	
16	8.194465	-10.188523	8.873222	-9.509766	-2.177119	-19.872431	29.554436	11.171448	30.233193	11.850205	28.696765	11.001453	
17	8.204051	-10.178937	8.968958	-9.414030	-2.041973	-19.737285	29.458700	11.075712	30.223607	11.840619	28.677657	10.982344	
18	8.214183	-10.168805	9.070127	-9.312861	-1.899133	-19.594446	29.357531	10.974543	30.213475	11.830487	28.657463	10.962150	
19	8.224854	-10.158134	9.176664	-9.206324	-1.748686	-19.443999	29.250994	10.868006	30.202804	11.819816	28.636196	10.940883	
20	8.236059	-10.146929	9.288499	-9.094489	-1.590723	-19.286036	29.139159	10.756171	30.191599	11.808611	28.613869	10.918557	
21	8.247789	-10.135198	9.405562	-8.977426	-1.425339	-19.120652	29.022096	10.639108	30.179869	11.796881	28.590497	10.895184	
22	8.260040	-10.122948	9.527775	-8.855213	-1.252635	-18.947948	28.899883	10.516895	30.167618	11.784630	28.566093	10.870781	
23	8.272802	-10.110186	9.655060	-8.727928	-1.072715	-18.768028	28.772598	10.389610	30.154856	11.771868	28.540674	10.845361	
24	8.286068	-10.096920	9.787335	-8.595653	-0.885689	-18.581001	28.640323	10.257335	30.141590	11.758602	28.514254	10.818942	
25	8.299830	-10.083158	9.924511	-8.458477	-0.691668	-18.386981	28.503147	10.120159	30.127828	11.744840	28.486852	10.791539	
26	8.314080	-10.068908	10.066501	-8.316487	-0.490773	-18.186085	28.361157	9.978169	30.113578	11.730590	28.458483	10.763171	
27	8.328809	-10.054178	10.213209	-8.169779	-0.283123	-17.978435	28.214450	9.831462	30.098849	11.715861	28.429167	10.733854	
28	8.344009	-10.038979	10.364538	-8.018450	-0.068845	-17.764157	28.063120	9.680132	30.083649	11.700661	28.398920	10.703608	
