#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-11.325609	25.375517	-11.325608	25.375518	-22.243689	14.793360	11.336503	48.037629	11.336503	48.037630	10.258215	47.295263	
1	-11.325316	25.375809	-11.322685	25.378442	-22.239509	14.797539	11.333580	48.034706	11.336211	48.037336	10.257650	47.294698	
2	-11.324439	25.376686	-11.313915	25.387211	-22.226974	14.810075	11.324810	48.025937	11.335334	48.036459	10.255955	47.293003	
3	-11.322978	25.378147	-11.299307	25.401820	-22.206090	14.830958	11.310201	48.011328	11.333873	48.034998	10.253131	47.290179	
4	-11.320934	25.380192	-11.278869	25.422258	-22.176871	14.860177	11.289763	47.990890	11.331829	48.032954	10.249181	47.286229	
5	-11.318308	25.382818	-11.252616	25.448511	-22.139335	14.897714	11.263510	47.964637	11.329203	48.030328	10.244106	47.281155	
6	-11.315101	25.386024	-11.220566	25.480561	-22.093504	14.943544	11.231461	47.932587	11.325996	48.027122	10.237912	47.274960	
7	-11.311317	25.389809	-11.182742	25.518385	-22.039407	14.997641	11.193637	47.894764	11.322212	48.023337	10.230602	47.267650	
8	-11.306956	25.394169	-11.139171	25.561956	-21.977079	15.059970	11.150065	47.851192	11.317851	48.018976	10.222182	47.259230	
9	-11.302022	25.399104	-11.089882	25.611245	-21.906556	15.130492	11.100777	47.801903	11.312917	48.014042	10.212657	47.249705	
10	-11.296518	25.404608	-11.034911	25.666215	-21.827883	15.209165	11.045806	47.746933	11.307412	48.008538	10.202035	47.239083	
11	-11.290446	25.410679	-10.974297	25.726830	-21.741109	15.295939	10.985191	47.686318	11.301341	48.002467	10.190323	47.227371	
12	-11.283812	25.417314	-10.908082	25.793045	-21.646287	15.390761	10.918976	47.620103	11.294706	47.995832	10.177529	47.214578	
13	-11.276618	25.424508	-10.836313	25.864814	-21.543476	15.493572	10.847208	47.548334	11.287513	47.988638	10.163664	47.200712	
14	-11.268869	25.432256	-10.759042	25.942085	-21.432739	15.604309	10.769937	47.471063	11.279764	47.980889	10.148737	47.185785	
