#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-0.420235	-0.417213	-0.420235	-0.417213	-11.666534	-11.662277	21.579765	21.582787	21.579765	21.582787	20.333466	20.337723	
1	-0.419933	-0.416912	-0.417223	-0.414202	-11.662318	-11.658061	21.576754	21.579775	21.579464	21.582485	20.332863	20.337120	
2	-0.419030	-0.416009	-0.408189	-0.405168	-11.649671	-11.645414	21.567720	21.570741	21.578561	21.581582	20.331056	20.335314	
3	-0.417525	-0.414504	-0.393139	-0.390118	-11.628601	-11.624344	21.552670	21.555691	21.577056	21.580077	20.328047	20.332304	
4	-0.415419	-0.412398	-0.372082	-0.369061	-11.599121	-11.594863	21.531613	21.534634	21.574950	21.577971	20.323835	20.328092	
5	-0.412714	-0.409693	-0.345030	-0.342009	-11.561248	-11.556991	21.504561	21.507582	21.572245	21.575266	20.318425	20.322682	
6	-0.409411	-0.406390	-0.312000	-0.308979	-11.515006	-11.510748	21.471530	21.474552	21.568942	21.571963	20.311819	20.316076	
7	-0.405512	-0.402491	-0.273011	-0.269990	-11.460421	-11.456164	21.432542	21.435563	21.565043	21.568064	20.304021	20.308278	
8	-0.401020	-0.397999	-0.228087	-0.225066	-11.397528	-11.393271	21.387618	21.390639	21.560551	21.563572	20.295036	20.299293	
9	-0.395937	-0.392916	-0.177256	-0.174235	-11.326364	-11.322107	21.336787	21.339808	21.555467	21.558489	20.284870	20.289127	
10	-0.390266	-0.387245	-0.120547	-0.117526	-11.246972	-11.242715	21.280078	21.283099	21.549797	21.552818	20.273528	20.277785	
11	-0.384011	-0.380990	-0.057995	-0.054974	-11.159399	-11.155142	21.217526	21.220547	21.543541	21.546563	20.261018	20.265275	
12	-0.377175	-0.374154	0.010362	0.013383	-11.063699	-11.059442	21.149169	21.152190	21.536706	21.539727	20.247346	20.251603	
13	-0.369763	-0.366742	0.084484	0.087505	-10.959929	-10.955672	21.075047	21.078068	21.529294	21.532315	20.232522	20.236779	
14	-0.361779	-0.358758	0.164325	0.167346	-10.848151	-10.843894	20.995206	20.998227	21.521309	21.524331	20.216554	20.220811	
