#    itr              mu            ntot            mtot            etot
       1        8.367188        2.999359        1.498276      -22.489545
       2        7.410355        2.999512       -0.801422       -3.432017
       3        8.325949        2.999969        0.388290        0.753423
       4        8.613713        2.999481       -0.182704        2.004619
       5        8.721568        2.999695        0.086334        2.301865
       6        8.739548        3.000397       -0.040893        2.376218
       7        8.752341        3.000977        0.018844        2.401758
       8        8.751666        3.000427       -0.008453        2.403887
       9        8.750904        2.999390        0.003754        2.391294
      10        8.750044        3.000610       -0.000763        2.396475
      11        8.733936        2.999481        0.000168        2.394264
      12        8.730889        2.999603       -0.000443        2.386908
