#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
0	-1.307575	-1.338364	-1.307575	-1.338364	-12.468300	-12.504456	20.692425	20.661636	20.692425	20.661636	19.531701	19.495545	
1	-1.307274	-1.338063	-1.304564	-1.335352	-12.464084	-12.500240	20.689413	20.658625	20.692124	20.661335	19.531098	19.494943	
2	-1.306371	-1.337159	-1.295530	-1.326318	-12.451437	-12.487592	20.680379	20.649591	20.691220	20.660432	19.529292	19.493136	
3	-1.304866	-1.335654	-1.280480	-1.311268	-12.430367	-12.466522	20.665329	20.634541	20.689715	20.658927	19.526282	19.490126	
4	-1.302760	-1.333549	-1.259423	-1.290211	-12.400887	-12.437042	20.644272	20.613484	20.687610	20.656821	19.522070	19.485914	
5	-1.300055	-1.330843	-1.232371	-1.263159	-12.363014	-12.399170	20.617220	20.586432	20.684904	20.654116	19.516660	19.480504	
6	-1.296752	-1.327540	-1.199340	-1.230129	-12.316771	-12.352927	20.584190	20.553402	20.681601	20.650813	19.510054	19.473898	
7	-1.292853	-1.323641	-1.160352	-1.191140	-12.262187	-12.298343	20.545201	20.514413	20.677703	20.646914	19.502256	19.466100	
8	-1.288361	-1.319149	-1.115428	-1.146217	-12.199294	-12.235450	20.500278	20.469489	20.673210	20.642422	19.493271	19.457115	
9	-1.283278	-1.314066	-1.064597	-1.095385	-12.128130	-12.164286	20.449446	20.418658	20.668127	20.637339	19.483105	19.446949	
10	-1.277607	-1.308395	-1.007888	-1.038676	-12.048738	-12.084894	20.392737	20.361949	20.662456	20.631668	19.471763	19.435607	
11	-1.271351	-1.302140	-0.945336	-0.976124	-11.961165	-11.997321	20.330186	20.299397	20.656201	20.625413	19.459253	19.423097	
12	-1.264516	-1.295304	-0.876979	-0.907767	-11.865465	-11.901621	20.261828	20.231040	20.649365	20.618577	19.445581	19.409426	
13	-1.257104	-1.287892	-0.802857	-0.833646	-11.761695	-11.797851	20.187707	20.156918	20.641953	20.611165	19.430757	19.394601	
14	-1.249119	-1.279908	-0.723016	-0.753804	-11.649917	-11.686073	20.107866	20.077077	20.633969	20.603181	19.414789	19.378633	
15	-1.240568	-1.271357	-0.637503	-0.668292	-11.530200	-11.566355	20.022353	19.991564	20.625418	20.594629	19.397686	19.361531	
16	-1.231455	-1.262243	-0.546371	-0.577159	-11.402614	-11.438770	19.931220	19.900432	20.616304	20.585516	19.379460	19.343304	
17	-1.221785	-1.252574	-0.449673	-0.480461	-11.267237	-11.303393	19.834522	19.803734	20.606635	20.575846	19.360120	19.323964	
18	-1.211565	-1.242353	-0.347468	-0.378257	-11.124150	-11.160306	19.732318	19.701529	20.596414	20.565626	19.339679	19.303524	
19	-1.200800	-1.231588	-0.239818	-0.270607	-10.973441	-11.009596	19.624668	19.593880	20.585649	20.554861	19.318149	19.281994	
20	-1.189497	-1.220285	-0.126788	-0.157576	-10.815198	-10.851354	19.511638	19.480849	20.574346	20.543558	19.295543	19.259387	
21	-1.177662	-1.208451	-0.008445	-0.039234	-10.649518	-10.685674	19.393295	19.362506	20.562512	20.531723	19.271875	19.235719	
