#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-9.002720	-7.008587	-9.002720	-7.008587	-19.685432	-17.569420	
1	-9.002419	-7.008286	-8.999708	-7.005575	-19.681216	-17.565203	
2	-9.001515	-7.007382	-8.990674	-6.996541	-19.668569	-17.552556	
3	-9.000010	-7.005877	-8.975624	-6.981491	-19.647499	-17.531486	
4	-8.997905	-7.003772	-8.954567	-6.960434	-19.618019	-17.502006	
5	-8.995199	-7.001066	-8.927515	-6.933382	-19.580146	-17.464133	
6	-8.991896	-6.997763	-8.894485	-6.900352	-19.533904	-17.417891	
7	-8.987998	-6.993865	-8.855496	-6.861363	-19.479319	-17.363307	
8	-8.983505	-6.989372	-8.810573	-6.816440	-19.416426	-17.300414	
9	-8.978422	-6.984289	-8.759741	-6.765608	-19.345262	-17.229250	
10	-8.972751	-6.978618	-8.703032	-6.708899	-19.265870	-17.149857	
11	-8.966496	-6.972363	-8.640481	-6.646348	-19.178297	-17.062285	
12	-8.959660	-6.965527	-8.572123	-6.577990	-19.082597	-16.966585	
13	-8.952248	-6.958115	-8.498002	-6.503869	-18.978827	-16.862814	
14	-8.944264	-6.950131	-8.418161	-6.424028	-18.867049	-16.751037	
15	-8.935713	-6.941580	-8.332648	-6.338515	-18.747332	-16.631319	
16	-8.926599	-6.932466	-8.241515	-6.247382	-18.619746	-16.503733	
17	-8.916930	-6.922797	-8.144817	-6.150684	-18.484369	-16.368356	
18	-8.906709	-6.912576	-8.042613	-6.048480	-18.341283	-16.225270	
19	-8.895944	-6.901811	-7.934963	-5.940830	-18.190573	-16.074560	
20	-8.884641	-6.890508	-7.821933	-5.827800	-18.032330	-15.916318	
21	-8.872807	-6.878674	-7.703590	-5.709457	-17.866650	-15.750638	
22	-8.860448	-6.866315	-7.580006	-5.585873	-17.693633	-15.577620	
23	-8.847573	-6.853440	-7.451256	-5.457123	-17.513382	-15.397370	
24	-8.834189	-6.840056	-7.317416	-5.323283	-17.326007	-15.209994	
25	-8.820305	-6.826172	-7.178568	-5.184435	-17.131620	-15.015607	
26	-8.805927	-6.811794	-7.034795	-5.040662	-16.930338	-14.814325	
27	-8.791066	-6.796933	-6.886184	-4.892051	-16.722282	-14.606270	
28	-8.775730	-6.781597	-6.732824	-4.738691	-16.507579	-14.391566	
29	-8.759929	-6.765796	-6.574808	-4.580675	-16.286356	-14.170344	
30	-8.743671	-6.749538	-6.412231	-4.418098	-16.058748	-13.942736	
31	-8.726967	-6.732834	-6.245191	-4.251058	-15.824892	-13.708879	
32	-8.709827	-6.715694	-6.073788	-4.079655	-15.584927	-13.468915	
33	-8.692260	-6.698127	-5.898125	-3.903992	-15.339000	-13.222987	
34	-8.674279	-6.680146	-5.718309	-3.724176	-15.087258	-12.971245	
