#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-8.146988	-8.146225	-8.146988	-8.146225	-18.956024	-18.955719	
1	-8.146687	-8.145924	-8.143976	-8.143213	-18.951808	-18.951502	
2	-8.145783	-8.145020	-8.134942	-8.134180	-18.939161	-18.938855	
3	-8.144278	-8.143515	-8.119892	-8.119130	-18.918091	-18.917785	
4	-8.142173	-8.141410	-8.098835	-8.098072	-18.888610	-18.888305	
5	-8.139467	-8.138705	-8.071783	-8.071020	-18.850738	-18.850432	
6	-8.136164	-8.135401	-8.038753	-8.037990	-18.804495	-18.804190	
7	-8.132266	-8.131503	-7.999764	-7.999001	-18.749911	-18.749606	
8	-8.127773	-8.127010	-7.954841	-7.954078	-18.687018	-18.686713	
9	-8.122690	-8.121927	-7.904009	-7.903246	-18.615854	-18.615549	
10	-8.117019	-8.116256	-7.847300	-7.846538	-18.536462	-18.536157	
11	-8.110764	-8.110001	-7.784749	-7.783986	-18.448889	-18.448584	
12	-8.103928	-8.103165	-7.716391	-7.715628	-18.353189	-18.352884	
13	-8.096516	-8.095753	-7.642270	-7.641507	-18.249419	-18.249114	
14	-8.088532	-8.087769	-7.562429	-7.561666	-18.137641	-18.137336	
15	-8.079981	-8.079218	-7.476916	-7.476153	-18.017923	-18.017618	
16	-8.070867	-8.070105	-7.385783	-7.385020	-17.890338	-17.890032	
17	-8.061198	-8.060435	-7.289085	-7.288323	-17.754961	-17.754656	
18	-8.050977	-8.050214	-7.186881	-7.186118	-17.611874	-17.611569	
19	-8.040212	-8.039449	-7.079231	-7.078468	-17.461164	-17.460859	
20	-8.028909	-8.028146	-6.966201	-6.965438	-17.302922	-17.302617	
21	-8.017075	-8.016312	-6.847858	-6.847095	-17.137242	-17.136937	
22	-8.004717	-8.003954	-6.724274	-6.723511	-16.964225	-16.963920	
23	-7.991841	-7.991079	-6.595524	-6.594761	-16.783974	-16.783669	
24	-7.978458	-7.977695	-6.461684	-6.460921	-16.596599	-16.596294	
25	-7.964573	-7.963810	-6.322836	-6.322073	-16.402212	-16.401906	
26	-7.950195	-7.949433	-6.179063	-6.178300	-16.200930	-16.200624	
27	-7.935334	-7.934571	-6.030452	-6.029689	-15.992874	-15.992569	
28	-7.919998	-7.919235	-5.877092	-5.876330	-15.778171	-15.777865	
29	-7.904197	-7.903434	-5.719076	-5.718313	-15.556948	-15.556643	
30	-7.887939	-7.887176	-5.556499	-5.555736	-15.329340	-15.329035	
31	-7.871235	-7.870472	-5.389459	-5.388696	-15.095483	-15.095178	
32	-7.854095	-7.853332	-5.218056	-5.217293	-14.855519	-14.855214	
33	-7.836528	-7.835766	-5.042393	-5.041630	-14.609592	-14.609287	
34	-7.818547	-7.817784	-4.862577	-4.861815	-14.357850	-14.357544	
35	-7.800161	-7.799398	-4.678716	-4.677953	-14.100444	-14.100139	
36	-7.781381	-7.780618	-4.490921	-4.490158	-13.837530	-13.837225	
37	-7.762220	-7.761457	-4.299304	-4.298541	-13.569266	-13.568961	
38	-7.742687	-7.741924	-4.103981	-4.103218	-13.295814	-13.295509	
39	-7.722796	-7.722033	-3.905070	-3.904307	-13.017339	-13.017034	
40	-7.702558	-7.701795	-3.702690	-3.701927	-12.734007	-12.733702	
41	-7.681986	-7.681223	-3.496964	-3.496201	-12.445991	-12.445686	
42	-7.661091	-7.660328	-3.288015	-3.287252	-12.153463	-12.153157	
43	-7.639886	-7.639123	-3.075970	-3.075207	-11.856599	-11.856294	
44	-7.618385	-7.617622	-2.860955	-2.860192	-11.555578	-11.555273	
45	-7.596599	-7.595836	-2.643101	-2.642338	-11.250583	-11.250278	
46	-7.574543	-7.573780	-2.422539	-2.421776	-10.941795	-10.941490	
47	-7.552229	-7.551466	-2.199401	-2.198638	-10.629403	-10.629097	
48	-7.529671	-7.528908	-1.973822	-1.973059	-10.313592	-10.313287	
49	-7.506883	-7.506120	-1.745938	-1.745175	-9.994555	-9.994250	
50	-7.483878	-7.483115	-1.515886	-1.515124	-9.672482	-9.672177	
51	-7.460670	-7.459907	-1.283805	-1.283042	-9.347569	-9.347263	
52	-7.437273	-7.436510	-1.049835	-1.049072	-9.020010	-9.019704	
53	-7.413701	-7.412938	-0.814115	-0.813353	-8.690003	-8.689698	
54	-7.389968	-7.389205	-0.576790	-0.576027	-8.357747	-8.357442	
55	-7.366089	-7.365326	-0.338000	-0.337237	-8.023442	-8.023136	
56	-7.342078	-7.341315	-0.097891	-0.097128	-7.687289	-7.686984	
57	-7.317950	-7.317187	0.143393	0.144156	-7.349491	-7.349185	
58	-7.293718	-7.292955	0.385707	0.386470	-7.010251	-7.009946	
59	-7.269399	-7.268636	0.628905	0.629668	-6.669774	-6.669468	
60	-7.245005	-7.244242	0.872841	0.873604	-6.328264	-6.327959	
61	-7.220552	-7.219790	1.117366	1.118129	-5.985928	-5.985623	
62	-7.196056	-7.195293	1.362335	1.363098	-5.642972	-5.642666	
63	-7.171529	-7.170766	1.607600	1.608363	-5.299601	-5.299296	
64	-7.146988	-7.146225	1.853012	1.853775	-4.956024	-4.955719	
65	-7.122447	-7.121684	2.098424	2.099187	-4.612447	-4.612142	
66	-7.097920	-7.097157	2.343689	2.344452	-4.269077	-4.268772	
67	-7.073423	-7.072660	2.588658	2.589421	-3.926120	-3.925815	
68	-7.048971	-7.048208	2.833183	2.833946	-3.583784	-3.583479	
69	-7.024577	-7.023814	3.077119	3.077882	-3.242275	-3.241970	
70	-7.000257	-6.999495	3.320317	3.321080	-2.901798	-2.901492	
71	-6.976026	-6.975263	3.562631	3.563394	-2.562558	-2.562253	
72	-6.951898	-6.951135	3.803915	3.804678	-2.224760	-2.224454	
73	-6.927887	-6.927124	4.044024	4.044787	-1.888607	-1.888302	
74	-6.904008	-6.903245	4.282814	4.283577	-1.554302	-1.553996	
75	-6.880275	-6.879512	4.520140	4.520903	-1.222046	-1.221740	
76	-6.856703	-6.855940	4.755859	4.756622	-0.892039	-0.891734	
77	-6.833306	-6.832543	4.989829	4.990592	-0.564480	-0.564175	
