#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-6.857925	-6.855637	-6.857925	-6.855637	-17.797577	-17.796661	
1	-6.857624	-6.855335	-6.854914	-6.852625	-17.793360	-17.792445	
2	-6.856721	-6.854432	-6.845880	-6.843591	-17.780713	-17.779798	
3	-6.855216	-6.852927	-6.830830	-6.828541	-17.759643	-17.758728	
4	-6.853110	-6.850821	-6.809773	-6.807484	-17.730163	-17.729248	
5	-6.850405	-6.848116	-6.782721	-6.780432	-17.692290	-17.691375	
6	-6.847102	-6.844813	-6.749691	-6.747402	-17.646048	-17.645133	
7	-6.843203	-6.840914	-6.710702	-6.708413	-17.591464	-17.590548	
8	-6.838711	-6.836422	-6.665778	-6.663489	-17.528571	-17.527655	
9	-6.833628	-6.831339	-6.614947	-6.612658	-17.457407	-17.456491	
10	-6.827957	-6.825668	-6.558238	-6.555949	-17.378014	-17.377099	
11	-6.821701	-6.819413	-6.495686	-6.493397	-17.290442	-17.289526	
12	-6.814866	-6.812577	-6.427329	-6.425040	-17.194742	-17.193826	
13	-6.807454	-6.805165	-6.353207	-6.350918	-17.090971	-17.090056	
14	-6.799469	-6.797181	-6.273366	-6.271077	-16.979194	-16.978278	
15	-6.790918	-6.788629	-6.187853	-6.185565	-16.859476	-16.858561	
16	-6.781805	-6.779516	-6.096721	-6.094432	-16.731890	-16.730975	
17	-6.772135	-6.769846	-6.000023	-5.997734	-16.596513	-16.595598	
18	-6.761915	-6.759626	-5.897818	-5.895530	-16.453427	-16.452511	
19	-6.751150	-6.748861	-5.790168	-5.787880	-16.302717	-16.301802	
20	-6.739847	-6.737558	-5.677138	-5.674849	-16.144475	-16.143559	
21	-6.728012	-6.725724	-5.558795	-5.556507	-15.978795	-15.977879	
22	-6.715654	-6.713365	-5.435212	-5.432923	-15.805777	-15.804862	
23	-6.702779	-6.700490	-5.306461	-5.304172	-15.625527	-15.624611	
24	-6.689395	-6.687106	-5.172622	-5.170333	-15.438151	-15.437236	
25	-6.675510	-6.673221	-5.033774	-5.031485	-15.243764	-15.242849	
26	-6.661133	-6.658844	-4.890001	-4.887712	-15.042482	-15.041567	
27	-6.646272	-6.643983	-4.741390	-4.739101	-14.834427	-14.833511	
28	-6.630936	-6.628647	-4.588030	-4.585741	-14.619723	-14.618808	
29	-6.615134	-6.612845	-4.430014	-4.427725	-14.398501	-14.397585	
30	-6.598877	-6.596588	-4.267437	-4.265148	-14.170893	-14.169977	
31	-6.582172	-6.579884	-4.100396	-4.098107	-13.937036	-13.936121	
32	-6.565032	-6.562743	-3.928993	-3.926704	-13.697072	-13.696156	
33	-6.547466	-6.545177	-3.753331	-3.751042	-13.451145	-13.450229	
34	-6.529484	-6.527196	-3.573515	-3.571226	-13.199402	-13.198487	
35	-6.511098	-6.508809	-3.389654	-3.387365	-12.941997	-12.941081	
36	-6.492319	-6.490030	-3.201858	-3.199569	-12.679083	-12.678167	
37	-6.473157	-6.470868	-3.010241	-3.007953	-12.410819	-12.409904	
38	-6.453625	-6.451336	-2.814918	-2.812630	-12.137367	-12.136452	
39	-6.433734	-6.431445	-2.616007	-2.613719	-11.858892	-11.857976	
40	-6.413496	-6.411207	-2.413628	-2.411339	-11.575560	-11.574645	
41	-6.392923	-6.390634	-2.207902	-2.205613	-11.287544	-11.286628	
42	-6.372028	-6.369739	-1.998953	-1.996664	-10.995015	-10.994100	
43	-6.350824	-6.348535	-1.786907	-1.784619	-10.698152	-10.697236	
44	-6.329322	-6.327033	-1.571893	-1.569604	-10.397131	-10.396216	
45	-6.307537	-6.305248	-1.354039	-1.351750	-10.092136	-10.091220	
46	-6.285481	-6.283192	-1.133476	-1.131188	-9.783348	-9.782433	
47	-6.263167	-6.260878	-0.910339	-0.908050	-9.470955	-9.470040	
48	-6.240609	-6.238320	-0.684760	-0.682471	-9.155145	-9.154229	
49	-6.217820	-6.215532	-0.456876	-0.454587	-8.836107	-8.835192	
50	-6.194815	-6.192526	-0.226824	-0.224535	-8.514035	-8.513119	
51	-6.171607	-6.169318	0.005257	0.007546	-8.189121	-8.188206	
52	-6.148210	-6.145921	0.239228	0.241517	-7.861562	-7.860647	
53	-6.124638	-6.122349	0.474947	0.477236	-7.531556	-7.530640	
54	-6.100906	-6.098617	0.712273	0.714562	-7.199299	-7.198384	
55	-6.077027	-6.074738	0.951062	0.953351	-6.864994	-6.864079	
56	-6.053016	-6.050727	1.191171	1.193460	-6.528841	-6.527926	
57	-6.028887	-6.026598	1.432456	1.434745	-6.191043	-6.190128	
58	-6.004656	-6.002367	1.674770	1.677059	-5.851804	-5.850888	
59	-5.980336	-5.978047	1.917968	1.920257	-5.511326	-5.510411	
60	-5.955943	-5.953654	2.161903	2.164192	-5.169817	-5.168901	
61	-5.931490	-5.929201	2.406429	2.408718	-4.827481	-4.826565	
62	-5.906993	-5.904704	2.651398	2.653687	-4.484524	-4.483609	
63	-5.882467	-5.880178	2.896662	2.898951	-4.141154	-4.140239	
64	-5.857925	-5.855637	3.142075	3.144363	-3.797577	-3.796661	
65	-5.833384	-5.831095	3.387487	3.389776	-3.454000	-3.453084	
66	-5.808858	-5.806569	3.632751	3.635040	-3.110629	-3.109714	
67	-5.784361	-5.782072	3.877720	3.880009	-2.767673	-2.766757	
68	-5.759908	-5.757619	4.122246	4.124535	-2.425337	-2.424421	
69	-5.735515	-5.733226	4.366181	4.368470	-2.083827	-2.082912	
70	-5.711195	-5.708906	4.609379	4.611668	-1.743350	-1.742435	
71	-5.686964	-5.684675	4.851693	4.853982	-1.404110	-1.403195	
72	-5.662835	-5.660546	5.092978	5.095267	-1.066312	-1.065397	
73	-5.638824	-5.636535	5.333087	5.335376	-0.730160	-0.729244	
74	-5.614945	-5.612656	5.571876	5.574165	-0.395854	-0.394939	
75	-5.591213	-5.588924	5.809202	5.811491	-0.063598	-0.062683	
76	-5.567641	-5.565352	6.044921	6.047210	0.266409	0.267324	
77	-5.544244	-5.541955	6.278892	6.281181	0.593967	0.594883	
78	-5.521036	-5.518747	6.510973	6.513262	0.918881	0.919797	
79	-5.498030	-5.495742	6.741025	6.743314	1.240954	1.241869	
80	-5.475242	-5.472953	6.968909	6.971198	1.559991	1.560907	
81	-5.452684	-5.450395	7.194488	7.196777	1.875801	1.876717	
82	-5.430370	-5.428082	7.417626	7.419914	2.188194	2.189110	
83	-5.408314	-5.406025	7.638188	7.640477	2.496982	2.497897	
84	-5.386529	-5.384240	7.856042	7.858331	2.801977	2.802893	
85	-5.365027	-5.362738	8.071057	8.073345	3.102998	3.103913	
86	-5.343823	-5.341534	8.283102	8.285391	3.399862	3.400777	
87	-5.322928	-5.320639	8.492051	8.494340	3.692390	3.693305	
88	-5.302355	-5.300066	8.697777	8.700066	3.980406	3.981322	
89	-5.282117	-5.279828	8.900156	8.902445	4.263738	4.264653	
90	-5.262226	-5.259937	9.099068	9.101356	4.542213	4.543129	
91	-5.242694	-5.240405	9.294390	9.296679	4.815665	4.816581	
92	-5.223532	-5.221243	9.486007	9.488296	5.083929	5.084845	
93	-5.204753	-5.202464	9.673803	9.676092	5.346843	5.347758	
94	-5.186366	-5.184078	9.857664	9.859953	5.604248	5.605164	
95	-5.168385	-5.166096	10.037480	10.039769	5.855991	5.856906	
96	-5.150819	-5.148530	10.213142	10.215431	6.101918	6.102834	
97	-5.133678	-5.131390	10.384545	10.386834	6.341882	6.342798	
98	-5.116974	-5.114685	10.551586	10.553875	6.575739	6.576654	
99	-5.100717	-5.098428	10.714163	10.716452	6.803347	6.804262	
100	-5.084915	-5.082626	10.872179	10.874468	7.024569	7.025485	
101	-5.069579	-5.067290	11.025539	11.027828	7.239273	7.240189	
102	-5.054718	-5.052429	11.174150	11.176439	7.447329	7.448244	
103	-5.040341	-5.038052	11.317923	11.320212	7.648610	7.649526	
104	-5.026456	-5.024167	11.456771	11.459060	7.842998	7.843913	
105	-5.013072	-5.010783	11.590610	11.592899	8.030373	8.031289	
106	-5.000197	-4.997908	11.719361	11.721650	8.210624	8.211539	
107	-4.987838	-4.985550	11.842944	11.845233	8.383641	8.384556	
108	-4.976004	-4.973715	11.961287	11.963576	8.549321	8.550236	
109	-4.964701	-4.962412	12.074318	12.076606	8.707563	8.708479	
110	-4.953936	-4.951647	12.181968	12.184256	8.858273	8.859189	
111	-4.943716	-4.941427	12.284172	12.286461	9.001360	9.002275	
112	-4.934046	-4.931757	12.380870	12.383159	9.136737	9.137652	
113	-4.924933	-4.922644	12.472003	12.474291	9.264322	9.265238	
114	-4.916381	-4.914093	12.557515	12.559804	9.384040	9.384956	
115	-4.908397	-4.906108	12.637356	12.639645	9.495818	9.496733	
116	-4.900985	-4.898696	12.711478	12.713767	9.599588	9.600503	
117	-4.894149	-4.891861	12.779835	12.782124	9.695288	9.696204	
118	-4.887894	-4.885605	12.842387	12.844676	9.782861	9.783776	
119	-4.882223	-4.879934	12.899096	12.901385	9.862253	9.863168	
120	-4.877140	-4.874851	12.949927	12.952216	9.933417	9.934333	
121	-4.872648	-4.870359	12.994851	12.997140	9.996310	9.997226	
122	-4.868749	-4.866460	13.033840	13.036129	10.050894	10.051810	
123	-4.865446	-4.863157	13.066870	13.069159	10.097137	10.098052	
124	-4.862741	-4.860452	13.093922	13.096211	10.135009	10.135925	
125	-4.860635	-4.858346	13.114979	13.117268	10.164489	10.165405	
126	-4.859130	-4.856841	13.130029	13.132318	10.185559	10.186475	
127	-4.858227	-4.855938	13.139063	13.141352	10.198207	10.199122	
128	-4.857925	-4.855637	13.142075	13.144363	10.202423	10.203339	
129	-4.854914	-4.852625	13.142376	13.144665	10.203025	10.203941	
130	-4.845880	-4.843591	13.143279	13.145568	10.204832	10.205748	
131	-4.830830	-4.828541	13.144784	13.147073	10.207842	10.208758	
132	-4.809773	-4.807484	13.146890	13.149179	10.212054	10.212969	
133	-4.782721	-4.780432	13.149595	13.151884	10.217464	10.218380	
134	-4.749691	-4.747402	13.152898	13.155187	10.224070	10.224986	
135	-4.710702	-4.708413	13.156797	13.159086	10.231868	10.232783	
136	-4.665778	-4.663489	13.161289	13.163578	10.240853	10.241768	
137	-4.614947	-4.612658	13.166372	13.168661	10.251019	10.251934	
138	-4.558238	-4.555949	13.172043	13.174332	10.262361	10.263276	
139	-4.495686	-4.493397	13.178299	13.180587	10.274871	10.275786	
140	-4.427329	-4.425040	13.185134	13.187423	10.288542	10.289458	
141	-4.353207	-4.350918	13.192546	13.194835	10.303367	10.304282	
142	-4.273366	-4.271077	13.200531	13.202819	10.319335	10.320250	
143	-4.187853	-4.185565	13.209082	13.211371	10.336437	10.337353	
144	-4.096721	-4.094432	13.218195	13.220484	10.354664	10.355580	
145	-4.000023	-3.997734	13.227865	13.230154	10.374004	10.374919	
146	-3.897818	-3.895530	13.238085	13.240374	10.394445	10.395360	
147	-3.790168	-3.787880	13.248850	13.251139	10.415974	10.416890	
148	-3.677138	-3.674849	13.260153	13.262442	10.438581	10.439496	
149	-3.558795	-3.556507	13.271988	13.274276	10.462249	10.463165	
150	-3.435212	-3.432923	13.284346	13.286635	10.486966	10.487881	
151	-3.306461	-3.304172	13.297221	13.299510	10.512716	10.513631	
152	-3.172622	-3.170333	13.310605	13.312894	10.539484	10.540399	
153	-3.033774	-3.031485	13.324490	13.326779	10.567253	10.568169	
154	-2.890001	-2.887712	13.338867	13.341156	10.596008	10.596924	
155	-2.741390	-2.739101	13.353728	13.356017	10.625730	10.626646	
156	-2.588030	-2.585741	13.369064	13.371353	10.656402	10.657318	
157	-2.430014	-2.427725	13.384866	13.387155	10.688005	10.688921	
158	-2.267437	-2.265148	13.401123	13.403412	10.720521	10.721436	
159	-2.100396	-2.098107	13.417828	13.420116	10.753929	10.754844	
160	-1.928993	-1.926704	13.434968	13.437257	10.788210	10.789125	
161	-1.753331	-1.751042	13.452534	13.454823	10.823342	10.824258	
162	-1.573515	-1.571226	13.470516	13.472804	10.859305	10.860221	
163	-1.389654	-1.387365	13.488902	13.491191	10.896077	10.896993	
164	-1.201858	-1.199569	13.507681	13.509970	10.933637	10.934552	
165	-1.010241	-1.007953	13.526843	13.529132	10.971960	10.972875	
166	-0.814918	-0.812630	13.546375	13.548664	11.011024	11.011940	
167	-0.616007	-0.613719	13.566266	13.568555	11.050807	11.051722	
168	-0.413628	-0.411339	13.586504	13.588793	11.091283	11.092198	
169	-0.207902	-0.205613	13.607077	13.609366	11.132428	11.133343	
170	0.001047	0.003336	13.627972	13.630261	11.174218	11.175133	
171	0.213093	0.215381	13.649176	13.651465	11.216627	11.217542	
172	0.428107	0.430396	13.670678	13.672967	11.259630	11.260545	
