# n = 1.2 U  = 14.0 J = 3.500 k = 128.0
#    itr              mu            ntot            mtot            etot
       1        5.973900        1.199951        0.151794        3.223491
       2        5.824857        1.200317        0.083008        3.333058
       3        5.796957        1.200317        0.044678        3.371546
       4        5.787239        1.200317        0.023682        3.382324
       5        5.779039        1.200073        0.012329        3.383845
       6        5.779639        1.200073        0.006226        3.381317
       7        5.769739        1.200073        0.003296        3.381596
       8        5.768039        1.200073        0.002808        3.381670
       9        5.767639        1.200073        0.002319        3.381681
      10        5.769839        1.200073        0.002319        3.381690
      11        5.769839        1.200073        0.002319        3.381690
