#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-0.039803	-6.825218	-0.039803	-6.825218	-10.815018	-17.978867	
1	-0.039501	-6.824917	-0.036791	-6.822206	-10.810801	-17.974650	
2	-0.038598	-6.824014	-0.027757	-6.813173	-10.798154	-17.962003	
3	-0.037093	-6.822509	-0.012707	-6.798123	-10.777084	-17.940933	
4	-0.034987	-6.820403	0.008350	-6.777065	-10.747604	-17.911453	
5	-0.032282	-6.817698	0.035402	-6.750014	-10.709731	-17.873580	
6	-0.028979	-6.814395	0.068432	-6.716983	-10.663489	-17.827338	
7	-0.025080	-6.810496	0.107421	-6.677995	-10.608905	-17.772754	
8	-0.020588	-6.806003	0.152345	-6.633071	-10.546012	-17.709861	
9	-0.015505	-6.800920	0.203176	-6.582240	-10.474848	-17.638696	
10	-0.009834	-6.795249	0.259885	-6.525531	-10.395455	-17.559304	
11	-0.003579	-6.788994	0.322437	-6.462979	-10.307883	-17.471731	
12	0.003257	-6.782159	0.390794	-6.394622	-10.212182	-17.376031	
13	0.010669	-6.774746	0.464916	-6.320500	-10.108412	-17.272261	
14	0.018653	-6.766762	0.544757	-6.240659	-9.996635	-17.160483	
15	0.027205	-6.758211	0.630269	-6.155146	-9.876917	-17.040766	
16	0.036318	-6.749098	0.721402	-6.064014	-9.749331	-16.913180	
17	0.045988	-6.739428	0.818100	-5.967316	-9.613954	-16.777803	
18	0.056208	-6.729207	0.920305	-5.865111	-9.470868	-16.634717	
19	0.066973	-6.718443	1.027954	-5.757461	-9.320158	-16.484007	
20	0.078276	-6.707139	1.140985	-5.644431	-9.161915	-16.325764	
21	0.090110	-6.695305	1.259328	-5.526088	-8.996236	-16.160084	
22	0.102469	-6.682947	1.382911	-5.402504	-8.823218	-15.987067	
23	0.115344	-6.670072	1.511662	-5.273754	-8.642968	-15.806816	
24	0.128728	-6.656688	1.645501	-5.139914	-8.455592	-15.619441	
25	0.142613	-6.642803	1.784349	-5.001066	-8.261205	-15.425054	
26	0.156990	-6.628426	1.928122	-4.857294	-8.059923	-15.223772	
27	0.171851	-6.613565	2.076733	-4.708682	-7.851868	-15.015717	
28	0.187187	-6.598229	2.230093	-4.555323	-7.637164	-14.801013	
29	0.202989	-6.582427	2.388109	-4.397307	-7.415942	-14.579790	
30	0.219246	-6.566169	2.550686	-4.234729	-7.188333	-14.352182	
31	0.235950	-6.549465	2.717727	-4.067689	-6.954477	-14.118326	
32	0.253091	-6.532325	2.889130	-3.896286	-6.714513	-13.878362	
33	0.270657	-6.514759	3.064792	-3.720624	-6.468585	-13.632434	
34	0.288638	-6.496777	3.244608	-3.540808	-6.216843	-13.380692	
35	0.307025	-6.478391	3.428469	-3.356947	-5.959438	-13.123286	
36	0.325804	-6.459611	3.616265	-3.169151	-5.696524	-12.860373	
37	0.344966	-6.440450	3.807882	-2.977534	-5.428260	-12.592109	
38	0.364498	-6.420918	4.003204	-2.782211	-5.154808	-12.318657	
39	0.384389	-6.401026	4.202116	-2.583300	-4.876332	-12.040181	
40	0.404627	-6.380788	4.404495	-2.380921	-4.593001	-11.756850	
41	0.425200	-6.360216	4.610221	-2.175194	-4.304984	-11.468833	
42	0.446095	-6.339321	4.819170	-1.966246	-4.012456	-11.176305	
43	0.467299	-6.318116	5.031216	-1.754200	-3.715592	-10.879441	
44	0.488801	-6.296615	5.246230	-1.539186	-3.414572	-10.578421	
45	0.510586	-6.274830	5.464084	-1.321331	-3.109576	-10.273425	
46	0.532642	-6.252773	5.684647	-1.100769	-2.800789	-9.964638	
47	0.554956	-6.230460	5.907784	-0.877631	-2.488396	-9.652245	
48	0.577514	-6.207902	6.133363	-0.652053	-2.172586	-9.336435	
49	0.600302	-6.185113	6.361247	-0.424169	-1.853548	-9.017397	
50	0.623308	-6.162108	6.591299	-0.194117	-1.531476	-8.695325	
51	0.646516	-6.138900	6.823380	0.037964	-1.206562	-8.370411	
52	0.669913	-6.115503	7.057351	0.271935	-0.879003	-8.042852	
53	0.693485	-6.091931	7.293070	0.507654	-0.548996	-7.712845	
54	0.717217	-6.068198	7.530396	0.744980	-0.216740	-7.380589	
55	0.741096	-6.044319	7.769185	0.983769	0.117565	-7.046284	
56	0.765107	-6.020309	8.009294	1.223879	0.453718	-6.710131	
57	0.789236	-5.996180	8.250579	1.465163	0.791516	-6.372333	
58	0.813467	-5.971949	8.492893	1.707477	1.130756	-6.033093	
59	0.837787	-5.947629	8.736091	1.950675	1.471233	-5.692616	
60	0.862180	-5.923235	8.980026	2.194610	1.812742	-5.351107	
61	0.886633	-5.898783	9.224552	2.439136	2.155078	-5.008770	
62	0.911130	-5.874286	9.469521	2.684105	2.498035	-4.665814	
63	0.935656	-5.849759	9.714785	2.929370	2.841405	-4.322444	
64	0.960197	-5.825218	9.960197	3.174782	3.184982	-3.978867	
65	0.984739	-5.800677	10.205610	3.420194	3.528559	-3.635289	
66	1.009265	-5.776151	10.450874	3.665459	3.871930	-3.291919	
67	1.033762	-5.751654	10.695843	3.910427	4.214886	-2.948963	
68	1.058215	-5.727201	10.940369	4.154953	4.557222	-2.606627	
69	1.082608	-5.702808	11.184304	4.398889	4.898732	-2.265117	
70	1.106928	-5.678488	11.427502	4.642087	5.239209	-1.924640	
71	1.131159	-5.654256	11.669816	4.884401	5.578449	-1.585400	
72	1.155288	-5.630128	11.911101	5.125685	5.916247	-1.247602	
73	1.179299	-5.606117	12.151210	5.365794	6.252400	-0.911449	
74	1.203178	-5.582238	12.389999	5.604584	6.586705	-0.577144	
75	1.226910	-5.558505	12.627325	5.841909	6.918961	-0.244888	
76	1.250482	-5.534934	12.863044	6.077629	7.248968	0.085119	
77	1.273879	-5.511536	13.097015	6.311599	7.576527	0.412678	
78	1.297087	-5.488328	13.329096	6.543680	7.901440	0.737591	
79	1.320092	-5.465323	13.559148	6.773732	8.223513	1.059664	
80	1.342881	-5.442535	13.787032	7.001616	8.542550	1.378701	
81	1.365439	-5.419977	14.012611	7.227195	8.858361	1.694512	
82	1.387753	-5.397663	14.235748	7.450333	9.170754	2.006905	
83	1.409809	-5.375607	14.456311	7.670895	9.479541	2.315692	
84	1.431594	-5.353821	14.674165	7.888749	9.784537	2.620688	
85	1.453096	-5.332320	14.889179	8.103764	10.085557	2.921708	
86	1.474300	-5.311115	15.101225	8.315809	10.382421	3.218572	
87	1.495195	-5.290221	15.310174	8.524758	10.674949	3.511100	
88	1.515768	-5.269648	15.515900	8.730484	10.962966	3.799117	
89	1.536006	-5.249410	15.718279	8.932864	11.246297	4.082448	
90	1.555897	-5.229519	15.917190	9.131775	11.524773	4.360924	
91	1.575429	-5.209987	16.112513	9.327098	11.798225	4.634376	
92	1.594591	-5.190825	16.304130	9.518715	12.066488	4.902639	
93	1.613370	-5.172045	16.491926	9.706510	12.329402	5.165553	
94	1.631756	-5.153659	16.675787	9.890371	12.586808	5.422959	
95	1.649738	-5.135678	16.855603	10.070187	12.838550	5.674701	
96	1.667304	-5.118111	17.031265	10.245850	13.084477	5.920628	
97	1.684445	-5.100971	17.202668	10.417253	13.324441	6.160593	
98	1.701149	-5.084267	17.369709	10.584293	13.558298	6.394449	
99	1.717406	-5.068009	17.532286	10.746870	13.785906	6.622057	
100	1.733208	-5.052208	17.690302	10.904886	14.007129	6.843280	
101	1.748544	-5.036872	17.843662	11.058246	14.221832	7.057983	
102	1.763405	-5.022011	17.992273	11.206857	14.429888	7.266039	
103	1.777782	-5.007633	18.136046	11.350630	14.631170	7.467321	
104	1.791667	-4.993749	18.274894	11.489478	14.825557	7.661708	
105	1.805051	-4.980365	18.408733	11.623317	15.012932	7.849083	
106	1.817926	-4.967490	18.537484	11.752068	15.193183	8.029334	
107	1.830284	-4.955131	18.661067	11.875652	15.366200	8.202351	
108	1.842119	-4.943297	18.779410	11.993994	15.531880	8.368031	
109	1.853422	-4.931994	18.892440	12.107025	15.690123	8.526274	
110	1.864187	-4.921229	19.000090	12.214675	15.840832	8.676984	
111	1.874407	-4.911008	19.102295	12.316879	15.983919	8.820070	
112	1.884077	-4.901339	19.198993	12.413577	16.119296	8.955447	
113	1.893190	-4.892225	19.290125	12.504710	16.246881	9.083033	
114	1.901742	-4.883674	19.375638	12.590222	16.366599	9.202750	
115	1.909726	-4.875690	19.455479	12.670064	16.478377	9.314528	
116	1.917138	-4.868278	19.529601	12.744185	16.582147	9.418298	
117	1.923974	-4.861442	19.597958	12.812542	16.677847	9.513998	
118	1.930229	-4.855187	19.660510	12.875094	16.765420	9.601571	
119	1.935900	-4.849516	19.717219	12.931803	16.844812	9.680963	
120	1.940983	-4.844433	19.768050	12.982635	16.915976	9.752127	
121	1.945475	-4.839941	19.812974	13.027558	16.978869	9.815020	
122	1.949374	-4.836042	19.851963	13.066547	17.033453	9.869605	
123	1.952677	-4.832739	19.884993	13.099577	17.079696	9.915847	
124	1.955382	-4.830033	19.912045	13.126629	17.117568	9.953720	
125	1.957488	-4.827928	19.933102	13.147686	17.147049	9.983200	
126	1.958993	-4.826423	19.948152	13.162736	17.168119	10.004270	
127	1.959896	-4.825519	19.957186	13.171770	17.180766	10.016917	
128	1.960197	-4.825218	19.960197	13.174782	17.184982	10.021133	
129	1.963209	-4.822206	19.960499	13.175083	17.185585	10.021736	
130	1.972243	-4.813173	19.961402	13.175986	17.187391	10.023543	
131	1.987293	-4.798123	19.962907	13.177491	17.190401	10.026553	
132	2.008350	-4.777065	19.965013	13.179597	17.194613	10.030764	
133	2.035402	-4.750014	19.967718	13.182302	17.200023	10.036174	
134	2.068432	-4.716983	19.971021	13.185605	17.206629	10.042780	
135	2.107421	-4.677995	19.974920	13.189504	17.214427	10.050578	
136	2.152345	-4.633071	19.979412	13.193997	17.223412	10.059563	
137	2.203176	-4.582240	19.984495	13.199080	17.233578	10.069729	
138	2.259885	-4.525531	19.990166	13.204751	17.244920	10.081071	
139	2.322437	-4.462979	19.996421	13.211006	17.257430	10.093581	
140	2.390794	-4.394622	20.003257	13.217841	17.271102	10.107253	
141	2.464916	-4.320500	20.010669	13.225254	17.285926	10.122077	
142	2.544757	-4.240659	20.018653	13.233238	17.301894	10.138045	
143	2.630269	-4.155146	20.027205	13.241789	17.318997	10.155148	
144	2.721402	-4.064014	20.036318	13.250902	17.337223	10.173374	
145	2.818100	-3.967316	20.045988	13.260572	17.356563	10.192714	
146	2.920305	-3.865111	20.056208	13.270793	17.377004	10.213155	
147	3.027954	-3.757461	20.066973	13.281557	17.398534	10.234685	
148	3.140985	-3.644431	20.078276	13.292861	17.421140	10.257291	
149	3.259328	-3.526088	20.090110	13.304695	17.444808	10.280959	
150	3.382911	-3.402504	20.102469	13.317053	17.469525	10.305676	
151	3.511662	-3.273754	20.115344	13.329928	17.495275	10.331426	
152	3.645501	-3.139914	20.128728	13.343312	17.522043	10.358194	
153	3.784349	-3.001066	20.142613	13.357197	17.549813	10.385964	
154	3.928122	-2.857294	20.156990	13.371574	17.578567	10.414718	
155	4.076733	-2.708682	20.171851	13.386435	17.608289	10.444441	
156	4.230093	-2.555323	20.187187	13.401771	17.638961	10.475113	
157	4.388109	-2.397307	20.202989	13.417573	17.670565	10.506716	
158	4.550686	-2.234729	20.219246	13.433831	17.703080	10.539231	
159	4.717727	-2.067689	20.235950	13.450535	17.736488	10.572639	
160	4.889130	-1.896286	20.253091	13.467675	17.770769	10.606920	
161	5.064792	-1.720624	20.270657	13.485241	17.805901	10.642052	
162	5.244608	-1.540808	20.288638	13.503223	17.841864	10.678016	
163	5.428469	-1.356947	20.307025	13.521609	17.878637	10.714788	
164	5.616265	-1.169151	20.325804	13.540389	17.916196	10.752347	
