#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	0.316193	0.316193	0.316193	0.316193	-10.879639	-10.879639	
1	0.316494	0.316494	0.319204	0.319204	-10.875422	-10.875422	
2	0.317397	0.317397	0.328238	0.328238	-10.862775	-10.862775	
3	0.318902	0.318902	0.343288	0.343288	-10.841705	-10.841705	
4	0.321008	0.321008	0.364345	0.364345	-10.812225	-10.812225	
5	0.323713	0.323713	0.391397	0.391397	-10.774352	-10.774352	
6	0.327016	0.327016	0.424428	0.424428	-10.728110	-10.728110	
7	0.330915	0.330915	0.463416	0.463416	-10.673526	-10.673526	
8	0.335407	0.335407	0.508340	0.508340	-10.610633	-10.610633	
9	0.340490	0.340490	0.559171	0.559171	-10.539468	-10.539468	
10	0.346161	0.346161	0.615880	0.615880	-10.460076	-10.460076	
11	0.352417	0.352417	0.678432	0.678432	-10.372504	-10.372504	
12	0.359252	0.359252	0.746789	0.746789	-10.276803	-10.276803	
13	0.366664	0.366664	0.820911	0.820911	-10.173033	-10.173033	
14	0.374649	0.374649	0.900752	0.900752	-10.061256	-10.061256	
15	0.383200	0.383200	0.986265	0.986265	-9.941538	-9.941538	
16	0.392313	0.392313	1.077397	1.077397	-9.813952	-9.813952	
17	0.401983	0.401983	1.174095	1.174095	-9.678575	-9.678575	
18	0.412203	0.412203	1.276300	1.276300	-9.535489	-9.535489	
19	0.422968	0.422968	1.383950	1.383950	-9.384779	-9.384779	
20	0.434271	0.434271	1.496980	1.496980	-9.226536	-9.226536	
21	0.446106	0.446106	1.615323	1.615323	-9.060857	-9.060857	
22	0.458464	0.458464	1.738907	1.738907	-8.887839	-8.887839	
23	0.471339	0.471339	1.867657	1.867657	-8.707589	-8.707589	
24	0.484723	0.484723	2.001497	2.001497	-8.520213	-8.520213	
25	0.498608	0.498608	2.140344	2.140344	-8.325826	-8.325826	
26	0.512985	0.512985	2.284117	2.284117	-8.124544	-8.124544	
27	0.527846	0.527846	2.432728	2.432728	-7.916489	-7.916489	
28	0.543182	0.543182	2.586088	2.586088	-7.701785	-7.701785	
29	0.558984	0.558984	2.744104	2.744104	-7.480563	-7.480563	
30	0.575242	0.575242	2.906681	2.906681	-7.252954	-7.252954	
31	0.591946	0.591946	3.073722	3.073722	-7.019098	-7.019098	
32	0.609086	0.609086	3.245125	3.245125	-6.779134	-6.779134	
33	0.626652	0.626652	3.420787	3.420787	-6.533206	-6.533206	
34	0.644634	0.644634	3.600603	3.600603	-6.281464	-6.281464	
35	0.663020	0.663020	3.784464	3.784464	-6.024058	-6.024058	
36	0.681799	0.681799	3.972260	3.972260	-5.761145	-5.761145	
37	0.700961	0.700961	4.163877	4.163877	-5.492881	-5.492881	
38	0.720493	0.720493	4.359200	4.359200	-5.219429	-5.219429	
39	0.740384	0.740384	4.558111	4.558111	-4.940953	-4.940953	
40	0.760622	0.760622	4.760490	4.760490	-4.657622	-4.657622	
41	0.781195	0.781195	4.966216	4.966216	-4.369605	-4.369605	
42	0.802090	0.802090	5.175165	5.175165	-4.077077	-4.077077	
43	0.823294	0.823294	5.387211	5.387211	-3.780213	-3.780213	
44	0.844796	0.844796	5.602225	5.602225	-3.479193	-3.479193	
45	0.866581	0.866581	5.820079	5.820079	-3.174197	-3.174197	
46	0.888638	0.888638	6.040642	6.040642	-2.865410	-2.865410	
47	0.910951	0.910951	6.263779	6.263779	-2.553017	-2.553017	
48	0.933509	0.933509	6.489358	6.489358	-2.237207	-2.237207	
49	0.956298	0.956298	6.717242	6.717242	-1.918169	-1.918169	
50	0.979303	0.979303	6.947294	6.947294	-1.596097	-1.596097	
51	1.002511	1.002511	7.179375	7.179375	-1.271183	-1.271183	
52	1.025908	1.025908	7.413346	7.413346	-0.943624	-0.943624	
53	1.049480	1.049480	7.649065	7.649065	-0.613617	-0.613617	
54	1.073212	1.073212	7.886391	7.886391	-0.281361	-0.281361	
55	1.097091	1.097091	8.125180	8.125180	0.052944	0.052944	
56	1.121102	1.121102	8.365289	8.365289	0.389097	0.389097	
57	1.145231	1.145231	8.606574	8.606574	0.726895	0.726895	
58	1.169462	1.169462	8.848888	8.848888	1.066135	1.066135	
59	1.193782	1.193782	9.092086	9.092086	1.406612	1.406612	
60	1.218175	1.218175	9.336021	9.336021	1.748121	1.748121	
61	1.242628	1.242628	9.580547	9.580547	2.090457	2.090457	
62	1.267125	1.267125	9.825516	9.825516	2.433414	2.433414	
63	1.291651	1.291651	10.070780	10.070780	2.776784	2.776784	
64	1.316193	1.316193	10.316193	10.316193	3.120361	3.120361	
65	1.340734	1.340734	10.561605	10.561605	3.463939	3.463939	
66	1.365260	1.365260	10.806869	10.806869	3.807309	3.807309	
67	1.389757	1.389757	11.051838	11.051838	4.150265	4.150265	
68	1.414210	1.414210	11.296364	11.296364	4.492601	4.492601	
69	1.438603	1.438603	11.540299	11.540299	4.834111	4.834111	
70	1.462923	1.462923	11.783497	11.783497	5.174588	5.174588	
71	1.487155	1.487155	12.025812	12.025812	5.513828	5.513828	
72	1.511283	1.511283	12.267096	12.267096	5.851626	5.851626	
73	1.535294	1.535294	12.507205	12.507205	6.187779	6.187779	
74	1.559173	1.559173	12.745994	12.745994	6.522084	6.522084	
75	1.582905	1.582905	12.983320	12.983320	6.854340	6.854340	
76	1.606477	1.606477	13.219039	13.219039	7.184347	7.184347	
77	1.629874	1.629874	13.453010	13.453010	7.511906	7.511906	
78	1.653082	1.653082	13.685091	13.685091	7.836819	7.836819	
79	1.676088	1.676088	13.915143	13.915143	8.158892	8.158892	
80	1.698876	1.698876	14.143027	14.143027	8.477929	8.477929	
81	1.721434	1.721434	14.368606	14.368606	8.793740	8.793740	
82	1.743748	1.743748	14.591744	14.591744	9.106133	9.106133	
83	1.765804	1.765804	14.812306	14.812306	9.414920	9.414920	
84	1.787589	1.787589	15.030160	15.030160	9.719916	9.719916	
85	1.809091	1.809091	15.245175	15.245175	10.020936	10.020936	
86	1.830295	1.830295	15.457220	15.457220	10.317800	10.317800	
87	1.851190	1.851190	15.666169	15.666169	10.610328	10.610328	
88	1.871763	1.871763	15.871895	15.871895	10.898345	10.898345	
89	1.892001	1.892001	16.074275	16.074275	11.181676	11.181676	
90	1.911892	1.911892	16.273186	16.273186	11.460152	11.460152	
91	1.931424	1.931424	16.468509	16.468509	11.733604	11.733604	
92	1.950586	1.950586	16.660125	16.660125	12.001867	12.001867	
93	1.969365	1.969365	16.847921	16.847921	12.264781	12.264781	
94	1.987752	1.987752	17.031782	17.031782	12.522187	12.522187	
95	2.005733	2.005733	17.211598	17.211598	12.773929	12.773929	
96	2.023299	2.023299	17.387260	17.387260	13.019856	13.019856	
97	2.040440	2.040440	17.558663	17.558663	13.259820	13.259820	
98	2.057144	2.057144	17.725704	17.725704	13.493677	13.493677	
99	2.073401	2.073401	17.888281	17.888281	13.721285	13.721285	
100	2.089203	2.089203	18.046297	18.046297	13.942508	13.942508	
101	2.104539	2.104539	18.199657	18.199657	14.157211	14.157211	
102	2.119400	2.119400	18.348268	18.348268	14.365267	14.365267	
103	2.133777	2.133777	18.492041	18.492041	14.566549	14.566549	
104	2.147662	2.147662	18.630889	18.630889	14.760936	14.760936	
105	2.161046	2.161046	18.764728	18.764728	14.948311	14.948311	
106	2.173921	2.173921	18.893479	18.893479	15.128562	15.128562	
107	2.186280	2.186280	19.017063	19.017063	15.301579	15.301579	
108	2.198114	2.198114	19.135405	19.135405	15.467259	15.467259	
109	2.209417	2.209417	19.248436	19.248436	15.625502	15.625502	
110	2.220182	2.220182	19.356086	19.356086	15.776211	15.776211	
111	2.230402	2.230402	19.458290	19.458290	15.919298	15.919298	
112	2.240072	2.240072	19.554988	19.554988	16.054675	16.054675	
113	2.249185	2.249185	19.646121	19.646121	16.182261	16.182261	
114	2.257737	2.257737	19.731633	19.731633	16.301978	16.301978	
115	2.265721	2.265721	19.811474	19.811474	16.413756	16.413756	
116	2.273133	2.273133	19.885596	19.885596	16.517526	16.517526	
117	2.279969	2.279969	19.953953	19.953953	16.613226	16.613226	
118	2.286224	2.286224	20.016505	20.016505	16.700799	16.700799	
119	2.291895	2.291895	20.073214	20.073214	16.780191	16.780191	
120	2.296978	2.296978	20.124045	20.124045	16.851355	16.851355	
121	2.301470	2.301470	20.168969	20.168969	16.914248	16.914248	
122	2.305369	2.305369	20.207958	20.207958	16.968832	16.968832	
123	2.308672	2.308672	20.240988	20.240988	17.015075	17.015075	
124	2.311377	2.311377	20.268040	20.268040	17.052948	17.052948	
125	2.313483	2.313483	20.289097	20.289097	17.082428	17.082428	
126	2.314988	2.314988	20.304147	20.304147	17.103498	17.103498	
127	2.315891	2.315891	20.313181	20.313181	17.116145	17.116145	
128	2.316193	2.316193	20.316193	20.316193	17.120361	17.120361	
129	2.319204	2.319204	20.316494	20.316494	17.120964	17.120964	
130	2.328238	2.328238	20.317397	20.317397	17.122770	17.122770	
131	2.343288	2.343288	20.318902	20.318902	17.125780	17.125780	
132	2.364345	2.364345	20.321008	20.321008	17.129992	17.129992	
133	2.391397	2.391397	20.323713	20.323713	17.135402	17.135402	
134	2.424428	2.424428	20.327016	20.327016	17.142008	17.142008	
135	2.463416	2.463416	20.330915	20.330915	17.149806	17.149806	
136	2.508340	2.508340	20.335407	20.335407	17.158791	17.158791	
137	2.559171	2.559171	20.340490	20.340490	17.168957	17.168957	
138	2.615880	2.615880	20.346161	20.346161	17.180299	17.180299	
139	2.678432	2.678432	20.352417	20.352417	17.192809	17.192809	
140	2.746789	2.746789	20.359252	20.359252	17.206481	17.206481	
141	2.820911	2.820911	20.366664	20.366664	17.221305	17.221305	
142	2.900752	2.900752	20.374649	20.374649	17.237273	17.237273	
143	2.986265	2.986265	20.383200	20.383200	17.254376	17.254376	
144	3.077397	3.077397	20.392313	20.392313	17.272602	17.272602	
145	3.174095	3.174095	20.401983	20.401983	17.291942	17.291942	
146	3.276300	3.276300	20.412203	20.412203	17.312383	17.312383	
147	3.383950	3.383950	20.422968	20.422968	17.333913	17.333913	
148	3.496980	3.496980	20.434271	20.434271	17.356519	17.356519	
149	3.615323	3.615323	20.446106	20.446106	17.380187	17.380187	
150	3.738907	3.738907	20.458464	20.458464	17.404904	17.404904	
151	3.867657	3.867657	20.471339	20.471339	17.430654	17.430654	
152	4.001497	4.001497	20.484723	20.484723	17.457422	17.457422	
153	4.140344	4.140344	20.498608	20.498608	17.485192	17.485192	
154	4.284117	4.284117	20.512985	20.512985	17.513946	17.513946	
155	4.432728	4.432728	20.527846	20.527846	17.543668	17.543668	
156	4.586088	4.586088	20.543182	20.543182	17.574340	17.574340	
157	4.744104	4.744104	20.558984	20.558984	17.605944	17.605944	
158	4.906681	4.906681	20.575242	20.575242	17.638459	17.638459	
159	5.073722	5.073722	20.591946	20.591946	17.671867	17.671867	
160	5.245125	5.245125	20.609086	20.609086	17.706148	17.706148	
161	5.420787	5.420787	20.626652	20.626652	17.741280	17.741280	
162	5.600603	5.600603	20.644634	20.644634	17.777243	17.777243	
163	5.784464	5.784464	20.663020	20.663020	17.814016	17.814016	
164	5.972260	5.972260	20.681799	20.681799	17.851575	17.851575	
165	6.163877	6.163877	20.700961	20.700961	17.889898	17.889898	
166	6.359200	6.359200	20.720493	20.720493	17.928963	17.928963	
167	6.558111	6.558111	20.740384	20.740384	17.968745	17.968745	
