#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-7.644516	-7.644516	-7.644516	-7.644516	-18.715698	-18.715698	
1	-7.644215	-7.644215	-7.641504	-7.641504	-18.711482	-18.711482	
2	-7.643311	-7.643311	-7.632471	-7.632471	-18.698835	-18.698835	
3	-7.641806	-7.641806	-7.617421	-7.617421	-18.677765	-18.677765	
4	-7.639701	-7.639701	-7.596363	-7.596363	-18.648284	-18.648284	
5	-7.636996	-7.636996	-7.569311	-7.569311	-18.610412	-18.610412	
6	-7.633693	-7.633693	-7.536281	-7.536281	-18.564169	-18.564169	
7	-7.629794	-7.629794	-7.497292	-7.497292	-18.509585	-18.509585	
8	-7.625301	-7.625301	-7.452369	-7.452369	-18.446692	-18.446692	
9	-7.620218	-7.620218	-7.401537	-7.401537	-18.375528	-18.375528	
10	-7.614547	-7.614547	-7.344829	-7.344829	-18.296136	-18.296136	
11	-7.608292	-7.608292	-7.282277	-7.282277	-18.208563	-18.208563	
12	-7.601456	-7.601456	-7.213919	-7.213919	-18.112863	-18.112863	
13	-7.594044	-7.594044	-7.139798	-7.139798	-18.009093	-18.009093	
14	-7.586060	-7.586060	-7.059957	-7.059957	-17.897315	-17.897315	
15	-7.577509	-7.577509	-6.974444	-6.974444	-17.777597	-17.777597	
16	-7.568396	-7.568396	-6.883311	-6.883311	-17.650012	-17.650012	
17	-7.558726	-7.558726	-6.786614	-6.786614	-17.514635	-17.514635	
18	-7.548505	-7.548505	-6.684409	-6.684409	-17.371548	-17.371548	
19	-7.537740	-7.537740	-6.576759	-6.576759	-17.220838	-17.220838	
20	-7.526437	-7.526437	-6.463729	-6.463729	-17.062596	-17.062596	
21	-7.514603	-7.514603	-6.345386	-6.345386	-16.896916	-16.896916	
22	-7.502245	-7.502245	-6.221802	-6.221802	-16.723899	-16.723899	
23	-7.489370	-7.489370	-6.093052	-6.093052	-16.543648	-16.543648	
24	-7.475986	-7.475986	-5.959212	-5.959212	-16.356273	-16.356273	
25	-7.462101	-7.462101	-5.820364	-5.820364	-16.161886	-16.161886	
26	-7.447724	-7.447724	-5.676591	-5.676591	-15.960604	-15.960604	
27	-7.432862	-7.432862	-5.527980	-5.527980	-15.752548	-15.752548	
28	-7.417526	-7.417526	-5.374621	-5.374621	-15.537845	-15.537845	
29	-7.401725	-7.401725	-5.216604	-5.216604	-15.316622	-15.316622	
30	-7.385467	-7.385467	-5.054027	-5.054027	-15.089014	-15.089014	
31	-7.368763	-7.368763	-4.886987	-4.886987	-14.855157	-14.855157	
32	-7.351623	-7.351623	-4.715584	-4.715584	-14.615193	-14.615193	
33	-7.334057	-7.334057	-4.539921	-4.539921	-14.369266	-14.369266	
34	-7.316075	-7.316075	-4.360106	-4.360106	-14.117524	-14.117524	
35	-7.297689	-7.297689	-4.176244	-4.176244	-13.860118	-13.860118	
36	-7.278909	-7.278909	-3.988449	-3.988449	-13.597204	-13.597204	
37	-7.259748	-7.259748	-3.796832	-3.796832	-13.328941	-13.328941	
38	-7.240215	-7.240215	-3.601509	-3.601509	-13.055489	-13.055489	
39	-7.220324	-7.220324	-3.402598	-3.402598	-12.777013	-12.777013	
40	-7.200086	-7.200086	-3.200218	-3.200218	-12.493682	-12.493682	
41	-7.179514	-7.179514	-2.994492	-2.994492	-12.205665	-12.205665	
42	-7.158619	-7.158619	-2.785543	-2.785543	-11.913137	-11.913137	
43	-7.137414	-7.137414	-2.573498	-2.573498	-11.616273	-11.616273	
44	-7.115913	-7.115913	-2.358483	-2.358483	-11.315253	-11.315253	
45	-7.094127	-7.094127	-2.140629	-2.140629	-11.010257	-11.010257	
46	-7.072071	-7.072071	-1.920067	-1.920067	-10.701470	-10.701470	
47	-7.049757	-7.049757	-1.696929	-1.696929	-10.389077	-10.389077	
48	-7.027199	-7.027199	-1.471350	-1.471350	-10.073266	-10.073266	
49	-7.004411	-7.004411	-1.243466	-1.243466	-9.754229	-9.754229	
50	-6.981406	-6.981406	-1.013415	-1.013415	-9.432156	-9.432156	
51	-6.958198	-6.958198	-0.781333	-0.781333	-9.107243	-9.107243	
52	-6.934801	-6.934801	-0.547363	-0.547363	-8.779684	-8.779684	
53	-6.911229	-6.911229	-0.311644	-0.311644	-8.449677	-8.449677	
54	-6.887496	-6.887496	-0.074318	-0.074318	-8.117421	-8.117421	
55	-6.863617	-6.863617	0.164472	0.164472	-7.783116	-7.783116	
56	-6.839606	-6.839606	0.404581	0.404581	-7.446963	-7.446963	
57	-6.815478	-6.815478	0.645865	0.645865	-7.109165	-7.109165	
58	-6.791246	-6.791246	0.888179	0.888179	-6.769925	-6.769925	
59	-6.766927	-6.766927	1.131377	1.131377	-6.429448	-6.429448	
60	-6.742533	-6.742533	1.375313	1.375313	-6.087938	-6.087938	
61	-6.718081	-6.718081	1.619838	1.619838	-5.745602	-5.745602	
62	-6.693584	-6.693584	1.864807	1.864807	-5.402646	-5.402646	
63	-6.669057	-6.669057	2.110072	2.110072	-5.059275	-5.059275	
64	-6.644516	-6.644516	2.355484	2.355484	-4.715698	-4.715698	
65	-6.619975	-6.619975	2.600896	2.600896	-4.372121	-4.372121	
66	-6.595448	-6.595448	2.846161	2.846161	-4.028751	-4.028751	
67	-6.570951	-6.570951	3.091130	3.091130	-3.685794	-3.685794	
68	-6.546499	-6.546499	3.335655	3.335655	-3.343458	-3.343458	
69	-6.522105	-6.522105	3.579591	3.579591	-3.001949	-3.001949	
70	-6.497786	-6.497786	3.822789	3.822789	-2.661472	-2.661472	
71	-6.473554	-6.473554	4.065103	4.065103	-2.322232	-2.322232	
72	-6.449426	-6.449426	4.306387	4.306387	-1.984434	-1.984434	
73	-6.425415	-6.425415	4.546496	4.546496	-1.648281	-1.648281	
74	-6.401536	-6.401536	4.785286	4.785286	-1.313976	-1.313976	
75	-6.377803	-6.377803	5.022612	5.022612	-0.981720	-0.981720	
76	-6.354231	-6.354231	5.258331	5.258331	-0.651713	-0.651713	
77	-6.330834	-6.330834	5.492301	5.492301	-0.324154	-0.324154	
78	-6.307626	-6.307626	5.724383	5.724383	0.000760	0.000760	
79	-6.284621	-6.284621	5.954434	5.954434	0.322832	0.322832	
80	-6.261833	-6.261833	6.182318	6.182318	0.641870	0.641870	
81	-6.239275	-6.239275	6.407897	6.407897	0.957680	0.957680	
82	-6.216961	-6.216961	6.631035	6.631035	1.270073	1.270073	
83	-6.194905	-6.194905	6.851597	6.851597	1.578860	1.578860	
84	-6.173119	-6.173119	7.069451	7.069451	1.883856	1.883856	
85	-6.151618	-6.151618	7.284466	7.284466	2.184876	2.184876	
86	-6.130413	-6.130413	7.496511	7.496511	2.481740	2.481740	
87	-6.109518	-6.109518	7.705460	7.705460	2.774268	2.774268	
88	-6.088946	-6.088946	7.911186	7.911186	3.062285	3.062285	
89	-6.068708	-6.068708	8.113566	8.113566	3.345616	3.345616	
90	-6.048817	-6.048817	8.312477	8.312477	3.624092	3.624092	
91	-6.029284	-6.029284	8.507800	8.507800	3.897544	3.897544	
92	-6.010123	-6.010123	8.699417	8.699417	4.165808	4.165808	
93	-5.991343	-5.991343	8.887212	8.887212	4.428722	4.428722	
94	-5.972957	-5.972957	9.071074	9.071074	4.686127	4.686127	
95	-5.954975	-5.954975	9.250889	9.250889	4.937869	4.937869	
96	-5.937409	-5.937409	9.426552	9.426552	5.183797	5.183797	
