#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-1.927490	-1.927124	-1.927490	-1.927124	-13.147217	-13.145752	
1	-1.927189	-1.926823	-1.924478	-1.924112	-13.143000	-13.141535	
2	-1.926286	-1.925919	-1.915445	-1.915079	-13.130353	-13.128888	
3	-1.924781	-1.924414	-1.900395	-1.900029	-13.109283	-13.107818	
4	-1.922675	-1.922309	-1.879338	-1.878971	-13.079803	-13.078338	
5	-1.919970	-1.919604	-1.852286	-1.851919	-13.041930	-13.040465	
6	-1.916667	-1.916301	-1.819255	-1.818889	-12.995688	-12.994223	
7	-1.912768	-1.912402	-1.780267	-1.779900	-12.941104	-12.939639	
8	-1.908276	-1.907909	-1.735343	-1.734977	-12.878211	-12.876746	
9	-1.903192	-1.902826	-1.684512	-1.684145	-12.807047	-12.805582	
10	-1.897521	-1.897155	-1.627803	-1.627437	-12.727654	-12.726189	
11	-1.891266	-1.890900	-1.565251	-1.564885	-12.640082	-12.638617	
12	-1.884431	-1.884064	-1.496894	-1.496527	-12.544381	-12.542917	
13	-1.877018	-1.876652	-1.422772	-1.422406	-12.440611	-12.439146	
14	-1.869034	-1.868668	-1.342931	-1.342565	-12.328834	-12.327369	
15	-1.860483	-1.860117	-1.257418	-1.257052	-12.209116	-12.207651	
16	-1.851370	-1.851004	-1.166286	-1.165919	-12.081530	-12.080065	
17	-1.841700	-1.841334	-1.069588	-1.069222	-11.946153	-11.944689	
18	-1.831480	-1.831113	-0.967383	-0.967017	-11.803067	-11.801602	
19	-1.820715	-1.820348	-0.859733	-0.859367	-11.652357	-11.650892	
20	-1.809411	-1.809045	-0.746703	-0.746337	-11.494114	-11.492650	
21	-1.797577	-1.797211	-0.628360	-0.627994	-11.328435	-11.326970	
22	-1.785219	-1.784853	-0.504776	-0.504410	-11.155417	-11.153952	
23	-1.772344	-1.771978	-0.376026	-0.375660	-10.975167	-10.973702	
24	-1.758960	-1.758594	-0.242186	-0.241820	-10.787791	-10.786327	
25	-1.745075	-1.744709	-0.103338	-0.102972	-10.593404	-10.591939	
26	-1.730698	-1.730332	0.040434	0.040801	-10.392122	-10.390657	
27	-1.715837	-1.715470	0.189045	0.189412	-10.184067	-10.182602	
