#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-4.951935	-4.945343	-4.951935	-4.945343	-16.113525	-16.106201	
1	-4.951634	-4.945042	-4.948923	-4.942331	-16.109309	-16.101985	
2	-4.950730	-4.944138	-4.939889	-4.933298	-16.096662	-16.089338	
3	-4.949225	-4.942633	-4.924839	-4.918248	-16.075592	-16.068268	
4	-4.947120	-4.940528	-4.903782	-4.897190	-16.046112	-16.038787	
5	-4.944414	-4.937823	-4.876730	-4.870138	-16.008239	-16.000915	
6	-4.941111	-4.934520	-4.843700	-4.837108	-15.961997	-15.954672	
7	-4.937212	-4.930621	-4.804711	-4.798119	-15.907412	-15.900088	
8	-4.932720	-4.926128	-4.759788	-4.753196	-15.844519	-15.837195	
9	-4.927637	-4.921045	-4.708956	-4.702364	-15.773355	-15.766031	
10	-4.921966	-4.915374	-4.652247	-4.645656	-15.693963	-15.686639	
11	-4.915711	-4.909119	-4.589695	-4.583104	-15.606390	-15.599066	
12	-4.908875	-4.902283	-4.521338	-4.514746	-15.510690	-15.503366	
13	-4.901463	-4.894871	-4.447217	-4.440625	-15.406920	-15.399596	
14	-4.893479	-4.886887	-4.367375	-4.360784	-15.295142	-15.287818	
15	-4.884928	-4.878336	-4.281863	-4.275271	-15.175425	-15.168100	
16	-4.875814	-4.869223	-4.190730	-4.184138	-15.047839	-15.040515	
17	-4.866145	-4.859553	-4.094032	-4.087441	-14.912462	-14.905138	
18	-4.855924	-4.849332	-3.991828	-3.985236	-14.769375	-14.762051	
19	-4.845159	-4.838567	-3.884178	-3.877586	-14.618666	-14.611341	
20	-4.833856	-4.827264	-3.771147	-3.764556	-14.460423	-14.453099	
21	-4.822022	-4.815430	-3.652805	-3.646213	-14.294743	-14.287419	
22	-4.809663	-4.803072	-3.529221	-3.522629	-14.121726	-14.114402	
23	-4.796788	-4.790197	-3.400470	-3.393879	-13.941475	-13.934151	
24	-4.783404	-4.776813	-3.266631	-3.260039	-13.754100	-13.746776	
25	-4.769520	-4.762928	-3.127783	-3.121191	-13.559713	-13.552389	
26	-4.755142	-4.748551	-2.984010	-2.977418	-13.358431	-13.351107	
27	-4.740281	-4.733689	-2.835399	-2.828807	-13.150375	-13.143051	
28	-4.724945	-4.718353	-2.682039	-2.675448	-12.935672	-12.928348	
29	-4.709144	-4.702552	-2.524023	-2.517431	-12.714449	-12.707125	
30	-4.692886	-4.686294	-2.361446	-2.354854	-12.486841	-12.479517	
31	-4.676182	-4.669590	-2.194406	-2.187814	-12.252985	-12.245660	
32	-4.659042	-4.652450	-2.023003	-2.016411	-12.013020	-12.005696	
33	-4.641475	-4.634884	-1.847340	-1.840748	-11.767093	-11.759769	
