#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-0.941528	-0.923462	-0.941528	-0.923462	-12.152832	-12.134277	
1	-0.941227	-0.923161	-0.938517	-0.920450	-12.148615	-12.130061	
2	-0.940324	-0.922257	-0.929483	-0.911416	-12.135968	-12.117414	
3	-0.938819	-0.920752	-0.914433	-0.896366	-12.114898	-12.096344	
4	-0.936713	-0.918647	-0.893376	-0.875309	-12.085418	-12.066864	
5	-0.934008	-0.915941	-0.866324	-0.848257	-12.047546	-12.028991	
6	-0.930705	-0.912638	-0.833293	-0.815227	-12.001303	-11.982748	
7	-0.926806	-0.908740	-0.794305	-0.776238	-11.946719	-11.928164	
8	-0.922314	-0.904247	-0.749381	-0.731315	-11.883826	-11.865271	
9	-0.917230	-0.899164	-0.698550	-0.680483	-11.812662	-11.794107	
10	-0.911560	-0.893493	-0.641841	-0.623774	-11.733270	-11.714715	
11	-0.905304	-0.887238	-0.579289	-0.561223	-11.645697	-11.627142	
12	-0.898469	-0.880402	-0.510932	-0.492865	-11.549997	-11.531442	
13	-0.891057	-0.872990	-0.436810	-0.418744	-11.446227	-11.427672	
14	-0.883072	-0.865006	-0.356969	-0.338903	-11.334449	-11.315894	
15	-0.874521	-0.856455	-0.271456	-0.253390	-11.214731	-11.196177	
16	-0.865408	-0.847341	-0.180324	-0.162257	-11.087145	-11.068591	
17	-0.855738	-0.837672	-0.083626	-0.065559	-10.951769	-10.933214	
18	-0.845518	-0.827451	0.018579	0.036645	-10.808682	-10.790127	
19	-0.834753	-0.816686	0.126229	0.144295	-10.657972	-10.639418	
20	-0.823450	-0.805383	0.239259	0.257325	-10.499730	-10.481175	
21	-0.811615	-0.793549	0.357602	0.375668	-10.334050	-10.315495	
22	-0.799257	-0.781191	0.481186	0.499252	-10.161033	-10.142478	
23	-0.786382	-0.768315	0.609936	0.628002	-9.980782	-9.962227	
24	-0.772998	-0.754932	0.743776	0.761842	-9.793407	-9.774852	
25	-0.759113	-0.741047	0.882624	0.900690	-9.599019	-9.580465	
26	-0.744736	-0.726669	1.026396	1.044463	-9.397737	-9.379183	
27	-0.729875	-0.711808	1.175007	1.193074	-9.189682	-9.171127	
28	-0.714539	-0.696472	1.328367	1.346434	-8.974978	-8.956424	
29	-0.698737	-0.680671	1.486383	1.504450	-8.753756	-8.735201	
30	-0.682479	-0.664413	1.648960	1.667027	-8.526148	-8.507593	
31	-0.665775	-0.647709	1.816001	1.834067	-8.292291	-8.273737	
32	-0.648635	-0.630569	1.987404	2.005470	-8.052327	-8.033772	
33	-0.631069	-0.613002	2.163066	2.181133	-7.806400	-7.787845	
34	-0.613087	-0.595021	2.342882	2.360949	-7.554657	-7.536103	
35	-0.594701	-0.576635	2.526743	2.544810	-7.297252	-7.278697	
36	-0.575922	-0.557855	2.714539	2.732605	-7.034338	-7.015783	
37	-0.556760	-0.538694	2.906156	2.924222	-6.766074	-6.747520	
38	-0.537228	-0.519161	3.101479	3.119545	-6.492622	-6.474068	
39	-0.517337	-0.499270	3.300390	3.318456	-6.214147	-6.195592	
40	-0.497099	-0.479032	3.502769	3.520836	-5.930815	-5.912261	
41	-0.476526	-0.458460	3.708495	3.726562	-5.642799	-5.624244	
42	-0.455631	-0.437565	3.917444	3.935511	-5.350270	-5.331716	
43	-0.434427	-0.416360	4.129490	4.147556	-5.053407	-5.034852	
44	-0.412925	-0.394859	4.344504	4.362571	-4.752386	-4.733832	
45	-0.391140	-0.373073	4.562358	4.580425	-4.447391	-4.428836	
46	-0.369083	-0.351017	4.782921	4.800987	-4.138603	-4.120049	
47	-0.346770	-0.328703	5.006059	5.024125	-3.826210	-3.807656	
48	-0.324212	-0.306145	5.231637	5.249704	-3.510400	-3.491845	
49	-0.301423	-0.283357	5.459521	5.477588	-3.191363	-3.172808	
50	-0.278418	-0.260352	5.689573	5.707640	-2.869290	-2.850735	
51	-0.255210	-0.237144	5.921654	5.939721	-2.544376	-2.525822	
52	-0.231813	-0.213747	6.155625	6.173691	-2.216818	-2.198263	
53	-0.208241	-0.190175	6.391344	6.409411	-1.886811	-1.868256	
54	-0.184509	-0.166442	6.628670	6.646736	-1.554555	-1.536000	
55	-0.160630	-0.142563	6.867459	6.885526	-1.220249	-1.201695	
56	-0.136619	-0.118552	7.107568	7.125635	-0.884097	-0.865542	
57	-0.112490	-0.094424	7.348853	7.366919	-0.546298	-0.527744	
58	-0.088259	-0.070192	7.591167	7.609233	-0.207059	-0.188504	
59	-0.063939	-0.045873	7.834365	7.852431	0.133419	0.151973	
60	-0.039545	-0.021479	8.078300	8.096367	0.474928	0.493483	
61	-0.015093	0.002974	8.322826	8.340892	0.817264	0.835819	
62	0.009404	0.027470	8.567795	8.585861	1.160221	1.178775	
63	0.033930	0.051997	8.813059	8.831126	1.503591	1.522145	
64	0.058472	0.076538	9.058472	9.076538	1.847168	1.865723	
65	0.083013	0.101079	9.303884	9.321950	2.190745	2.209300	
66	0.107539	0.125606	9.549148	9.567215	2.534115	2.552670	
67	0.132036	0.150103	9.794117	9.812184	2.877072	2.895627	
68	0.156489	0.174555	10.038643	10.056709	3.219408	3.237963	
69	0.180882	0.198949	10.282578	10.300645	3.560917	3.579472	
70	0.205202	0.223269	10.525776	10.543843	3.901395	3.919949	
71	0.229434	0.247500	10.768091	10.786157	4.240634	4.259189	
72	0.253562	0.271628	11.009375	11.027441	4.578432	4.596987	
73	0.277573	0.295639	11.249484	11.267550	4.914585	4.933140	
74	0.301452	0.319518	11.488273	11.506340	5.248890	5.267445	
75	0.325184	0.343251	11.725599	11.743666	5.581147	5.599701	
76	0.348756	0.366823	11.961318	11.979385	5.911153	5.929708	
77	0.372153	0.390220	12.195289	12.213355	6.238712	6.257267	
78	0.395362	0.413428	12.427370	12.445437	6.563626	6.582181	
79	0.418367	0.436433	12.657422	12.675488	6.885698	6.904253	
80	0.441155	0.459222	12.885306	12.903372	7.204736	7.223291	
81	0.463713	0.481779	13.110885	13.128951	7.520546	7.539101	
82	0.486027	0.504093	13.334023	13.352089	7.832939	7.851494	
83	0.508083	0.526149	13.554585	13.572651	8.141727	8.160281	
84	0.529868	0.547935	13.772439	13.790505	8.446722	8.465277	
85	0.551370	0.569436	13.987454	14.005520	8.747743	8.766297	
86	0.572574	0.590641	14.199499	14.217566	9.044606	9.063161	
87	0.593469	0.611536	14.408448	14.426514	9.337135	9.355689	
88	0.614042	0.632108	14.614174	14.632240	9.625151	9.643706	
89	0.634280	0.652346	14.816554	14.834620	9.908483	9.927037	
90	0.654171	0.672237	15.015465	15.033531	10.186958	10.205513	
91	0.673703	0.691770	15.210788	15.228854	10.460410	10.478965	
92	0.692865	0.710931	15.402405	15.420471	10.728674	10.747229	
93	0.711645	0.729711	15.590200	15.608267	10.991588	11.010142	
94	0.730031	0.748097	15.774061	15.792128	11.248993	11.267548	
95	0.748012	0.766079	15.953877	15.971944	11.500736	11.519290	
96	0.765578	0.783645	16.129539	16.147606	11.746663	11.765218	
97	0.782719	0.800785	16.300943	16.319009	11.986627	12.005182	
98	0.799423	0.817489	16.467983	16.486049	12.220484	12.239038	
99	0.815681	0.833747	16.630560	16.648627	12.448092	12.466647	
100	0.831482	0.849549	16.788576	16.806643	12.669314	12.687869	
101	0.846818	0.864885	16.941936	16.960002	12.884018	12.902573	
102	0.861679	0.879746	17.090547	17.108613	13.092073	13.110628	
