#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	10.649841	10.651978	10.649841	10.651978	-0.563782	-0.562927	
1	10.650142	10.652279	10.652853	10.654989	-0.559565	-0.558711	
2	10.651046	10.653182	10.661887	10.664023	-0.546918	-0.546064	
3	10.652551	10.654687	10.676937	10.679073	-0.525848	-0.524994	
4	10.654657	10.656793	10.697994	10.700130	-0.496368	-0.495513	
5	10.657362	10.659498	10.725046	10.727182	-0.458495	-0.457641	
6	10.660665	10.662801	10.758076	10.760212	-0.412253	-0.411398	
7	10.664564	10.666700	10.797065	10.799201	-0.357669	-0.356814	
8	10.669056	10.671192	10.841989	10.844125	-0.294776	-0.293921	
9	10.674139	10.676275	10.892820	10.894956	-0.223612	-0.222757	
10	10.679810	10.681946	10.949529	10.951665	-0.144219	-0.143365	
11	10.686065	10.688201	11.012081	11.014217	-0.056647	-0.055792	
12	10.692901	10.695037	11.080438	11.082574	0.039054	0.039908	
13	10.700313	10.702449	11.154560	11.156696	0.142824	0.143678	
14	10.708297	10.710433	11.234401	11.236537	0.254601	0.255456	
15	10.716849	10.718985	11.319913	11.322050	0.374319	0.375174	
16	10.725962	10.728098	11.411046	11.413182	0.501905	0.502759	
17	10.735632	10.737768	11.507744	11.509880	0.637282	0.638136	
18	10.745852	10.747988	11.609948	11.612085	0.780368	0.781223	
19	10.756617	10.758753	11.717598	11.719735	0.931078	0.931933	
20	10.767920	10.770056	11.830629	11.832765	1.089321	1.090175	
21	10.779754	10.781891	11.948971	11.951108	1.255000	1.255855	
22	10.792113	10.794249	12.072555	12.074691	1.428018	1.428872	
23	10.804988	10.807124	12.201306	12.203442	1.608268	1.609123	
24	10.818372	10.820508	12.335145	12.337281	1.795644	1.796498	
25	10.832256	10.834393	12.473993	12.476129	1.990031	1.990885	
26	10.846634	10.848770	12.617766	12.619902	2.191313	2.192167	
27	10.861495	10.863631	12.766377	12.768513	2.399368	2.400223	
28	10.876831	10.878967	12.919737	12.921873	2.614072	2.614926	
29	10.892632	10.894769	13.077753	13.079889	2.835294	2.836149	
30	10.908890	10.911026	13.240330	13.242466	3.062903	3.063757	
31	10.925594	10.927730	13.407370	13.409507	3.296759	3.297614	
32	10.942735	10.944871	13.578773	13.580910	3.536723	3.537578	
33	10.960301	10.962437	13.754436	13.756572	3.782651	3.783505	
