#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	35.720642	35.720642	35.720642	35.720642	24.562988	24.562988	
1	35.720943	35.720943	35.723654	35.723654	24.567205	24.567205	
2	35.721847	35.721847	35.732688	35.732688	24.579852	24.579852	
3	35.723352	35.723352	35.747738	35.747738	24.600922	24.600922	
4	35.725457	35.725457	35.768795	35.768795	24.630402	24.630402	
5	35.728163	35.728163	35.795847	35.795847	24.668275	24.668275	
6	35.731466	35.731466	35.828877	35.828877	24.714517	24.714517	
7	35.735364	35.735364	35.867866	35.867866	24.769101	24.769101	
8	35.739857	35.739857	35.912789	35.912789	24.831994	24.831994	
9	35.744940	35.744940	35.963621	35.963621	24.903158	24.903158	
10	35.750611	35.750611	36.020330	36.020330	24.982551	24.982551	
11	35.756866	35.756866	36.082881	36.082881	25.070123	25.070123	
12	35.763702	35.763702	36.151239	36.151239	25.165824	25.165824	
13	35.771114	35.771114	36.225360	36.225360	25.269594	25.269594	
14	35.779098	35.779098	36.305201	36.305201	25.381371	25.381371	
15	35.787649	35.787649	36.390714	36.390714	25.501089	25.501089	
16	35.796763	35.796763	36.481847	36.481847	25.628675	25.628675	
17	35.806432	35.806432	36.578545	36.578545	25.764052	25.764052	
18	35.816653	35.816653	36.680749	36.680749	25.907138	25.907138	
19	35.827418	35.827418	36.788399	36.788399	26.057848	26.057848	
20	35.838721	35.838721	36.901429	36.901429	26.216091	26.216091	
21	35.850555	35.850555	37.019772	37.019772	26.381770	26.381770	
22	35.862913	35.862913	37.143356	37.143356	26.554788	26.554788	
23	35.875789	35.875789	37.272106	37.272106	26.735038	26.735038	
24	35.889172	35.889172	37.405946	37.405946	26.922414	26.922414	
25	35.903057	35.903057	37.544794	37.544794	27.116801	27.116801	
26	35.917435	35.917435	37.688567	37.688567	27.318083	27.318083	
27	35.932296	35.932296	37.837178	37.837178	27.526138	27.526138	
28	35.947632	35.947632	37.990538	37.990538	27.740842	27.740842	
29	35.963433	35.963433	38.148554	38.148554	27.962064	27.962064	
30	35.979691	35.979691	38.311131	38.311131	28.189673	28.189673	
31	35.996395	35.996395	38.478171	38.478171	28.423529	28.423529	
32	36.013535	36.013535	38.649574	38.649574	28.663493	28.663493	
33	36.031102	36.031102	38.825237	38.825237	28.909421	28.909421	
34	36.049083	36.049083	39.005053	39.005053	29.161163	29.161163	
35	36.067469	36.067469	39.188914	39.188914	29.418568	29.418568	
36	36.086249	36.086249	39.376709	39.376709	29.681482	29.681482	
37	36.105410	36.105410	39.568326	39.568326	29.949746	29.949746	
38	36.124943	36.124943	39.763649	39.763649	30.223198	30.223198	
39	36.144834	36.144834	39.962560	39.962560	30.501674	30.501674	
40	36.165072	36.165072	40.164940	40.164940	30.785005	30.785005	
41	36.185644	36.185644	40.370666	40.370666	31.073022	31.073022	
42	36.206539	36.206539	40.579615	40.579615	31.365550	31.365550	
43	36.227744	36.227744	40.791660	40.791660	31.662414	31.662414	
44	36.249245	36.249245	41.006675	41.006675	31.963434	31.963434	
45	36.271031	36.271031	41.224529	41.224529	32.268430	32.268430	
46	36.293087	36.293087	41.445091	41.445091	32.577217	32.577217	
47	36.315401	36.315401	41.668229	41.668229	32.889610	32.889610	
48	36.337959	36.337959	41.893808	41.893808	33.205420	33.205420	
49	36.360747	36.360747	42.121692	42.121692	33.524458	33.524458	
50	36.383752	36.383752	42.351744	42.351744	33.846530	33.846530	
51	36.406960	36.406960	42.583825	42.583825	34.171444	34.171444	
52	36.430357	36.430357	42.817795	42.817795	34.499003	34.499003	
53	36.453929	36.453929	43.053515	43.053515	34.829010	34.829010	
54	36.477662	36.477662	43.290840	43.290840	35.161266	35.161266	
55	36.501541	36.501541	43.529630	43.529630	35.495571	35.495571	
56	36.525552	36.525552	43.769739	43.769739	35.831724	35.831724	
57	36.549680	36.549680	44.011023	44.011023	36.169522	36.169522	
58	36.573912	36.573912	44.253337	44.253337	36.508762	36.508762	
59	36.598231	36.598231	44.496535	44.496535	36.849239	36.849239	
60	36.622625	36.622625	44.740471	44.740471	37.190748	37.190748	
61	36.647078	36.647078	44.984996	44.984996	37.533084	37.533084	
62	36.671574	36.671574	45.229965	45.229965	37.876041	37.876041	
63	36.696101	36.696101	45.475230	45.475230	38.219411	38.219411	
64	36.720642	36.720642	45.720642	45.720642	38.562988	38.562988	
65	36.745183	36.745183	45.966054	45.966054	38.906565	38.906565	
66	36.769710	36.769710	46.211319	46.211319	39.249936	39.249936	
67	36.794207	36.794207	46.456288	46.456288	39.592892	39.592892	
68	36.818659	36.818659	46.700813	46.700813	39.935228	39.935228	
69	36.843053	36.843053	46.944749	46.944749	40.276738	40.276738	
70	36.867373	36.867373	47.187947	47.187947	40.617215	40.617215	
71	36.891604	36.891604	47.430261	47.430261	40.956455	40.956455	
72	36.915732	36.915732	47.671545	47.671545	41.294253	41.294253	
73	36.939743	36.939743	47.911654	47.911654	41.630406	41.630406	
74	36.963622	36.963622	48.150444	48.150444	41.964711	41.964711	
75	36.987355	36.987355	48.387770	48.387770	42.296967	42.296967	
76	37.010927	37.010927	48.623489	48.623489	42.626974	42.626974	
77	37.034324	37.034324	48.857459	48.857459	42.954533	42.954533	
78	37.057532	37.057532	49.089541	49.089541	43.279446	43.279446	
79	37.080537	37.080537	49.319592	49.319592	43.601519	43.601519	
80	37.103326	37.103326	49.547476	49.547476	43.920556	43.920556	
81	37.125883	37.125883	49.773055	49.773055	44.236367	44.236367	
82	37.148197	37.148197	49.996193	49.996193	44.548760	44.548760	
83	37.170253	37.170253	50.216755	50.216755	44.857547	44.857547	
84	37.192039	37.192039	50.434609	50.434609	45.162543	45.162543	
85	37.213540	37.213540	50.649624	50.649624	45.463563	45.463563	
86	37.234745	37.234745	50.861670	50.861670	45.760427	45.760427	
87	37.255640	37.255640	51.070618	51.070618	46.052955	46.052955	
88	37.276212	37.276212	51.276344	51.276344	46.340972	46.340972	
89	37.296450	37.296450	51.478724	51.478724	46.624303	46.624303	
90	37.316341	37.316341	51.677635	51.677635	46.902779	46.902779	
91	37.335874	37.335874	51.872958	51.872958	47.176231	47.176231	
92	37.355035	37.355035	52.064575	52.064575	47.444494	47.444494	
93	37.373815	37.373815	52.252371	52.252371	47.707408	47.707408	
94	37.392201	37.392201	52.436232	52.436232	47.964814	47.964814	
95	37.410183	37.410183	52.616048	52.616048	48.216556	48.216556	
96	37.427749	37.427749	52.791710	52.791710	48.462483	48.462483	
97	37.444889	37.444889	52.963113	52.963113	48.702447	48.702447	
98	37.461593	37.461593	53.130153	53.130153	48.936304	48.936304	
99	37.477851	37.477851	53.292731	53.292731	49.163912	49.163912	
100	37.493653	37.493653	53.450747	53.450747	49.385135	49.385135	
101	37.508989	37.508989	53.604106	53.604106	49.599838	49.599838	
102	37.523850	37.523850	53.752717	53.752717	49.807894	49.807894	
103	37.538227	37.538227	53.896490	53.896490	50.009176	50.009176	
104	37.552112	37.552112	54.035338	54.035338	50.203563	50.203563	
105	37.565496	37.565496	54.169178	54.169178	50.390938	50.390938	
106	37.578371	37.578371	54.297928	54.297928	50.571189	50.571189	
107	37.590729	37.590729	54.421512	54.421512	50.744206	50.744206	
108	37.602563	37.602563	54.539855	54.539855	50.909886	50.909886	
109	37.613866	37.613866	54.652885	54.652885	51.068128	51.068128	
110	37.624631	37.624631	54.760535	54.760535	51.218838	51.218838	
111	37.634852	37.634852	54.862740	54.862740	51.361925	51.361925	
112	37.644522	37.644522	54.959437	54.959437	51.497302	51.497302	
113	37.653635	37.653635	55.050570	55.050570	51.624887	51.624887	
114	37.662186	37.662186	55.136083	55.136083	51.744605	51.744605	
115	37.670170	37.670170	55.215924	55.215924	51.856383	51.856383	
116	37.677582	37.677582	55.290045	55.290045	51.960153	51.960153	
117	37.684418	37.684418	55.358403	55.358403	52.055853	52.055853	
118	37.690673	37.690673	55.420955	55.420955	52.143426	52.143426	
119	37.696344	37.696344	55.477663	55.477663	52.222818	52.222818	
120	37.701427	37.701427	55.528495	55.528495	52.293982	52.293982	
121	37.705920	37.705920	55.573419	55.573419	52.356875	52.356875	
122	37.709819	37.709819	55.612407	55.612407	52.411459	52.411459	
123	37.713122	37.713122	55.645437	55.645437	52.457702	52.457702	
124	37.715827	37.715827	55.672489	55.672489	52.495574	52.495574	
125	37.717933	37.717933	55.693547	55.693547	52.525055	52.525055	
126	37.719438	37.719438	55.708597	55.708597	52.546125	52.546125	
127	37.720341	37.720341	55.717630	55.717630	52.558772	52.558772	
128	37.720642	37.720642	55.720642	55.720642	52.562988	52.562988	
129	37.723654	37.723654	55.720943	55.720943	52.563591	52.563591	
130	37.732688	37.732688	55.721847	55.721847	52.565397	52.565397	
131	37.747738	37.747738	55.723352	55.723352	52.568407	52.568407	
132	37.768795	37.768795	55.725457	55.725457	52.572619	52.572619	
133	37.795847	37.795847	55.728163	55.728163	52.578029	52.578029	
134	37.828877	37.828877	55.731466	55.731466	52.584635	52.584635	
135	37.867866	37.867866	55.735364	55.735364	52.592433	52.592433	
136	37.912789	37.912789	55.739857	55.739857	52.601418	52.601418	
137	37.963621	37.963621	55.744940	55.744940	52.611584	52.611584	
138	38.020330	38.020330	55.750611	55.750611	52.622926	52.622926	
139	38.082881	38.082881	55.756866	55.756866	52.635436	52.635436	
140	38.151239	38.151239	55.763702	55.763702	52.649108	52.649108	
141	38.225360	38.225360	55.771114	55.771114	52.663932	52.663932	
142	38.305201	38.305201	55.779098	55.779098	52.679900	52.679900	
143	38.390714	38.390714	55.787649	55.787649	52.697003	52.697003	
144	38.481847	38.481847	55.796763	55.796763	52.715229	52.715229	
145	38.578545	38.578545	55.806432	55.806432	52.734569	52.734569	
146	38.680749	38.680749	55.816653	55.816653	52.755010	52.755010	
147	38.788399	38.788399	55.827418	55.827418	52.776540	52.776540	
148	38.901429	38.901429	55.838721	55.838721	52.799146	52.799146	
149	39.019772	39.019772	55.850555	55.850555	52.822814	52.822814	
150	39.143356	39.143356	55.862913	55.862913	52.847531	52.847531	
151	39.272106	39.272106	55.875789	55.875789	52.873281	52.873281	
152	39.405946	39.405946	55.889172	55.889172	52.900049	52.900049	
153	39.544794	39.544794	55.903057	55.903057	52.927819	52.927819	
154	39.688567	39.688567	55.917435	55.917435	52.956573	52.956573	
155	39.837178	39.837178	55.932296	55.932296	52.986295	52.986295	
156	39.990538	39.990538	55.947632	55.947632	53.016967	53.016967	
157	40.148554	40.148554	55.963433	55.963433	53.048571	53.048571	
158	40.311131	40.311131	55.979691	55.979691	53.081086	53.081086	
159	40.478171	40.478171	55.996395	55.996395	53.114494	53.114494	
160	40.649574	40.649574	56.013535	56.013535	53.148775	53.148775	
161	40.825237	40.825237	56.031102	56.031102	53.183907	53.183907	
162	41.005053	41.005053	56.049083	56.049083	53.219870	53.219870	
163	41.188914	41.188914	56.067469	56.067469	53.256643	53.256643	
164	41.376709	41.376709	56.086249	56.086249	53.294202	53.294202	
165	41.568326	41.568326	56.105410	56.105410	53.332525	53.332525	
166	41.763649	41.763649	56.124943	56.124943	53.371590	53.371590	
167	41.962560	41.962560	56.144834	56.144834	53.411372	53.411372	
168	42.164940	42.164940	56.165072	56.165072	53.451848	53.451848	
169	42.370666	42.370666	56.185644	56.185644	53.492993	53.492993	
170	42.579615	42.579615	56.206539	56.206539	53.534783	53.534783	
171	42.791660	42.791660	56.227744	56.227744	53.577192	53.577192	
172	43.006675	43.006675	56.249245	56.249245	53.620195	53.620195	
173	43.224529	43.224529	56.271031	56.271031	53.663766	53.663766	
174	43.445091	43.445091	56.293087	56.293087	53.707878	53.707878	
175	43.668229	43.668229	56.315401	56.315401	53.752506	53.752506	
176	43.893808	43.893808	56.337959	56.337959	53.797621	53.797621	
177	44.121692	44.121692	56.360747	56.360747	53.843198	53.843198	
178	44.351744	44.351744	56.383752	56.383752	53.889209	53.889209	
179	44.583825	44.583825	56.406960	56.406960	53.935625	53.935625	
180	44.817795	44.817795	56.430357	56.430357	53.982419	53.982419	
181	45.053515	45.053515	56.453929	56.453929	54.029563	54.029563	
182	45.290840	45.290840	56.477662	56.477662	54.077028	54.077028	
183	45.529630	45.529630	56.501541	56.501541	54.124786	54.124786	
184	45.769739	45.769739	56.525552	56.525552	54.172808	54.172808	
