#    itr              mu            ntot            mtot            etot
       1       46.933000        4.199280        1.800720       39.632046
       2       19.137000        4.199097       -1.259033       40.677084
       3       19.705000        4.199219        0.901245       42.042370
       4       19.932000        4.199463       -0.662231       42.700788
       5       20.052000        4.199219        0.503784       43.023336
       6       20.106000        4.199463       -0.394165       43.189625
       7       20.124000        4.199463        0.314575       43.283010
       8       20.135000        4.199463       -0.254517       43.335625
       9       20.143000        4.199463        0.212524       43.368169
      10       20.159000        4.199463       -0.179321       43.387084
      11       20.142000        4.199219        0.155640       43.395091
      12       20.135000        4.199219       -0.133667       43.399546
      13       20.143000        4.199463        0.116333       43.410834
      14       20.146000        4.199707       -0.104370       43.423518
      15       20.150000        4.199219        0.090210       43.419771
      16       20.141000        4.199463       -0.080200       43.420656
      17       20.144000        4.199707        0.070679       43.430701
      18       20.142000        4.199707       -0.064819       43.435603
      19       20.137000        4.199219        0.060913       43.426604
      20       20.137000        4.199219       -0.056030       43.420281
      21       20.135000        4.199097        0.052246       43.418428
      22       20.136000        4.199341       -0.049072       43.422077
      23       20.132000        4.199341        0.047119       43.425850
      24       20.130000        4.199097       -0.042969       43.421141
      25       20.130000        4.199341        0.039795       43.423027
      26       20.132000        4.199341       -0.036865       43.426722
      27       20.133000        4.199097        0.033203       43.422032
      28       20.130000        4.199341       -0.029541       43.423791
      29       20.123000        4.199097        0.028320       43.422533
      30       20.125000        4.199585       -0.027832       43.429017
      31       20.127000        4.199585        0.026855       43.435883
      32       20.129100        4.199341       -0.026123       43.431034
      33       20.127000        4.199341        0.025146       43.427656
      34       20.126000        4.199585       -0.023926       43.432628
      35       20.125000        4.199585        0.022949       43.436116
      36       20.123000        4.199097       -0.022461       43.426336
      37       20.122000        4.199097        0.022461       43.419523
      38       20.122000        4.199097       -0.022461       43.419523
