#    itr              mu            ntot            mtot            etot
       1       66.184000        4.699097        0.334106      263.569148
       2       66.276000        4.699585        0.230957      263.827744
       3       66.348000        4.699585        0.162354      264.028329
       4       66.338000        4.699585        0.110840      264.093935
       5       66.347000        4.699097        0.077881      264.106975
       6       66.345000        4.699341        0.053345      264.108386
       7       66.352000        4.699097        0.037842      264.118135
       8       66.353000        4.699341        0.026245      264.122923
       9       66.353000        4.699341        0.017212      264.139854
      10       66.356000        4.699585        0.011963      264.156855
      11       66.350000        4.699097        0.008789      264.139466
      12       66.344000        4.699097        0.006836      264.110956
      13       66.345000        4.699585        0.005127      264.143290
      14       66.353000        4.699341        0.004028      264.155936
      15       66.352000        4.699097        0.003174      264.125061
      16       66.351000        4.699585        0.002441      264.143317
      17       66.353000        4.699097        0.001709      264.139402
      18       66.349000        4.699097        0.001221      264.110782
      19       66.350000        4.700073        0.000732      264.175425
      20       66.362000        4.699097        0.000244      264.168045
      21       66.350000        4.699097        0.000000      264.110632
      22       66.350000        4.699097        0.000000      264.110555
      23       66.350000        4.699097        0.000000      264.110555
