#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	0.852722	0.846924	0.852722	0.846924	-10.076019	-10.081512	
1	0.853023	0.847225	0.855734	0.849936	-10.071803	-10.077296	
2	0.853927	0.848128	0.864768	0.858969	-10.059156	-10.064649	
3	0.855432	0.849633	0.879818	0.874019	-10.038086	-10.043579	
4	0.857537	0.851739	0.900875	0.895077	-10.008605	-10.014099	
5	0.860243	0.854444	0.927927	0.922128	-9.970733	-9.976226	
6	0.863546	0.857747	0.960957	0.955159	-9.924490	-9.929984	
7	0.867445	0.861646	0.999946	0.994147	-9.869906	-9.875399	
8	0.871937	0.866139	1.044869	1.039071	-9.807013	-9.812506	
9	0.877020	0.871222	1.095701	1.089903	-9.735849	-9.741342	
10	0.882691	0.876893	1.152410	1.146611	-9.656457	-9.661950	
11	0.888946	0.883148	1.214962	1.209163	-9.568884	-9.574377	
12	0.895782	0.889983	1.283319	1.277520	-9.473184	-9.478677	
13	0.903194	0.897396	1.357440	1.351642	-9.369414	-9.374907	
14	0.911178	0.905380	1.437282	1.431483	-9.257636	-9.263129	
15	0.919729	0.913931	1.522794	1.516996	-9.137918	-9.143412	
16	0.928843	0.923044	1.613927	1.608129	-9.010333	-9.015826	
17	0.938512	0.932714	1.710625	1.704826	-8.874956	-8.880449	
18	0.948733	0.942935	1.812829	1.807031	-8.731869	-8.737363	
19	0.959498	0.953700	1.920479	1.914681	-8.581160	-8.586653	
20	0.970801	0.965003	2.033510	2.027711	-8.422917	-8.428410	
21	0.982635	0.976837	2.151852	2.146054	-8.257237	-8.262730	
22	0.994994	0.989195	2.275436	2.269638	-8.084220	-8.089713	
23	1.007869	1.002070	2.404187	2.398388	-7.903969	-7.909462	
24	1.021253	1.015454	2.538026	2.532228	-7.716594	-7.722087	
25	1.035137	1.029339	2.676874	2.671076	-7.522207	-7.527700	
26	1.049515	1.043716	2.820647	2.814849	-7.320925	-7.326418	
27	1.064376	1.058577	2.969258	2.963460	-7.112869	-7.118362	
28	1.079712	1.073913	3.122618	3.116819	-6.898166	-6.903659	
29	1.095513	1.089715	3.280634	3.274835	-6.676943	-6.682436	
30	1.111771	1.105973	3.443211	3.437413	-6.449335	-6.454828	
31	1.128475	1.122677	3.610251	3.604453	-6.215478	-6.220972	
32	1.145615	1.139817	3.781654	3.775856	-5.975514	-5.981007	
33	1.163182	1.157383	3.957317	3.951518	-5.729587	-5.735080	
34	1.181163	1.175365	4.137133	4.131334	-5.477845	-5.483338	
35	1.199549	1.193751	4.320994	4.315195	-5.220439	-5.225932	
36	1.218329	1.212531	4.508789	4.502991	-4.957525	-4.963018	
37	1.237491	1.231692	4.700406	4.694608	-4.689262	-4.694755	
38	1.257023	1.251225	4.895729	4.889931	-4.415810	-4.421303	
39	1.276914	1.271116	5.094640	5.088842	-4.137334	-4.142827	
40	1.297152	1.291354	5.297020	5.291221	-3.854003	-3.859496	
41	1.317725	1.311926	5.502746	5.496948	-3.565986	-3.571479	
42	1.338619	1.332821	5.711695	5.705896	-3.273458	-3.278951	
43	1.359824	1.354026	5.923740	5.917942	-2.976594	-2.982087	
44	1.381325	1.375527	6.138755	6.132956	-2.675574	-2.681067	
45	1.403111	1.397312	6.356609	6.350811	-2.370578	-2.376071	
46	1.425167	1.419369	6.577171	6.571373	-2.061791	-2.067284	
47	1.447481	1.441683	6.800309	6.794511	-1.749398	-1.754891	
48	1.470039	1.464240	7.025888	7.020090	-1.433587	-1.439081	
49	1.492827	1.487029	7.253772	7.247973	-1.114550	-1.120043	
50	1.515832	1.510034	7.483824	7.478025	-0.792477	-0.797970	
51	1.539040	1.533242	7.715905	7.710106	-0.467564	-0.473057	
52	1.562437	1.556639	7.949875	7.944077	-0.140005	-0.145498	
53	1.586009	1.580211	8.185595	8.179796	0.190002	0.184509	
54	1.609742	1.603944	8.422920	8.417122	0.522258	0.516765	
55	1.633621	1.627823	8.661710	8.655911	0.856563	0.851070	
56	1.657632	1.651834	8.901819	8.896021	1.192716	1.187223	
57	1.681760	1.675962	9.143103	9.137305	1.530514	1.525021	
58	1.705992	1.700193	9.385417	9.379619	1.869754	1.864261	
59	1.730311	1.724513	9.628615	9.622817	2.210231	2.204738	
60	1.754705	1.748907	9.872551	9.866752	2.551741	2.546248	
61	1.779158	1.773359	10.117077	10.111278	2.894077	2.888584	
62	1.803654	1.797856	10.362045	10.356247	3.237033	3.231540	
63	1.828181	1.822383	10.607310	10.601512	3.580404	3.574910	
64	1.852722	1.846924	10.852722	10.846924	3.923981	3.918488	
65	1.877263	1.871465	11.098134	11.092336	4.267558	4.262065	
66	1.901790	1.895992	11.343399	11.337601	4.610928	4.605435	
67	1.926287	1.920488	11.588368	11.582569	4.953885	4.948391	
68	1.950739	1.944941	11.832894	11.827095	5.296221	5.290728	
69	1.975133	1.969335	12.076829	12.071031	5.637730	5.632237	
70	1.999453	1.993654	12.320027	12.314229	5.978207	5.972714	
71	2.023684	2.017886	12.562341	12.556543	6.317447	6.311954	
72	2.047812	2.042014	12.803625	12.797827	6.655245	6.649752	
73	2.071823	2.066025	13.043735	13.037936	6.991398	6.985905	
74	2.095702	2.089904	13.282524	13.276726	7.325703	7.320210	
75	2.119435	2.113637	13.519850	13.514051	7.657959	7.652466	
76	2.143007	2.137209	13.755569	13.749771	7.987966	7.982473	
77	2.166404	2.160606	13.989540	13.983741	8.315525	8.310032	
78	2.189612	2.183814	14.221621	14.215822	8.640439	8.634945	
79	2.212617	2.206819	14.451673	14.445874	8.962511	8.957018	
80	2.235406	2.229607	14.679556	14.673758	9.281549	9.276056	
81	2.257963	2.252165	14.905135	14.899337	9.597359	9.591866	
82	2.280277	2.274479	15.128273	15.122475	9.909752	9.904259	
83	2.302333	2.296535	15.348835	15.343037	10.218539	10.213046	
84	2.324119	2.318321	15.566690	15.560891	10.523535	10.518042	
85	2.345620	2.339822	15.781704	15.775906	10.824555	10.819062	
86	2.366825	2.361027	15.993750	15.987951	11.121419	11.115926	
87	2.387720	2.381921	16.202698	16.196900	11.413947	11.408454	
88	2.408292	2.402494	16.408424	16.402626	11.701964	11.696471	
89	2.428530	2.422732	16.610804	16.605006	11.985295	11.979802	
90	2.448421	2.442623	16.809715	16.803917	12.263771	12.258278	
91	2.467954	2.462155	17.005038	16.999240	12.537223	12.531730	
92	2.487115	2.481317	17.196655	17.190857	12.805487	12.799994	
93	2.505895	2.500097	17.384451	17.378652	13.068401	13.062907	
94	2.524281	2.518483	17.568312	17.562513	13.325806	13.320313	
95	2.542263	2.536464	17.748128	17.742329	13.577548	13.572055	
96	2.559829	2.554031	17.923790	17.917992	13.823476	13.817982	
97	2.576969	2.571171	18.095193	18.089395	14.063440	14.057947	
98	2.593673	2.587875	18.262233	18.256435	14.297296	14.291803	
99	2.609931	2.604133	18.424811	18.419012	14.524905	14.519411	
100	2.625733	2.619934	18.582827	18.577028	14.746127	14.740634	
101	2.641069	2.635270	18.736186	18.730388	14.960831	14.955338	
102	2.655930	2.650131	18.884797	18.878999	15.168886	15.163393	
103	2.670307	2.664509	19.028570	19.022772	15.370168	15.364675	
104	2.684192	2.678393	19.167418	19.161620	15.564555	15.559062	
105	2.697576	2.691777	19.301258	19.295459	15.751931	15.746437	
106	2.710451	2.704652	19.430008	19.424210	15.932181	15.926688	
107	2.722809	2.717011	19.553592	19.547794	16.105199	16.099705	
108	2.734643	2.728845	19.671935	19.666136	16.270878	16.265385	
109	2.745946	2.740148	19.784965	19.779167	16.429121	16.423628	
110	2.756711	2.750913	19.892615	19.886817	16.579831	16.574338	
111	2.766932	2.761134	19.994820	19.989021	16.722917	16.717424	
112	2.776602	2.770803	20.091517	20.085719	16.858294	16.852801	
113	2.785715	2.779917	20.182650	20.176852	16.985880	16.980387	
114	2.794266	2.788468	20.268163	20.262364	17.105598	17.100104	
115	2.802250	2.796452	20.348004	20.342206	17.217375	17.211882	
116	2.809663	2.803864	20.422126	20.416327	17.321145	17.315652	
117	2.816498	2.810700	20.490483	20.484684	17.416846	17.411352	
118	2.822753	2.816955	20.553035	20.547236	17.504418	17.498925	
119	2.828424	2.822626	20.609743	20.603945	17.583811	17.578317	
120	2.833507	2.827709	20.660575	20.654777	17.654975	17.649481	
121	2.838000	2.832201	20.705499	20.699700	17.717868	17.712375	
122	2.841899	2.836100	20.744487	20.738689	17.772452	17.766959	
123	2.845202	2.839403	20.777518	20.771719	17.818694	17.813201	
124	2.847907	2.842109	20.804569	20.798771	17.856567	17.851074	
125	2.850013	2.844214	20.825627	20.819828	17.886047	17.880554	
126	2.851518	2.845719	20.840677	20.834878	17.907117	17.901624	
127	2.852421	2.846623	20.849710	20.843912	17.919764	17.914271	
128	2.852722	2.846924	20.852722	20.846924	17.923981	17.918488	
129	2.855734	2.849936	20.853023	20.847225	17.924583	17.919090	
130	2.864768	2.858969	20.853927	20.848128	17.926390	17.920897	
131	2.879818	2.874019	20.855432	20.849633	17.929400	17.923907	
132	2.900875	2.895077	20.857537	20.851739	17.933611	17.928118	
133	2.927927	2.922128	20.860243	20.854444	17.939022	17.933528	
134	2.960957	2.955159	20.863546	20.857747	17.945628	17.940135	
135	2.999946	2.994147	20.867445	20.861646	17.953425	17.947932	
