#p	o1_up	o1_dn	o2_up	o2_dn	o3_up	o3_dn	NaN
0	-11.000000	-11.000000	-11.000000	-11.000000	-22.000000	-22.000000	
1	-10.996988	-10.996988	-10.999699	-10.999699	-21.995783	-21.995783	
2	-10.987955	-10.987955	-10.998795	-10.998795	-21.983136	-21.983136	
3	-10.972905	-10.972905	-10.997290	-10.997290	-21.962066	-21.962066	
4	-10.951847	-10.951847	-10.995185	-10.995185	-21.932586	-21.932586	
5	-10.924795	-10.924795	-10.992480	-10.992480	-21.894713	-21.894713	
6	-10.891765	-10.891765	-10.989177	-10.989177	-21.848471	-21.848471	
7	-10.852776	-10.852776	-10.985278	-10.985278	-21.793887	-21.793887	
8	-10.807853	-10.807853	-10.980785	-10.980785	-21.730994	-21.730994	
9	-10.757021	-10.757021	-10.975702	-10.975702	-21.659830	-21.659830	
10	-10.700313	-10.700313	-10.970031	-10.970031	-21.580438	-21.580438	
11	-10.637761	-10.637761	-10.963776	-10.963776	-21.492865	-21.492865	
12	-10.569403	-10.569403	-10.956940	-10.956940	-21.397165	-21.397165	
13	-10.495282	-10.495282	-10.949528	-10.949528	-21.293395	-21.293395	
14	-10.415441	-10.415441	-10.941544	-10.941544	-21.181617	-21.181617	
15	-10.329928	-10.329928	-10.932993	-10.932993	-21.061899	-21.061899	
16	-10.238795	-10.238795	-10.923880	-10.923880	-20.934313	-20.934313	
17	-10.142098	-10.142098	-10.914210	-10.914210	-20.798937	-20.798937	
18	-10.039893	-10.039893	-10.903989	-10.903989	-20.655850	-20.655850	
19	-9.932243	-9.932243	-10.893224	-10.893224	-20.505140	-20.505140	
20	-9.819213	-9.819213	-10.881921	-10.881921	-20.346898	-20.346898	
21	-9.700870	-9.700870	-10.870087	-10.870087	-20.181218	-20.181218	
22	-9.577286	-9.577286	-10.857729	-10.857729	-20.008201	-20.008201	
23	-9.448536	-9.448536	-10.844854	-10.844854	-19.827950	-19.827950	
24	-9.314696	-9.314696	-10.831470	-10.831470	-19.640575	-19.640575	
25	-9.175848	-9.175848	-10.817585	-10.817585	-19.446187	-19.446187	
26	-9.032075	-9.032075	-10.803208	-10.803208	-19.244905	-19.244905	
27	-8.883464	-8.883464	-10.788346	-10.788346	-19.036850	-19.036850	
28	-8.730105	-8.730105	-10.773010	-10.773010	-18.822146	-18.822146	
29	-8.572088	-8.572088	-10.757209	-10.757209	-18.600924	-18.600924	
30	-8.409511	-8.409511	-10.740951	-10.740951	-18.373316	-18.373316	
31	-8.242471	-8.242471	-10.724247	-10.724247	-18.139459	-18.139459	
32	-8.071068	-8.071068	-10.707107	-10.707107	-17.899495	-17.899495	
33	-7.895405	-7.895405	-10.689541	-10.689541	-17.653568	-17.653568	
34	-7.715590	-7.715590	-10.671559	-10.671559	-17.401825	-17.401825	
35	-7.531728	-7.531728	-10.653173	-10.653173	-17.144420	-17.144420	
36	-7.343933	-7.343933	-10.634393	-10.634393	-16.881506	-16.881506	
37	-7.152316	-7.152316	-10.615232	-10.615232	-16.613242	-16.613242	
38	-6.956993	-6.956993	-10.595699	-10.595699	-16.339790	-16.339790	
39	-6.758082	-6.758082	-10.575808	-10.575808	-16.061315	-16.061315	
40	-6.555702	-6.555702	-10.555570	-10.555570	-15.777983	-15.777983	
41	-6.349976	-6.349976	-10.534998	-10.534998	-15.489967	-15.489967	
42	-6.141027	-6.141027	-10.514103	-10.514103	-15.197438	-15.197438	
43	-5.928982	-5.928982	-10.492898	-10.492898	-14.900575	-14.900575	
44	-5.713967	-5.713967	-10.471397	-10.471397	-14.599554	-14.599554	
45	-5.496113	-5.496113	-10.449611	-10.449611	-14.294559	-14.294559	
46	-5.275551	-5.275551	-10.427555	-10.427555	-13.985771	-13.985771	
