#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-11.000000	-11.000000	-11.000000	-11.000000	-22.000000	-22.000000	
1	-10.999699	-10.999699	-10.996988	-10.996988	-21.995783	-21.995783	
2	-10.998795	-10.998795	-10.987955	-10.987955	-21.983136	-21.983136	
3	-10.997290	-10.997290	-10.972905	-10.972905	-21.962066	-21.962066	
4	-10.995185	-10.995185	-10.951847	-10.951847	-21.932586	-21.932586	
5	-10.992480	-10.992480	-10.924795	-10.924795	-21.894713	-21.894713	
6	-10.989177	-10.989177	-10.891765	-10.891765	-21.848471	-21.848471	
7	-10.985278	-10.985278	-10.852776	-10.852776	-21.793887	-21.793887	
8	-10.980785	-10.980785	-10.807853	-10.807853	-21.730994	-21.730994	
9	-10.975702	-10.975702	-10.757021	-10.757021	-21.659830	-21.659830	
10	-10.970031	-10.970031	-10.700313	-10.700313	-21.580438	-21.580438	
11	-10.963776	-10.963776	-10.637761	-10.637761	-21.492865	-21.492865	
12	-10.956940	-10.956940	-10.569403	-10.569403	-21.397165	-21.397165	
13	-10.949528	-10.949528	-10.495282	-10.495282	-21.293395	-21.293395	
14	-10.941544	-10.941544	-10.415441	-10.415441	-21.181617	-21.181617	
15	-10.932993	-10.932993	-10.329928	-10.329928	-21.061899	-21.061899	
16	-10.923880	-10.923880	-10.238795	-10.238795	-20.934313	-20.934313	
17	-10.914210	-10.914210	-10.142098	-10.142098	-20.798937	-20.798937	
18	-10.903989	-10.903989	-10.039893	-10.039893	-20.655850	-20.655850	
19	-10.893224	-10.893224	-9.932243	-9.932243	-20.505140	-20.505140	
20	-10.881921	-10.881921	-9.819213	-9.819213	-20.346898	-20.346898	
21	-10.870087	-10.870087	-9.700870	-9.700870	-20.181218	-20.181218	
22	-10.857729	-10.857729	-9.577286	-9.577286	-20.008201	-20.008201	
23	-10.844854	-10.844854	-9.448536	-9.448536	-19.827950	-19.827950	
24	-10.831470	-10.831470	-9.314696	-9.314696	-19.640575	-19.640575	
25	-10.817585	-10.817585	-9.175848	-9.175848	-19.446187	-19.446187	
26	-10.803208	-10.803208	-9.032075	-9.032075	-19.244905	-19.244905	
27	-10.788346	-10.788346	-8.883464	-8.883464	-19.036850	-19.036850	
28	-10.773010	-10.773010	-8.730105	-8.730105	-18.822146	-18.822146	
29	-10.757209	-10.757209	-8.572088	-8.572088	-18.600924	-18.600924	
30	-10.740951	-10.740951	-8.409511	-8.409511	-18.373316	-18.373316	
31	-10.724247	-10.724247	-8.242471	-8.242471	-18.139459	-18.139459	
32	-10.707107	-10.707107	-8.071068	-8.071068	-17.899495	-17.899495	
33	-10.689541	-10.689541	-7.895405	-7.895405	-17.653568	-17.653568	
34	-10.671559	-10.671559	-7.715590	-7.715590	-17.401825	-17.401825	
35	-10.653173	-10.653173	-7.531728	-7.531728	-17.144420	-17.144420	
36	-10.634393	-10.634393	-7.343933	-7.343933	-16.881506	-16.881506	
