#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-9.439713	-9.438950	-9.439713	-9.438950	-20.130341	-20.130035	
1	-9.439411	-9.438648	-9.436701	-9.435938	-20.126124	-20.125819	
2	-9.438508	-9.437745	-9.427667	-9.426904	-20.113477	-20.113172	
3	-9.437003	-9.436240	-9.412617	-9.411854	-20.092407	-20.092102	
4	-9.434897	-9.434134	-9.391560	-9.390797	-20.062927	-20.062622	
5	-9.432192	-9.431429	-9.364508	-9.363745	-20.025054	-20.024749	
6	-9.428889	-9.428126	-9.331478	-9.330715	-19.978812	-19.978507	
7	-9.424990	-9.424227	-9.292489	-9.291726	-19.924228	-19.923922	
8	-9.420498	-9.419735	-9.247565	-9.246802	-19.861335	-19.861029	
9	-9.415415	-9.414652	-9.196734	-9.195971	-19.790170	-19.789865	
10	-9.409744	-9.408981	-9.140025	-9.139262	-19.710778	-19.710473	
11	-9.403489	-9.402726	-9.077473	-9.076710	-19.623205	-19.622900	
12	-9.396653	-9.395890	-9.009116	-9.008353	-19.527505	-19.527200	
13	-9.389241	-9.388478	-8.934994	-8.934231	-19.423735	-19.423430	
14	-9.381257	-9.380494	-8.855153	-8.854390	-19.311957	-19.311652	
15	-9.372705	-9.371942	-8.769641	-8.768878	-19.192240	-19.191935	
16	-9.363592	-9.362829	-8.678508	-8.677745	-19.064654	-19.064349	
17	-9.353922	-9.353159	-8.581810	-8.581047	-18.929277	-18.928972	
18	-9.343702	-9.342939	-8.479605	-8.478843	-18.786191	-18.785886	
19	-9.332937	-9.332174	-8.371956	-8.371193	-18.635481	-18.635176	
20	-9.321634	-9.320871	-8.258925	-8.258162	-18.477238	-18.476933	
21	-9.309800	-9.309037	-8.140582	-8.139819	-18.311558	-18.311253	
22	-9.297441	-9.296678	-8.016999	-8.016236	-18.138541	-18.138236	
23	-9.284566	-9.283803	-7.888248	-7.887485	-17.958290	-17.957985	
24	-9.271182	-9.270419	-7.754409	-7.753646	-17.770915	-17.770610	
25	-9.257297	-9.256534	-7.615561	-7.614798	-17.576528	-17.576223	
26	-9.242920	-9.242157	-7.471788	-7.471025	-17.375246	-17.374941	
27	-9.228059	-9.227296	-7.323177	-7.322414	-17.167191	-17.166885	
28	-9.212723	-9.211960	-7.169817	-7.169054	-16.952487	-16.952182	
29	-9.196921	-9.196158	-7.011801	-7.011038	-16.731264	-16.730959	
30	-9.180664	-9.179901	-6.849224	-6.848461	-16.503656	-16.503351	
31	-9.163960	-9.163197	-6.682183	-6.681420	-16.269800	-16.269495	
32	-9.146819	-9.146056	-6.510780	-6.510017	-16.029836	-16.029530	
33	-9.129253	-9.128490	-6.335118	-6.334355	-15.783908	-15.783603	
34	-9.111271	-9.110509	-6.155302	-6.154539	-15.532166	-15.531861	
35	-9.092885	-9.092122	-5.971441	-5.970678	-15.274760	-15.274455	
36	-9.074106	-9.073343	-5.783645	-5.782882	-15.011847	-15.011541	
37	-9.054944	-9.054181	-5.592028	-5.591265	-14.743583	-14.743278	
38	-9.035412	-9.034649	-5.396706	-5.395943	-14.470131	-14.469826	
39	-9.015521	-9.014758	-5.197794	-5.197031	-14.191655	-14.191350	
40	-8.995283	-8.994520	-4.995415	-4.994652	-13.908324	-13.908019	
41	-8.974710	-8.973947	-4.789689	-4.788926	-13.620307	-13.620002	
