#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-3.578796	-3.558167	-3.578796	-3.558167	-14.116211	-14.105103	
1	-3.578495	-3.557865	-3.575785	-3.555155	-14.111994	-14.100886	
2	-3.577592	-3.556962	-3.566751	-3.546121	-14.099347	-14.088239	
3	-3.576087	-3.555457	-3.551701	-3.531071	-14.078277	-14.067169	
4	-3.573981	-3.553351	-3.530644	-3.510014	-14.048797	-14.037689	
5	-3.571276	-3.550646	-3.503592	-3.482962	-14.010924	-13.999816	
6	-3.567973	-3.547343	-3.470561	-3.449932	-13.964682	-13.953574	
7	-3.564074	-3.543444	-3.431573	-3.410943	-13.910098	-13.898990	
8	-3.559582	-3.538952	-3.386649	-3.366019	-13.847205	-13.836096	
9	-3.554499	-3.533869	-3.335818	-3.315188	-13.776041	-13.764932	
10	-3.548828	-3.528198	-3.279109	-3.258479	-13.696648	-13.685540	
11	-3.542572	-3.521943	-3.216557	-3.195927	-13.609076	-13.597967	
12	-3.535737	-3.515107	-3.148200	-3.127570	-13.513376	-13.502267	
13	-3.528325	-3.507695	-3.074078	-3.053448	-13.409605	-13.398497	
14	-3.520340	-3.499711	-2.994237	-2.973607	-13.297828	-13.286719	
15	-3.511789	-3.491159	-2.908724	-2.888094	-13.178110	-13.167002	
16	-3.502676	-3.482046	-2.817592	-2.796962	-13.050524	-13.039416	
17	-3.493006	-3.472376	-2.720894	-2.700264	-12.915148	-12.904039	
18	-3.482786	-3.462156	-2.618689	-2.598059	-12.772061	-12.760953	
19	-3.472021	-3.451391	-2.511039	-2.490410	-12.621351	-12.610243	
20	-3.460718	-3.440088	-2.398009	-2.377379	-12.463109	-12.452000	
21	-3.448883	-3.428253	-2.279666	-2.259036	-12.297429	-12.286320	
22	-3.436525	-3.415895	-2.156082	-2.135453	-12.124411	-12.113303	
23	-3.423650	-3.403020	-2.027332	-2.006702	-11.944161	-11.933052	
24	-3.410266	-3.389636	-1.893493	-1.872863	-11.756786	-11.745677	
25	-3.396381	-3.375751	-1.754645	-1.734015	-11.562398	-11.551290	
26	-3.382004	-3.361374	-1.610872	-1.590242	-11.361116	-11.350008	
27	-3.367143	-3.346513	-1.462261	-1.441631	-11.153061	-11.141953	
28	-3.351807	-3.331177	-1.308901	-1.288271	-10.938357	-10.927249	
29	-3.336005	-3.315375	-1.150885	-1.130255	-10.717135	-10.706026	
30	-3.319748	-3.299118	-0.988308	-0.967678	-10.489527	-10.478418	
31	-3.303043	-3.282414	-0.821267	-0.800637	-10.255670	-10.244562	
32	-3.285903	-3.265273	-0.649864	-0.629234	-10.015706	-10.004597	
33	-3.268337	-3.247707	-0.474202	-0.453572	-9.769779	-9.758670	
34	-3.250355	-3.229725	-0.294386	-0.273756	-9.518036	-9.506928	
35	-3.231969	-3.211339	-0.110525	-0.089895	-9.260631	-9.249522	
36	-3.213190	-3.192560	0.077271	0.097901	-8.997717	-8.986609	
37	-3.194028	-3.173398	0.268888	0.289518	-8.729453	-8.718345	
38	-3.174496	-3.153866	0.464211	0.484840	-8.456001	-8.444893	
39	-3.154605	-3.133975	0.663122	0.683752	-8.177526	-8.166417	
40	-3.134367	-3.113737	0.865501	0.886131	-7.894194	-7.883086	
41	-3.113794	-3.093164	1.071227	1.091857	-7.606178	-7.595069	
42	-3.092899	-3.072269	1.280176	1.300806	-7.313649	-7.302541	
43	-3.071695	-3.051065	1.492222	1.512852	-7.016786	-7.005677	
44	-3.050193	-3.029563	1.707236	1.727866	-6.715765	-6.704657	
45	-3.028408	-3.007778	1.925090	1.945720	-6.410770	-6.399661	
46	-3.006351	-2.985722	2.145653	2.166283	-6.101982	-6.090874	
47	-2.984038	-2.963408	2.368790	2.389420	-5.789589	-5.778481	
48	-2.961480	-2.940850	2.594369	2.614999	-5.473779	-5.462671	
49	-2.938691	-2.918062	2.822253	2.842883	-5.154741	-5.143633	
50	-2.915686	-2.895056	3.052305	3.072935	-4.832669	-4.821560	
51	-2.892478	-2.871848	3.284386	3.305016	-4.507755	-4.496647	
52	-2.869081	-2.848451	3.518357	3.538987	-4.180196	-4.169088	
53	-2.845509	-2.824879	3.754076	3.774706	-3.850190	-3.839081	
54	-2.821777	-2.801147	3.991402	4.012032	-3.517933	-3.506825	
55	-2.797898	-2.777268	4.230191	4.250821	-3.183628	-3.172520	
56	-2.773887	-2.753257	4.470300	4.490930	-2.847475	-2.836367	
57	-2.749758	-2.729128	4.711585	4.732215	-2.509677	-2.498569	
58	-2.725527	-2.704897	4.953899	4.974529	-2.170438	-2.159329	
59	-2.701207	-2.680577	5.197097	5.217727	-1.829960	-1.818852	
60	-2.676814	-2.656184	5.441032	5.461662	-1.488451	-1.477343	
61	-2.652361	-2.631731	5.685558	5.706188	-1.146115	-1.135006	
62	-2.627864	-2.607234	5.930527	5.951157	-0.803158	-0.792050	
63	-2.603338	-2.582708	6.175791	6.196421	-0.459788	-0.448680	
64	-2.578796	-2.558167	6.421204	6.441833	-0.116211	-0.105103	
65	-2.554255	-2.533625	6.666616	6.687246	0.227366	0.238475	
66	-2.529729	-2.509099	6.911880	6.932510	0.570737	0.581845	
67	-2.505232	-2.484602	7.156849	7.177479	0.913693	0.924801	
68	-2.480779	-2.460149	7.401375	7.422005	1.256029	1.267137	
69	-2.456386	-2.435756	7.645310	7.665940	1.597539	1.608647	
70	-2.432066	-2.411436	7.888508	7.909138	1.938016	1.949124	
71	-2.407834	-2.387205	8.130823	8.151452	2.277256	2.288364	
72	-2.383706	-2.363076	8.372107	8.392737	2.615054	2.626162	
73	-2.359695	-2.339065	8.612216	8.632846	2.951206	2.962315	
74	-2.335816	-2.315186	8.851005	8.871635	3.285512	3.296620	
75	-2.312084	-2.291454	9.088331	9.108961	3.617768	3.628876	
76	-2.288512	-2.267882	9.324050	9.344680	3.947775	3.958883	
77	-2.265115	-2.244485	9.558021	9.578651	4.275333	4.286442	
78	-2.241907	-2.221277	9.790102	9.810732	4.600247	4.611355	
79	-2.218901	-2.198271	10.020154	10.040784	4.922320	4.933428	
80	-2.196113	-2.175483	10.248038	10.268668	5.241357	5.252466	
81	-2.173555	-2.152925	10.473617	10.494247	5.557167	5.568276	
82	-2.151241	-2.130611	10.696755	10.717384	5.869560	5.880669	
83	-2.129185	-2.108555	10.917317	10.937947	6.178348	6.189456	
84	-2.107400	-2.086770	11.135171	11.155801	6.483343	6.494452	
85	-2.085898	-2.065268	11.350186	11.370815	6.784364	6.795472	
