#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-0.702248	-0.475060	-0.702248	-0.475060	-11.381546	-11.270676	
1	-0.701946	-0.474758	-0.699236	-0.472048	-11.377329	-11.266459	
2	-0.701043	-0.473855	-0.690202	-0.463014	-11.364682	-11.253812	
3	-0.699538	-0.472350	-0.675152	-0.447964	-11.343612	-11.232742	
4	-0.697432	-0.470244	-0.654095	-0.426907	-11.314132	-11.203262	
5	-0.694727	-0.467539	-0.627043	-0.399855	-11.276260	-11.165389	
6	-0.691424	-0.464236	-0.594013	-0.366825	-11.230017	-11.119147	
7	-0.687525	-0.460337	-0.555024	-0.327836	-11.175433	-11.064563	
8	-0.683033	-0.455845	-0.510100	-0.282912	-11.112540	-11.001670	
9	-0.677950	-0.450762	-0.459269	-0.232081	-11.041376	-10.930505	
10	-0.672279	-0.445091	-0.402560	-0.175372	-10.961984	-10.851113	
11	-0.666024	-0.438836	-0.340008	-0.112820	-10.874411	-10.763541	
12	-0.659188	-0.432000	-0.271651	-0.044463	-10.778711	-10.667840	
13	-0.651776	-0.424588	-0.197529	0.029659	-10.674941	-10.564070	
14	-0.643792	-0.416604	-0.117688	0.109500	-10.563163	-10.452293	
15	-0.635240	-0.408052	-0.032176	0.195013	-10.443445	-10.332575	
16	-0.626127	-0.398939	0.058957	0.286145	-10.315859	-10.204989	
17	-0.616457	-0.389269	0.155655	0.382843	-10.180483	-10.069612	
18	-0.606237	-0.379049	0.257859	0.485048	-10.037396	-9.926526	
19	-0.595472	-0.368284	0.365509	0.592697	-9.886686	-9.775816	
20	-0.584169	-0.356981	0.478540	0.705728	-9.728444	-9.617573	
21	-0.572335	-0.345147	0.596882	0.824071	-9.562764	-9.451894	
22	-0.559976	-0.332788	0.720466	0.947654	-9.389747	-9.278876	
23	-0.547101	-0.319913	0.849217	1.076405	-9.209496	-9.098626	
24	-0.533717	-0.306529	0.983056	1.210244	-9.022121	-8.911250	
25	-0.519832	-0.292644	1.121904	1.349092	-8.827733	-8.716863	
26	-0.505455	-0.278267	1.265677	1.492865	-8.626451	-8.515581	
27	-0.490594	-0.263406	1.414288	1.641476	-8.418396	-8.307526	
28	-0.475258	-0.248070	1.567648	1.794836	-8.203692	-8.092822	
29	-0.459456	-0.232268	1.725664	1.952852	-7.982470	-7.871600	
30	-0.443199	-0.216011	1.888241	2.115429	-7.754862	-7.643991	
31	-0.426495	-0.199307	2.055282	2.282470	-7.521005	-7.410135	
32	-0.409354	-0.182166	2.226685	2.453873	-7.281041	-7.170171	
33	-0.391788	-0.164600	2.402347	2.629535	-7.035114	-6.924243	
34	-0.373807	-0.146618	2.582163	2.809351	-6.783371	-6.672501	
35	-0.355420	-0.128232	2.766024	2.993212	-6.525966	-6.415095	
36	-0.336641	-0.109453	2.953820	3.181008	-6.263052	-6.152182	
37	-0.317479	-0.090291	3.145436	3.372625	-5.994788	-5.883918	
38	-0.297947	-0.070759	3.340759	3.567947	-5.721336	-5.610466	
39	-0.278056	-0.050868	3.539670	3.766859	-5.442861	-5.331990	
40	-0.257818	-0.030630	3.742050	3.969238	-5.159529	-5.048659	
41	-0.237245	-0.010057	3.947776	4.174964	-4.871513	-4.760642	
42	-0.216350	0.010838	4.156725	4.383913	-4.578984	-4.468114	
43	-0.195146	0.032042	4.368770	4.595959	-4.282121	-4.171250	
44	-0.173644	0.053544	4.583785	4.810973	-3.981100	-3.870230	
45	-0.151859	0.075329	4.801639	5.028827	-3.676105	-3.565234	
46	-0.129803	0.097385	5.022201	5.249390	-3.367317	-3.256447	
47	-0.107489	0.119699	5.245339	5.472527	-3.054924	-2.944054	
48	-0.084931	0.142257	5.470918	5.698106	-2.739114	-2.628244	
49	-0.062143	0.165045	5.698802	5.925990	-2.420077	-2.309206	
50	-0.039137	0.188051	5.928854	6.156042	-2.098004	-1.987134	
51	-0.015929	0.211259	6.160935	6.388123	-1.773090	-1.662220	
52	0.007468	0.234656	6.394906	6.622094	-1.445532	-1.334661	
53	0.031040	0.258228	6.630625	6.857813	-1.115525	-1.004654	
54	0.054772	0.281960	6.867951	7.095139	-0.783269	-0.672398	
55	0.078651	0.305839	7.106740	7.333928	-0.448963	-0.338093	
56	0.102662	0.329850	7.346849	7.574037	-0.112811	-0.001940	
57	0.126790	0.353979	7.588133	7.815322	0.224988	0.335858	
58	0.151022	0.378210	7.830448	8.057636	0.564227	0.675098	
59	0.175342	0.402530	8.073646	8.300834	0.904705	1.015575	
60	0.199735	0.426923	8.317581	8.544769	1.246214	1.357084	
61	0.224188	0.451376	8.562107	8.789295	1.588550	1.699420	
62	0.248685	0.475873	8.807076	9.034264	1.931507	2.042377	
63	0.273211	0.500399	9.052340	9.279528	2.274877	2.385747	
64	0.297752	0.524940	9.297752	9.524940	2.618454	2.729324	
65	0.322294	0.549482	9.543165	9.770353	2.962031	3.072902	
66	0.346820	0.574008	9.788429	10.015617	3.305401	3.416272	
67	0.371317	0.598505	10.033398	10.260586	3.648358	3.759228	
68	0.395770	0.622958	10.277924	10.505112	3.990694	4.101564	
69	0.420163	0.647351	10.521859	10.749047	4.332203	4.443074	
70	0.444483	0.671671	10.765057	10.992245	4.672681	4.783551	
71	0.468714	0.695902	11.007371	11.234559	5.011920	5.122791	
72	0.492843	0.720031	11.248656	11.475844	5.349718	5.460589	
73	0.516854	0.744042	11.488765	11.715953	5.685871	5.796742	
74	0.540733	0.767921	11.727554	11.954742	6.020176	6.131047	
75	0.564465	0.791653	11.964880	12.192068	6.352433	6.463303	
76	0.588037	0.815225	12.200599	12.427787	6.682439	6.793310	
77	0.611434	0.838622	12.434570	12.661758	7.009998	7.120869	
78	0.634642	0.861830	12.666651	12.893839	7.334912	7.445782	
79	0.657647	0.884836	12.896703	13.123891	7.656984	7.767855	
80	0.680436	0.907624	13.124587	13.351775	7.976022	8.086892	
81	0.702994	0.930182	13.350166	13.577354	8.291832	8.402703	
82	0.725307	0.952496	13.573303	13.800491	8.604225	8.715096	
83	0.747364	0.974552	13.793866	14.021054	8.913013	9.023883	
84	0.769149	0.996337	14.011720	14.238908	9.218008	9.328879	
85	0.790651	1.017839	14.226734	14.453922	9.519029	9.629899	
86	0.811855	1.039043	14.438780	14.665968	9.815892	9.926763	
87	0.832750	1.059938	14.647729	14.874917	10.108421	10.219291	
88	0.853323	1.080511	14.853455	15.080643	10.396437	10.507308	
89	0.873561	1.100749	15.055834	15.283022	10.679769	10.790639	
90	0.893452	1.120640	15.254745	15.481934	10.958244	11.069115	
91	0.912984	1.140172	15.450068	15.677256	11.231696	11.342567	
92	0.932146	1.159334	15.641685	15.868873	11.499960	11.610830	
93	0.950925	1.178113	15.829481	16.056669	11.762874	11.873744	
94	0.969311	1.196499	16.013342	16.240530	12.020279	12.131150	
95	0.987293	1.214481	16.193158	16.420346	12.272022	12.382892	
96	1.004859	1.232047	16.368820	16.596008	12.517949	12.628819	
97	1.021999	1.249188	16.540223	16.767411	12.757913	12.868784	
98	1.038704	1.265892	16.707264	16.934452	12.991770	13.102640	
99	1.054961	1.282149	16.869841	17.097029	13.219378	13.330248	
100	1.070763	1.297951	17.027857	17.255045	13.440600	13.551471	
101	1.086099	1.313287	17.181217	17.408405	13.655304	13.766174	
102	1.100960	1.328148	17.329828	17.557016	13.863359	13.974230	
103	1.115337	1.342525	17.473601	17.700789	14.064641	14.175512	
104	1.129222	1.356410	17.612449	17.839637	14.259029	14.369899	
105	1.142606	1.369794	17.746288	17.973476	14.446404	14.557274	
106	1.155481	1.382669	17.875038	18.102227	14.626655	14.737525	
107	1.167839	1.395027	17.998622	18.225810	14.799672	14.910542	
108	1.179674	1.406862	18.116965	18.344153	14.965352	15.076222	
109	1.190977	1.418165	18.229995	18.457184	15.123594	15.234465	
110	1.201742	1.428930	18.337645	18.564833	15.274304	15.385174	
111	1.211962	1.439150	18.439850	18.667038	15.417391	15.528261	
112	1.221632	1.448820	18.536548	18.763736	15.552767	15.663638	
113	1.230745	1.457933	18.627680	18.854868	15.680353	15.791224	
114	1.239296	1.466485	18.713193	18.940381	15.800071	15.910941	
115	1.247281	1.474469	18.793034	19.020222	15.911849	16.022719	
116	1.254693	1.481881	18.867156	19.094344	16.015619	16.126489	
117	1.261528	1.488717	18.935513	19.162701	16.111319	16.222189	
118	1.267784	1.494972	18.998065	19.225253	16.198892	16.309762	
119	1.273455	1.500643	19.054774	19.281962	16.278284	16.389154	
120	1.278538	1.505726	19.105605	19.332793	16.349448	16.460318	
121	1.283030	1.510218	19.150529	19.377717	16.412341	16.523211	
122	1.286929	1.514117	19.189517	19.416706	16.466925	16.577795	
123	1.290232	1.517420	19.222548	19.449736	16.513167	16.624038	
124	1.292937	1.520125	19.249600	19.476788	16.551040	16.661911	
125	1.295043	1.522231	19.270657	19.497845	16.580520	16.691391	
126	1.296548	1.523736	19.285707	19.512895	16.601590	16.712461	
127	1.297451	1.524639	19.294741	19.521929	16.614237	16.725108	
128	1.297752	1.524940	19.297752	19.524940	16.618454	16.729324	
129	1.300764	1.527952	19.298054	19.525242	16.619056	16.729927	
130	1.309798	1.536986	19.298957	19.526145	16.620863	16.731733	
131	1.324848	1.552036	19.300462	19.527650	16.623873	16.734743	
132	1.345905	1.573093	19.302568	19.529756	16.628085	16.738955	
133	1.372957	1.600145	19.305273	19.532461	16.633495	16.744365	
134	1.405987	1.633175	19.308576	19.535764	16.640101	16.750971	
135	1.444976	1.672164	19.312475	19.539663	16.647899	16.758769	
136	1.489900	1.717088	19.316967	19.544155	16.656883	16.767754	
137	1.540731	1.767919	19.322050	19.549238	16.667050	16.777920	
138	1.597440	1.824628	19.327721	19.554909	16.678391	16.789262	
139	1.659992	1.887180	19.333976	19.561164	16.690902	16.801772	
140	1.728349	1.955537	19.340812	19.568000	16.704573	16.815444	
141	1.802471	2.029659	19.348224	19.575412	16.719398	16.830268	
142	1.882312	2.109500	19.356208	19.583396	16.735366	16.846236	
143	1.967824	2.195013	19.364760	19.591948	16.752468	16.863339	
144	2.058957	2.286145	19.373873	19.601061	16.770695	16.881565	
145	2.155655	2.382843	19.383543	19.610731	16.790034	16.900905	
146	2.257859	2.485048	19.393763	19.620951	16.810475	16.921346	
147	2.365509	2.592697	19.404528	19.631716	16.832005	16.942876	
148	2.478540	2.705728	19.415831	19.643019	16.854611	16.965482	
149	2.596882	2.824071	19.427665	19.654853	16.878280	16.989150	
150	2.720466	2.947654	19.440024	19.667212	16.902997	17.013867	
151	2.849217	3.076405	19.452899	19.680087	16.928747	17.039617	
152	2.983056	3.210244	19.466283	19.693471	16.955515	17.066385	
153	3.121904	3.349092	19.480168	19.707356	16.983284	17.094155	
154	3.265677	3.492865	19.494545	19.721733	17.012039	17.122909	
155	3.414288	3.641476	19.509406	19.736594	17.041761	17.152631	
156	3.567648	3.794836	19.524742	19.751930	17.072433	17.183303	
157	3.725664	3.952852	19.540544	19.767732	17.104036	17.214907	
158	3.888241	4.115429	19.556801	19.783989	17.136552	17.247422	
159	4.055282	4.282470	19.573505	19.800693	17.169960	17.280830	
160	4.226685	4.453873	19.590646	19.817834	17.204240	17.315111	
161	4.402347	4.629535	19.608212	19.835400	17.239373	17.350243	
162	4.582163	4.809351	19.626193	19.853382	17.275336	17.386206	
163	4.766024	4.993212	19.644580	19.871768	17.312108	17.422979	
164	4.953820	5.181008	19.663359	19.890547	17.349667	17.460538	
165	5.145436	5.372625	19.682521	19.909709	17.387991	17.498861	
166	5.340759	5.567947	19.702053	19.929241	17.427055	17.537926	
167	5.539670	5.766859	19.721944	19.949132	17.466838	17.577708	
168	5.742050	5.969238	19.742182	19.969370	17.507314	17.618184	
169	5.947776	6.174964	19.762755	19.989943	17.548459	17.659329	
170	6.156725	6.383913	19.783650	20.010838	17.590248	17.701119	
171	6.368770	6.595959	19.804854	20.032042	17.632658	17.743528	
172	6.583785	6.810973	19.826356	20.053544	17.675661	17.786531	
173	6.801639	7.028827	19.848141	20.075329	17.719231	17.830102	
174	7.022201	7.249390	19.870197	20.097385	17.763344	17.874214	
175	7.245339	7.472527	19.892511	20.119699	17.807971	17.918842	
176	7.470918	7.698106	19.915069	20.142257	17.853087	17.963957	
177	7.698802	7.925990	19.937857	20.165045	17.898664	18.009534	
178	7.928854	8.156042	19.960863	20.188051	17.944674	18.055545	
179	8.160935	8.388123	19.984071	20.211259	17.991090	18.101961	
180	8.394906	8.622094	20.007468	20.234656	18.037885	18.148755	
181	8.630625	8.857813	20.031040	20.258228	18.085028	18.195899	
182	8.867951	9.095139	20.054772	20.281960	18.132494	18.243364	
183	9.106740	9.333928	20.078651	20.305839	18.180251	18.291122	
184	9.346849	9.574037	20.102662	20.329850	18.228273	18.339144	
185	9.588133	9.815322	20.126790	20.353979	18.276530	18.387401	
186	9.830448	10.057636	20.151022	20.378210	18.324993	18.435863	
187	10.073646	10.300834	20.175342	20.402530	18.373633	18.484503	
188	10.317581	10.544769	20.199735	20.426923	18.422420	18.533290	
189	10.562107	10.789295	20.224188	20.451376	18.471325	18.582195	
190	10.807076	11.034264	20.248685	20.475873	18.520319	18.631189	
191	11.052340	11.279528	20.273211	20.500399	18.569372	18.680242	
192	11.297752	11.524940	20.297752	20.524940	18.618454	18.729324	
193	11.543165	11.770353	20.322294	20.549482	18.667536	18.778407	
194	11.788429	12.015617	20.346820	20.574008	18.716589	18.827460	
195	12.033398	12.260586	20.371317	20.598505	18.765583	18.876453	
196	12.277924	12.505112	20.395770	20.622958	18.814488	18.925359	
197	12.521859	12.749047	20.420163	20.647351	18.863275	18.974146	
198	12.765057	12.992245	20.444483	20.671671	18.911915	19.022785	
199	13.007371	13.234559	20.468714	20.695902	18.960378	19.071248	
200	13.248656	13.475844	20.492843	20.720031	19.008635	19.119505	
201	13.488765	13.715953	20.516854	20.744042	19.056656	19.167527	
202	13.727554	13.954742	20.540733	20.767921	19.104414	19.215285	
203	13.964880	14.192068	20.564465	20.791653	19.151879	19.262750	
204	14.200599	14.427787	20.588037	20.815225	19.199023	19.309894	
205	14.434570	14.661758	20.611434	20.838622	19.245817	19.356688	
206	14.666651	14.893839	20.634642	20.861830	19.292234	19.403104	
207	14.896703	15.123891	20.657647	20.884836	19.338244	19.449114	
208	15.124587	15.351775	20.680436	20.907624	19.383821	19.494691	
209	15.350166	15.577354	20.702994	20.930182	19.428937	19.539807	
210	15.573303	15.800491	20.725307	20.952496	19.473564	19.584435	
211	15.793866	16.021054	20.747364	20.974552	19.517677	19.628547	
212	16.011720	16.238908	20.769149	20.996337	19.561247	19.672118	
213	16.226734	16.453922	20.790651	21.017839	19.604250	19.715121	
214	16.438780	16.665968	20.811855	21.039043	19.646659	19.757530	
215	16.647729	16.874917	20.832750	21.059938	19.688449	19.799320	
216	16.853455	17.080643	20.853323	21.080511	19.729594	19.840465	
217	17.055834	17.283022	20.873561	21.100749	19.770070	19.880941	
218	17.254745	17.481934	20.893452	21.120640	19.809853	19.920723	
219	17.450068	17.677256	20.912984	21.140172	19.848917	19.959788	
220	17.641685	17.868873	20.932146	21.159334	19.887241	19.998111	
221	17.829481	18.056669	20.950925	21.178113	19.924800	20.035670	
222	18.013342	18.240530	20.969311	21.196499	19.961572	20.072442	
223	18.193158	18.420346	20.987293	21.214481	19.997535	20.108405	
224	18.368820	18.596008	21.004859	21.232047	20.032668	20.143538	
225	18.540223	18.767411	21.021999	21.249188	20.066948	20.177819	
226	18.707264	18.934452	21.038704	21.265892	20.100356	20.211227	
227	18.869841	19.097029	21.054961	21.282149	20.132872	20.243742	
228	19.027857	19.255045	21.070763	21.297951	20.164475	20.275345	
229	19.181217	19.408405	21.086099	21.313287	20.195147	20.306017	
230	19.329828	19.557016	21.100960	21.328148	20.224869	20.335739	
231	19.473601	19.700789	21.115337	21.342525	20.253624	20.364494	
232	19.612449	19.839637	21.129222	21.356410	20.281393	20.392264	
233	19.746288	19.973476	21.142606	21.369794	20.308161	20.419031	
234	19.875038	20.102227	21.155481	21.382669	20.333911	20.444782	
235	19.998622	20.225810	21.167839	21.395027	20.358628	20.469498	
236	20.116965	20.344153	21.179674	21.406862	20.382297	20.493167	
237	20.229995	20.457184	21.190977	21.418165	20.404903	20.515773	
238	20.337645	20.564833	21.201742	21.428930	20.426433	20.537303	
239	20.439850	20.667038	21.211962	21.439150	20.446873	20.557744	
240	20.536548	20.763736	21.221632	21.448820	20.466213	20.577083	
241	20.627680	20.854868	21.230745	21.457933	20.484440	20.595310	
242	20.713193	20.940381	21.239296	21.466485	20.501542	20.612412	
243	20.793034	21.020222	21.247281	21.474469	20.517510	20.628381	
244	20.867156	21.094344	21.254693	21.481881	20.532335	20.643205	
245	20.935513	21.162701	21.261528	21.488717	20.546006	20.656876	
246	20.998065	21.225253	21.267784	21.494972	20.558516	20.669387	
247	21.054774	21.281962	21.273455	21.500643	20.569858	20.680729	
248	21.105605	21.332793	21.278538	21.505726	20.580025	20.690895	
249	21.150529	21.377717	21.283030	21.510218	20.589009	20.699880	
250	21.189517	21.416706	21.286929	21.514117	20.596807	20.707677	
251	21.222548	21.449736	21.290232	21.517420	20.603413	20.714283	
252	21.249600	21.476788	21.292937	21.520125	20.608823	20.719694	
253	21.270657	21.497845	21.295043	21.522231	20.613035	20.723905	
254	21.285707	21.512895	21.296548	21.523736	20.616045	20.726915	
255	21.294741	21.521929	21.297451	21.524639	20.617852	20.728722	
256	21.297752	21.524940	21.297752	21.524940	20.618454	20.729324	
257	21.292512	21.519700	21.296367	21.523555	20.617249	20.728119	
258	21.276798	21.503986	21.292207	21.519395	20.613627	20.724497	
259	21.250630	21.477818	21.285265	21.512453	20.607572	20.718442	
260	21.214041	21.441229	21.275528	21.502716	20.599054	20.709924	
261	21.167077	21.394265	21.262977	21.490165	20.588033	20.698903	
262	21.109799	21.336987	21.247589	21.474778	20.574457	20.685327	
263	21.042277	21.269465	21.229336	21.456524	20.558264	20.669134	
264	20.964598	21.191786	21.208183	21.435371	20.539380	20.650250	
265	20.876859	21.104047	21.184093	21.411281	20.517720	20.628591	
266	20.779170	21.006358	21.157022	21.384210	20.493190	20.604061	
267	20.671655	20.898843	21.126923	21.354111	20.465685	20.576556	
268	20.554447	20.781636	21.093745	21.320933	20.435091	20.545961	
269	20.427694	20.654883	21.057430	21.284618	20.401282	20.512153	
270	20.291554	20.518742	21.017920	21.245108	20.364128	20.474998	
271	20.146195	20.373383	20.975151	21.202339	20.323485	20.434356	
272	19.991798	20.218986	20.929056	21.156244	20.279206	20.390077	
273	19.828554	20.055742	20.879565	21.106753	20.231133	20.342004	
274	19.656664	19.883852	20.826605	21.053793	20.179103	20.289973	
275	19.476339	19.703527	20.770101	20.997289	20.122945	20.233815	
276	19.287799	19.514987	20.709974	20.937162	20.062484	20.173354	
277	19.091274	19.318462	20.646145	20.873333	19.997538	20.108408	
278	18.887002	19.114190	20.578532	20.805720	19.927922	20.038792	
279	18.675230	18.902418	20.507053	20.734242	19.853446	19.964316	
280	18.456212	18.683400	20.431625	20.658813	19.773917	19.884788	
281	18.230209	18.457397	20.352162	20.579350	19.689141	19.800012	
282	17.997491	18.224679	20.268580	20.495768	19.598920	19.709791	
283	17.758331	17.985519	20.180795	20.407983	19.503056	19.613927	
284	17.513012	17.740200	20.088723	20.315911	19.401350	19.512221	
285	17.261818	17.489007	19.992281	20.219469	19.293604	19.404474	
286	17.005042	17.232230	19.891387	20.118575	19.179621	19.290491	
287	16.742979	16.970167	19.785962	20.013150	19.059204	19.170075	
288	16.475927	16.703115	19.675927	19.903115	18.932162	19.043033	
289	16.204190	16.431378	19.561207	19.788395	18.798306	18.909176	
290	15.928073	16.155262	19.441728	19.668916	18.657449	18.768319	
291	15.647885	15.875073	19.317422	19.544611	18.509411	18.620281	
292	15.363934	15.591122	19.188223	19.415411	18.354017	18.464888	
293	15.076532	15.303720	19.054068	19.281256	18.191100	18.301970	
294	14.785989	15.013177	18.914900	19.142088	18.020497	18.131367	
295	14.492619	14.719807	18.770666	18.997854	17.842055	17.952925	
296	14.196731	14.423920	18.621318	18.848507	17.655628	17.766498	
297	13.898638	14.125826	18.466814	18.694002	17.461081	17.571952	
298	13.598648	13.825836	18.307117	18.534305	17.258288	17.369158	
299	13.297068	13.524256	18.142197	18.369385	17.047133	17.158004	
300	12.994204	13.221392	17.972029	18.199217	16.827512	16.938383	
301	12.690358	12.917546	17.796596	18.023784	16.599333	16.710204	
302	12.385829	12.613017	17.615888	17.843076	16.362515	16.473386	
303	12.080913	12.308101	17.429901	17.657089	16.116992	16.227862	
304	11.775899	12.003087	17.238641	17.465829	15.862709	15.973580	
305	11.471076	11.698264	17.042120	17.269308	15.599628	15.710498	
306	11.166724	11.393912	16.840357	17.067546	15.327723	15.438593	
307	10.863119	11.090308	16.633384	16.860572	15.046984	15.157855	
308	10.560532	10.787721	16.421235	16.648423	14.757418	14.868288	
309	10.259227	10.486415	16.203958	16.431147	14.459044	14.569914	
310	9.959460	10.186648	15.981608	16.208796	14.151901	14.262771	
311	9.661483	9.888671	15.754249	15.981437	13.836042	13.946912	
312	9.365539	9.592727	15.521953	15.749141	13.511538	13.622408	
313	9.071863	9.299051	15.284804	15.511992	13.178476	13.289347	
314	8.780683	9.007871	15.042892	15.270080	12.836963	12.947833	
315	8.492220	8.719408	14.796320	15.023508	12.487119	12.597989	
316	8.206684	8.433873	14.545197	14.772385	12.129084	12.239954	
317	7.924280	8.151468	14.289645	14.516833	11.763017	11.873887	
318	7.645201	7.872389	14.029792	14.256980	11.389091	11.499961	
319	7.369633	7.596821	13.765779	13.992967	11.007500	11.118370	
320	7.097752	7.324940	13.497752	13.724940	10.618454	10.729324	
321	6.829726	7.056914	13.225872	13.453060	10.222181	10.333051	
322	6.565712	6.792901	12.950304	13.177492	9.818925	9.929796	
323	6.305860	6.533048	12.671225	12.898413	9.408950	9.519821	
324	6.050307	6.277495	12.388820	12.616008	8.992536	9.103406	
