#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-8.397217	-8.408752	-8.397217	-8.408752	-19.318817	-19.331635	
1	-8.396916	-8.408451	-8.394205	-8.405741	-19.314601	-19.327418	
2	-8.396012	-8.407548	-8.385171	-8.396707	-19.301954	-19.314771	
3	-8.394507	-8.406043	-8.370121	-8.381657	-19.280884	-19.293701	
4	-8.392402	-8.403937	-8.349064	-8.360600	-19.251403	-19.264221	
5	-8.389696	-8.401232	-8.322012	-8.333548	-19.213531	-19.226348	
6	-8.386393	-8.397929	-8.288982	-8.300518	-19.167288	-19.180106	
7	-8.382494	-8.394030	-8.249993	-8.261529	-19.112704	-19.125522	
8	-8.378002	-8.389538	-8.205070	-8.216605	-19.049811	-19.062628	
9	-8.372919	-8.384455	-8.154238	-8.165774	-18.978647	-18.991464	
10	-8.367248	-8.378784	-8.097529	-8.109065	-18.899255	-18.912072	
11	-8.360993	-8.372529	-8.034977	-8.046513	-18.811682	-18.824499	
12	-8.354157	-8.365693	-7.966620	-7.978156	-18.715982	-18.728799	
13	-8.346745	-8.358281	-7.892499	-7.904034	-18.612212	-18.625029	
14	-8.338761	-8.350297	-7.812657	-7.824193	-18.500434	-18.513251	
15	-8.330210	-8.341745	-7.727145	-7.738680	-18.380716	-18.393534	
16	-8.321096	-8.332632	-7.636012	-7.647548	-18.253131	-18.265948	
17	-8.311427	-8.322962	-7.539314	-7.550850	-18.117754	-18.130571	
18	-8.301206	-8.312742	-7.437110	-7.448645	-17.974667	-17.987485	
19	-8.290441	-8.301977	-7.329460	-7.340995	-17.823957	-17.836775	
20	-8.279138	-8.290674	-7.216429	-7.227965	-17.665715	-17.678532	
21	-8.267304	-8.278839	-7.098087	-7.109622	-17.500035	-17.512852	
22	-8.254945	-8.266481	-6.974503	-6.986039	-17.327018	-17.339835	
23	-8.242070	-8.253606	-6.845752	-6.857288	-17.146767	-17.159584	
24	-8.228686	-8.240222	-6.711913	-6.723449	-16.959392	-16.972209	
25	-8.214802	-8.226337	-6.573065	-6.584601	-16.765005	-16.777822	
26	-8.200424	-8.211960	-6.429292	-6.440828	-16.563723	-16.576540	
27	-8.185563	-8.197099	-6.280681	-6.292217	-16.355667	-16.368485	
28	-8.170227	-8.181763	-6.127321	-6.138857	-16.140963	-16.153781	
29	-8.154426	-8.165961	-5.969305	-5.980841	-15.919741	-15.932558	
30	-8.138168	-8.149704	-5.806728	-5.818264	-15.692133	-15.704950	
31	-8.121464	-8.133000	-5.639688	-5.651223	-15.458276	-15.471094	
32	-8.104324	-8.115859	-5.468285	-5.479820	-15.218312	-15.231129	
33	-8.086757	-8.098293	-5.292622	-5.304158	-14.972385	-14.985202	
34	-8.068776	-8.080311	-5.112806	-5.124342	-14.720643	-14.733460	
35	-8.050390	-8.061925	-4.928945	-4.940481	-14.463237	-14.476054	
36	-8.031610	-8.043146	-4.741150	-4.752685	-14.200323	-14.213140	
37	-8.012448	-8.023984	-4.549533	-4.561068	-13.932059	-13.944877	
38	-7.992916	-8.004452	-4.354210	-4.365745	-13.658607	-13.671425	
39	-7.973025	-7.984561	-4.155299	-4.166834	-13.380132	-13.392949	
40	-7.952787	-7.964323	-3.952919	-3.964455	-13.096800	-13.109618	
41	-7.932214	-7.943750	-3.747193	-3.758729	-12.808784	-12.821601	
42	-7.911320	-7.922855	-3.538244	-3.549780	-12.516256	-12.529073	
43	-7.890115	-7.901651	-3.326199	-3.337734	-12.219392	-12.232209	
