#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-6.146744	-3.860764	-6.146744	-3.860764	-17.221222	-14.787201	
1	-6.146443	-3.860462	-6.143732	-3.857752	-17.217005	-14.782984	
2	-6.145539	-3.859559	-6.134698	-3.848718	-17.204358	-14.770337	
3	-6.144034	-3.858054	-6.119648	-3.833668	-17.183288	-14.749267	
4	-6.141929	-3.855948	-6.098591	-3.812611	-17.153808	-14.719787	
5	-6.139223	-3.853243	-6.071539	-3.785559	-17.115935	-14.681914	
6	-6.135920	-3.849940	-6.038509	-3.752529	-17.069693	-14.635672	
7	-6.132021	-3.846041	-5.999520	-3.713540	-17.015109	-14.581088	
8	-6.127529	-3.841549	-5.954597	-3.668616	-16.952216	-14.518195	
9	-6.122446	-3.836466	-5.903765	-3.617785	-16.881052	-14.447031	
10	-6.116775	-3.830795	-5.847056	-3.561076	-16.801659	-14.367638	
11	-6.110520	-3.824540	-5.784504	-3.498524	-16.714087	-14.280066	
12	-6.103684	-3.817704	-5.716147	-3.430167	-16.618387	-14.184366	
13	-6.096272	-3.810292	-5.642026	-3.356045	-16.514616	-14.080595	
14	-6.088288	-3.802308	-5.562184	-3.276204	-16.402839	-13.968818	
15	-6.079737	-3.793756	-5.476672	-3.190692	-16.283121	-13.849100	
16	-6.070623	-3.784643	-5.385539	-3.099559	-16.155535	-13.721514	
17	-6.060954	-3.774973	-5.288841	-3.002861	-16.020159	-13.586138	
18	-6.050733	-3.764753	-5.186637	-2.900656	-15.877072	-13.443051	
19	-6.039968	-3.753988	-5.078987	-2.793007	-15.726362	-13.292341	
20	-6.028665	-3.742685	-4.965956	-2.679976	-15.568120	-13.134099	
21	-6.016831	-3.730851	-4.847614	-2.561633	-15.402440	-12.968419	
22	-6.004472	-3.718492	-4.724030	-2.438050	-15.229422	-12.795401	
23	-5.991597	-3.705617	-4.595279	-2.309299	-15.049172	-12.615151	
24	-5.978213	-3.692233	-4.461440	-2.175460	-14.861796	-12.427775	
25	-5.964329	-3.678348	-4.322592	-2.036612	-14.667409	-12.233388	
26	-5.949951	-3.663971	-4.178819	-1.892839	-14.466127	-12.032106	
27	-5.935090	-3.649110	-4.030208	-1.744228	-14.258072	-11.824051	
28	-5.919754	-3.633774	-3.876848	-1.590868	-14.043368	-11.609347	
29	-5.903953	-3.617972	-3.718832	-1.432852	-13.822146	-11.388125	
30	-5.887695	-3.601715	-3.556255	-1.270275	-13.594538	-11.160517	
31	-5.870991	-3.585011	-3.389215	-1.103234	-13.360681	-10.926660	
32	-5.853851	-3.567870	-3.217812	-0.931831	-13.120717	-10.686696	
33	-5.836284	-3.550304	-3.042149	-0.756169	-12.874790	-10.440769	
34	-5.818303	-3.532323	-2.862333	-0.576353	-12.623047	-10.189026	
35	-5.799917	-3.513936	-2.678472	-0.392492	-12.365642	-9.931621	
36	-5.781137	-3.495157	-2.490677	-0.204696	-12.102728	-9.668707	
37	-5.761975	-3.475995	-2.299060	-0.013079	-11.834464	-9.400443	
38	-5.742443	-3.456463	-2.103737	0.182243	-11.561012	-9.126991	
39	-5.722552	-3.436572	-1.904826	0.381155	-11.282537	-8.848516	
40	-5.702314	-3.416334	-1.702446	0.583534	-10.999205	-8.565184	
41	-5.681741	-3.395761	-1.496720	0.789260	-10.711189	-8.277168	
42	-5.660847	-3.374866	-1.287771	0.998209	-10.418660	-7.984639	
43	-5.639642	-3.353662	-1.075726	1.210255	-10.121797	-7.687776	
44	-5.618141	-3.332160	-0.860711	1.425269	-9.820776	-7.386755	
45	-5.596355	-3.310375	-0.642857	1.643123	-9.515781	-7.081760	
46	-5.574299	-3.288319	-0.422295	1.863686	-9.206993	-6.772972	
47	-5.551985	-3.266005	-0.199157	2.086823	-8.894600	-6.460579	
48	-5.529427	-3.243447	0.026422	2.312402	-8.578790	-6.144769	
49	-5.506639	-3.220659	0.254306	2.540286	-8.259752	-5.825731	
50	-5.483634	-3.197653	0.484358	2.770338	-7.937680	-5.503659	
51	-5.460426	-3.174445	0.716439	3.002419	-7.612766	-5.178745	
52	-5.437028	-3.151048	0.950409	3.236390	-7.285207	-4.851186	
53	-5.413457	-3.127476	1.186129	3.472109	-6.955201	-4.521180	
54	-5.389724	-3.103744	1.423454	3.709435	-6.622944	-4.188923	
55	-5.365845	-3.079865	1.662244	3.948224	-6.288639	-3.854618	
56	-5.341834	-3.055854	1.902353	4.188333	-5.952486	-3.518465	
57	-5.317706	-3.031725	2.143637	4.429618	-5.614688	-3.180667	
58	-5.293474	-3.007494	2.385951	4.671932	-5.275449	-2.841428	
59	-5.269154	-2.983174	2.629149	4.915130	-4.934971	-2.500950	
60	-5.244761	-2.958781	2.873085	5.159065	-4.593462	-2.159441	
61	-5.220308	-2.934328	3.117611	5.403591	-4.251126	-1.817105	
62	-5.195811	-2.909831	3.362579	5.648560	-3.908169	-1.474148	
63	-5.171285	-2.885305	3.607844	5.893824	-3.564799	-1.130778	
64	-5.146744	-2.860764	3.853256	6.139236	-3.221222	-0.787201	
65	-5.122203	-2.836222	4.098669	6.384649	-2.877645	-0.443624	
66	-5.097676	-2.811696	4.343933	6.629913	-2.534274	-0.100253	
67	-5.073179	-2.787199	4.588902	6.874882	-2.191318	0.242703	
68	-5.048727	-2.762746	4.833428	7.119408	-1.848982	0.585039	
69	-5.024333	-2.738353	5.077363	7.363343	-1.507472	0.926549	
70	-5.000013	-2.714033	5.320561	7.606541	-1.166995	1.267026	
71	-4.975782	-2.689802	5.562875	7.848855	-0.827755	1.606266	
72	-4.951653	-2.665673	5.804159	8.090140	-0.489957	1.944064	
73	-4.927643	-2.641662	6.044269	8.330249	-0.153805	2.280216	
74	-4.903764	-2.617783	6.283058	8.569038	0.180501	2.614522	
75	-4.880031	-2.594051	6.520384	8.806364	0.512757	2.946778	
76	-4.856459	-2.570479	6.756103	9.042083	0.842764	3.276785	
77	-4.833062	-2.547082	6.990074	9.276054	1.170322	3.604343	
78	-4.809854	-2.523874	7.222155	9.508135	1.495236	3.929257	
79	-4.786849	-2.500869	7.452207	9.738187	1.817309	4.251330	
80	-4.764060	-2.478080	7.680091	9.966071	2.136346	4.570367	
81	-4.741502	-2.455522	7.905669	10.191650	2.452156	4.886177	
82	-4.719189	-2.433208	8.128807	10.414787	2.764549	5.198570	
83	-4.697132	-2.411152	8.349370	10.635350	3.073337	5.507358	
84	-4.675347	-2.389367	8.567224	10.853204	3.378332	5.812353	
85	-4.653846	-2.367865	8.782238	11.068218	3.679353	6.113374	
86	-4.632641	-2.346661	8.994284	11.280264	3.976216	6.410237	
87	-4.611746	-2.325766	9.203232	11.489213	4.268745	6.702766	
88	-4.591174	-2.305193	9.408959	11.694939	4.556761	6.990782	
89	-4.570936	-2.284955	9.611338	11.897318	4.840093	7.274114	
90	-4.551044	-2.265064	9.810249	12.096229	5.118568	7.552589	
91	-4.531512	-2.245532	10.005572	12.291552	5.392020	7.826041	
92	-4.512350	-2.226370	10.197189	12.483169	5.660284	8.094305	
93	-4.493571	-2.207591	10.384985	12.670965	5.923198	8.357219	
94	-4.475185	-2.189205	10.568846	12.854826	6.180603	8.614624	
95	-4.457203	-2.171223	10.748662	13.034642	6.432346	8.866367	
96	-4.439637	-2.153657	10.924324	13.210304	6.678273	9.112294	
97	-4.422497	-2.136516	11.095727	13.381707	6.918237	9.352258	
98	-4.405793	-2.119812	11.262767	13.548748	7.152094	9.586115	
99	-4.389535	-2.103555	11.425345	13.711325	7.379702	9.813723	
100	-4.373733	-2.087753	11.583361	13.869341	7.600924	10.034945	
101	-4.358397	-2.072417	11.736721	14.022701	7.815628	10.249649	
102	-4.343536	-2.057556	11.885332	14.171312	8.023684	10.457705	
103	-4.329159	-2.043179	12.029104	14.315085	8.224965	10.658986	
104	-4.315274	-2.029294	12.167952	14.453933	8.419353	10.853374	
105	-4.301890	-2.015910	12.301792	14.587772	8.606728	11.040749	
106	-4.289015	-2.003035	12.430542	14.716523	8.786979	11.221000	
107	-4.276657	-1.990677	12.554126	14.840106	8.959996	11.394017	
108	-4.264823	-1.978842	12.672469	14.958449	9.125676	11.559697	
109	-4.253519	-1.967539	12.785499	15.071479	9.283918	11.717939	
110	-4.242754	-1.956774	12.893149	15.179129	9.434628	11.868649	
111	-4.232534	-1.946554	12.995354	15.281334	9.577715	12.011736	
112	-4.222864	-1.936884	13.092052	15.378032	9.713092	12.147113	
113	-4.213751	-1.927771	13.183184	15.469164	9.840677	12.274698	
114	-4.205200	-1.919219	13.268697	15.554677	9.960395	12.394416	
115	-4.197216	-1.911235	13.348538	15.634518	10.072173	12.506194	
116	-4.189803	-1.903823	13.422660	15.708640	10.175943	12.609964	
117	-4.182968	-1.896987	13.491017	15.776997	10.271643	12.705664	
118	-4.176713	-1.890732	13.553569	15.839549	10.359216	12.793237	
119	-4.171042	-1.885061	13.610278	15.896258	10.438608	12.872629	
120	-4.165958	-1.879978	13.661109	15.947089	10.509772	12.943793	
121	-4.161466	-1.875486	13.706033	15.992013	10.572665	13.006686	
122	-4.157567	-1.871587	13.745021	16.031002	10.627249	13.061270	
123	-4.154264	-1.868284	13.778052	16.064032	10.673492	13.107513	
124	-4.151559	-1.865579	13.805103	16.091084	10.711364	13.145385	
125	-4.149453	-1.863473	13.826161	16.112141	10.740844	13.174865	
126	-4.147948	-1.861968	13.841211	16.127191	10.761914	13.195935	
127	-4.147045	-1.861065	13.850244	16.136225	10.774562	13.208583	
128	-4.146744	-1.860764	13.853256	16.139236	10.778778	13.212799	
129	-4.143732	-1.857752	13.853557	16.139538	10.779380	13.213401	
130	-4.134698	-1.848718	13.854461	16.140441	10.781187	13.215208	
131	-4.119648	-1.833668	13.855966	16.141946	10.784197	13.218218	
132	-4.098591	-1.812611	13.858071	16.144052	10.788409	13.222430	
133	-4.071539	-1.785559	13.860777	16.146757	10.793819	13.227840	
134	-4.038509	-1.752529	13.864080	16.150060	10.800425	13.234446	
135	-3.999520	-1.713540	13.867979	16.153959	10.808223	13.242244	
136	-3.954597	-1.668616	13.872471	16.158451	10.817208	13.251229	
137	-3.903765	-1.617785	13.877554	16.163534	10.827374	13.261395	
138	-3.847056	-1.561076	13.883225	16.169205	10.838716	13.272737	
139	-3.784504	-1.498524	13.889480	16.175460	10.851226	13.285247	
140	-3.716147	-1.430167	13.896316	16.182296	10.864897	13.298918	
141	-3.642026	-1.356045	13.903728	16.189708	10.879722	13.313743	
142	-3.562184	-1.276204	13.911712	16.197692	10.895690	13.329711	
143	-3.476672	-1.190692	13.920263	16.206244	10.912792	13.346813	
144	-3.385539	-1.099559	13.929377	16.215357	10.931019	13.365040	
145	-3.288841	-1.002861	13.939046	16.225027	10.950359	13.384380	
146	-3.186637	-0.900656	13.949267	16.235247	10.970799	13.404820	
147	-3.078987	-0.793007	13.960032	16.246012	10.992329	13.426350	
148	-2.965956	-0.679976	13.971335	16.257315	11.014936	13.448957	
149	-2.847614	-0.561633	13.983169	16.269149	11.038604	13.472625	
150	-2.724030	-0.438050	13.995528	16.281508	11.063321	13.497342	
151	-2.595279	-0.309299	14.008403	16.294383	11.089071	13.523092	
152	-2.461440	-0.175460	14.021787	16.307767	11.115839	13.549860	
153	-2.322592	-0.036612	14.035671	16.321652	11.143608	13.577629	
154	-2.178819	0.107161	14.050049	16.336029	11.172363	13.606384	
155	-2.030208	0.255772	14.064910	16.350890	11.202085	13.636106	
156	-1.876848	0.409132	14.080246	16.366226	11.232757	13.666778	
157	-1.718832	0.567148	14.096047	16.382028	11.264360	13.698381	
158	-1.556255	0.729725	14.112305	16.398285	11.296876	13.730897	
159	-1.389215	0.896766	14.129009	16.414989	11.330284	13.764305	
160	-1.217812	1.068169	14.146149	16.432130	11.364565	13.798586	
161	-1.042149	1.243831	14.163716	16.449696	11.399697	13.833718	
162	-0.862333	1.423647	14.181697	16.467677	11.435660	13.869681	
163	-0.678472	1.607508	14.200083	16.486064	11.472432	13.906453	
164	-0.490677	1.795304	14.218863	16.504843	11.509992	13.944013	
165	-0.299060	1.986921	14.238025	16.524005	11.548315	13.982336	
166	-0.103737	2.182243	14.257557	16.543537	11.587379	14.021400	
167	0.095174	2.381155	14.277448	16.563428	11.627162	14.061183	
168	0.297554	2.583534	14.297686	16.583666	11.667638	14.101659	
169	0.503280	2.789260	14.318259	16.604239	11.708783	14.142804	
170	0.712229	2.998209	14.339153	16.625134	11.750573	14.184594	
171	0.924274	3.210255	14.360358	16.646338	11.792982	14.227003	
172	1.139289	3.425269	14.381859	16.667840	11.835985	14.270006	
173	1.357143	3.643123	14.403645	16.689625	11.879555	14.313576	
174	1.577705	3.863686	14.425701	16.711681	11.923668	14.357689	
175	1.800843	4.086823	14.448015	16.733995	11.968295	14.402316	
176	2.026422	4.312402	14.470573	16.756553	12.013411	14.447432	
177	2.254306	4.540286	14.493361	16.779341	12.058988	14.493009	
178	2.484358	4.770338	14.516366	16.802347	12.104998	14.539019	
