#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-1.698997	-1.755531	-1.698997	-1.755531	-12.905594	-12.964706	
1	-1.698696	-1.755230	-1.695986	-1.752519	-12.901377	-12.960490	
2	-1.697793	-1.754327	-1.686952	-1.743486	-12.888730	-12.947843	
3	-1.696288	-1.752822	-1.671902	-1.728436	-12.867660	-12.926773	
4	-1.694182	-1.750716	-1.650845	-1.707379	-12.838180	-12.897293	
5	-1.691477	-1.748011	-1.623793	-1.680327	-12.800307	-12.859420	
6	-1.688174	-1.744708	-1.590763	-1.647296	-12.754065	-12.813178	
7	-1.684275	-1.740809	-1.551774	-1.608308	-12.699481	-12.758593	
8	-1.679783	-1.736317	-1.506850	-1.563384	-12.636588	-12.695700	
9	-1.674700	-1.731233	-1.456019	-1.512553	-12.565424	-12.624536	
10	-1.669029	-1.725563	-1.399310	-1.455844	-12.486031	-12.545144	
11	-1.662774	-1.719307	-1.336758	-1.393292	-12.398459	-12.457571	
12	-1.655938	-1.712472	-1.268401	-1.324935	-12.302759	-12.361871	
13	-1.648526	-1.705059	-1.194279	-1.250813	-12.198988	-12.258101	
14	-1.640542	-1.697075	-1.114438	-1.170972	-12.087211	-12.146323	
15	-1.631990	-1.688524	-1.028925	-1.085459	-11.967493	-12.026606	
16	-1.622877	-1.679411	-0.937793	-0.994327	-11.839907	-11.899020	
17	-1.613207	-1.669741	-0.841095	-0.897629	-11.704530	-11.763643	
18	-1.602987	-1.659521	-0.738890	-0.795424	-11.561444	-11.620557	
19	-1.592222	-1.648756	-0.631241	-0.687774	-11.410734	-11.469847	
20	-1.580919	-1.637453	-0.518210	-0.574744	-11.252492	-11.311604	
21	-1.569084	-1.625618	-0.399867	-0.456401	-11.086812	-11.145924	
22	-1.556726	-1.613260	-0.276284	-0.332817	-10.913794	-10.972907	
23	-1.543851	-1.600385	-0.147533	-0.204067	-10.733544	-10.792656	
24	-1.530467	-1.587001	-0.013694	-0.070227	-10.546168	-10.605281	
25	-1.516582	-1.573116	0.125154	0.068621	-10.351781	-10.410894	
26	-1.502205	-1.558739	0.268927	0.212393	-10.150499	-10.209612	
27	-1.487344	-1.543878	0.417538	0.361004	-9.942444	-10.001556	
28	-1.472008	-1.528542	0.570898	0.514364	-9.727740	-9.786853	
29	-1.456206	-1.512740	0.728914	0.672380	-9.506518	-9.565630	
30	-1.439949	-1.496482	0.891491	0.834957	-9.278910	-9.338022	
31	-1.423245	-1.479778	1.058532	1.001998	-9.045053	-9.104166	
32	-1.406104	-1.462638	1.229935	1.173401	-8.805089	-8.864201	
33	-1.388538	-1.445072	1.405597	1.349063	-8.559161	-8.618274	
34	-1.370556	-1.427090	1.585413	1.528879	-8.307419	-8.366532	
35	-1.352170	-1.408704	1.769274	1.712740	-8.050014	-8.109126	
36	-1.333391	-1.389925	1.957070	1.900536	-7.787100	-7.846212	
37	-1.314229	-1.370763	2.148687	2.092153	-7.518836	-7.577949	
38	-1.294697	-1.351231	2.344009	2.287476	-7.245384	-7.304497	
39	-1.274806	-1.331340	2.542921	2.486387	-6.966909	-7.026021	
40	-1.254568	-1.311102	2.745300	2.688766	-6.683577	-6.742690	
41	-1.233995	-1.290529	2.951026	2.894492	-6.395561	-6.454673	
42	-1.213100	-1.269634	3.159975	3.103441	-6.103032	-6.162145	
43	-1.191896	-1.248430	3.372021	3.315487	-5.806169	-5.865281	
44	-1.170394	-1.226928	3.587035	3.530501	-5.505148	-5.564261	
45	-1.148609	-1.205143	3.804889	3.748355	-5.200152	-5.259265	
46	-1.126553	-1.183086	4.025452	3.968918	-4.891365	-4.950478	
47	-1.104239	-1.160773	4.248589	4.192056	-4.578972	-4.638085	
48	-1.081681	-1.138215	4.474168	4.417634	-4.263162	-4.322274	
49	-1.058893	-1.115426	4.702052	4.645518	-3.944124	-4.003237	
50	-1.035887	-1.092421	4.932104	4.875570	-3.622052	-3.681164	
51	-1.012679	-1.069213	5.164185	5.107651	-3.297138	-3.356251	
52	-0.989282	-1.045816	5.398156	5.341622	-2.969579	-3.028692	
53	-0.965710	-1.022244	5.633875	5.577341	-2.639572	-2.698685	
54	-0.941978	-0.998511	5.871201	5.814667	-2.307316	-2.366429	
55	-0.918099	-0.974633	6.109990	6.053456	-1.973011	-2.032124	
56	-0.894088	-0.950622	6.350099	6.293565	-1.636858	-1.695971	
57	-0.869959	-0.926493	6.591384	6.534850	-1.299060	-1.358173	
58	-0.845728	-0.902262	6.833698	6.777164	-0.959821	-1.018933	
59	-0.821408	-0.877942	7.076896	7.020362	-0.619343	-0.678456	
60	-0.797015	-0.853548	7.320831	7.264297	-0.277834	-0.336946	
61	-0.772562	-0.829096	7.565357	7.508823	0.064502	0.005390	
62	-0.748065	-0.804599	7.810326	7.753792	0.407459	0.348346	
63	-0.723539	-0.780073	8.055590	7.999056	0.750829	0.691716	
64	-0.698997	-0.755531	8.301003	8.244469	1.094406	1.035294	
65	-0.674456	-0.730990	8.546415	8.489881	1.437983	1.378871	
66	-0.649930	-0.706464	8.791679	8.735145	1.781354	1.722241	
67	-0.625433	-0.681967	9.036648	8.980114	2.124310	2.065197	
68	-0.600980	-0.657514	9.281174	9.224640	2.466646	2.407534	
69	-0.576587	-0.633121	9.525109	9.468575	2.808156	2.749043	
70	-0.552267	-0.608801	9.768307	9.711773	3.148633	3.089520	
71	-0.528036	-0.584569	10.010621	9.954088	3.487873	3.428760	
