#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-0.828827	-0.831848	-0.828827	-0.831848	-12.096710	-12.100067	
1	-0.828526	-0.831547	-0.825815	-0.828836	-12.092494	-12.095851	
2	-0.827622	-0.830644	-0.816781	-0.819803	-12.079847	-12.083204	
3	-0.826117	-0.829139	-0.801731	-0.804753	-12.058777	-12.062134	
4	-0.824012	-0.827033	-0.780674	-0.783695	-12.029296	-12.032653	
5	-0.821306	-0.824328	-0.753622	-0.756643	-11.991424	-11.994781	
6	-0.818003	-0.821025	-0.720592	-0.723613	-11.945181	-11.948538	
7	-0.814105	-0.817126	-0.681603	-0.684625	-11.890597	-11.893954	
8	-0.809612	-0.812633	-0.636680	-0.639701	-11.827704	-11.831061	
9	-0.804529	-0.807550	-0.585848	-0.588869	-11.756540	-11.759897	
10	-0.798858	-0.801879	-0.529139	-0.532161	-11.677148	-11.680505	
11	-0.792603	-0.795624	-0.466588	-0.469609	-11.589575	-11.592932	
12	-0.785767	-0.788788	-0.398230	-0.401252	-11.493875	-11.497232	
13	-0.778355	-0.781376	-0.324109	-0.327130	-11.390105	-11.393462	
14	-0.770371	-0.773392	-0.244268	-0.247289	-11.278327	-11.281684	
15	-0.761820	-0.764841	-0.158755	-0.161776	-11.158609	-11.161966	
16	-0.752706	-0.755728	-0.067622	-0.070643	-11.031024	-11.034381	
17	-0.743037	-0.746058	0.029076	0.026054	-10.895647	-10.899004	
18	-0.732816	-0.735837	0.131280	0.128259	-10.752560	-10.755917	
19	-0.722051	-0.725072	0.238930	0.235909	-10.601850	-10.605207	
20	-0.710748	-0.713769	0.351960	0.348939	-10.443608	-10.446965	
21	-0.698914	-0.701935	0.470303	0.467282	-10.277928	-10.281285	
22	-0.686556	-0.689577	0.593887	0.590866	-10.104911	-10.108268	
23	-0.673680	-0.676702	0.722637	0.719616	-9.924660	-9.928017	
24	-0.660297	-0.663318	0.856477	0.853456	-9.737285	-9.740642	
25	-0.646412	-0.649433	0.995325	0.992304	-9.542898	-9.546255	
26	-0.632034	-0.635056	1.139098	1.136077	-9.341616	-9.344973	
27	-0.617173	-0.620195	1.287709	1.284688	-9.133560	-9.136917	
28	-0.601837	-0.604859	1.441069	1.438047	-8.918857	-8.922213	
29	-0.586036	-0.589057	1.599085	1.596063	-8.697634	-8.700991	
30	-0.569778	-0.572799	1.761662	1.758641	-8.470026	-8.473383	
31	-0.553074	-0.556095	1.928702	1.925681	-8.236169	-8.239526	
32	-0.535934	-0.538955	2.100105	2.097084	-7.996205	-7.999562	
33	-0.518367	-0.521389	2.275768	2.272746	-7.750278	-7.753635	
34	-0.500386	-0.503407	2.455584	2.452562	-7.498536	-7.501893	
35	-0.482000	-0.485021	2.639445	2.636423	-7.241130	-7.244487	
36	-0.463220	-0.466241	2.827240	2.824219	-6.978216	-6.981573	
37	-0.444058	-0.447080	3.018857	3.015836	-6.709952	-6.713309	
38	-0.424526	-0.427547	3.214180	3.211159	-6.436500	-6.439857	
39	-0.404635	-0.407656	3.413091	3.410070	-6.158025	-6.161382	
40	-0.384397	-0.387418	3.615471	3.612450	-5.874693	-5.878050	
41	-0.363825	-0.366846	3.821197	3.818176	-5.586677	-5.590034	
42	-0.342930	-0.345951	4.030146	4.027124	-5.294149	-5.297506	
