#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	-4.232742	-4.232742	-4.232742	-4.232742	-15.414429	-15.414429	
1	-4.232441	-4.232441	-4.229730	-4.229730	-15.410212	-15.410212	
2	-4.231538	-4.231538	-4.220697	-4.220697	-15.397565	-15.397565	
3	-4.230033	-4.230033	-4.205647	-4.205647	-15.376495	-15.376495	
4	-4.227927	-4.227927	-4.184590	-4.184590	-15.347015	-15.347015	
5	-4.225222	-4.225222	-4.157538	-4.157538	-15.309142	-15.309142	
6	-4.221919	-4.221919	-4.124507	-4.124507	-15.262900	-15.262900	
7	-4.218020	-4.218020	-4.085519	-4.085519	-15.208316	-15.208316	
8	-4.213528	-4.213528	-4.040595	-4.040595	-15.145423	-15.145423	
9	-4.208444	-4.208444	-3.989764	-3.989764	-15.074259	-15.074259	
10	-4.202774	-4.202774	-3.933055	-3.933055	-14.994866	-14.994866	
11	-4.196518	-4.196518	-3.870503	-3.870503	-14.907294	-14.907294	
12	-4.189683	-4.189683	-3.802146	-3.802146	-14.811593	-14.811593	
13	-4.182270	-4.182270	-3.728024	-3.728024	-14.707823	-14.707823	
14	-4.174286	-4.174286	-3.648183	-3.648183	-14.596046	-14.596046	
15	-4.165735	-4.165735	-3.562670	-3.562670	-14.476328	-14.476328	
16	-4.156622	-4.156622	-3.471538	-3.471538	-14.348742	-14.348742	
17	-4.146952	-4.146952	-3.374840	-3.374840	-14.213365	-14.213365	
18	-4.136732	-4.136732	-3.272635	-3.272635	-14.070279	-14.070279	
19	-4.125967	-4.125967	-3.164985	-3.164985	-13.919569	-13.919569	
20	-4.114664	-4.114664	-3.051955	-3.051955	-13.761326	-13.761326	
21	-4.102829	-4.102829	-2.933612	-2.933612	-13.595647	-13.595647	
22	-4.090471	-4.090471	-2.810028	-2.810028	-13.422629	-13.422629	
23	-4.077596	-4.077596	-2.681278	-2.681278	-13.242379	-13.242379	
24	-4.064212	-4.064212	-2.547438	-2.547438	-13.055003	-13.055003	
25	-4.050327	-4.050327	-2.408590	-2.408590	-12.860616	-12.860616	
26	-4.035950	-4.035950	-2.264818	-2.264818	-12.659334	-12.659334	
27	-4.021089	-4.021089	-2.116207	-2.116207	-12.451279	-12.451279	
28	-4.005753	-4.005753	-1.962847	-1.962847	-12.236575	-12.236575	
29	-3.989951	-3.989951	-1.804831	-1.804831	-12.015353	-12.015353	
30	-3.973693	-3.973693	-1.642254	-1.642254	-11.787744	-11.787744	
31	-3.956989	-3.956989	-1.475213	-1.475213	-11.553888	-11.553888	
32	-3.939849	-3.939849	-1.303810	-1.303810	-11.313924	-11.313924	
33	-3.922283	-3.922283	-1.128148	-1.128148	-11.067996	-11.067996	
34	-3.904301	-3.904301	-0.948332	-0.948332	-10.816254	-10.816254	
