#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	31.264130	31.267975	31.264130	31.267975	19.461853	19.467346	
1	31.264431	31.268276	31.267141	31.270987	19.466070	19.471563	
2	31.265334	31.269179	31.276175	31.280020	19.478717	19.484210	
3	31.266839	31.270684	31.291225	31.295070	19.499787	19.505280	
4	31.268945	31.272790	31.312282	31.316128	19.529267	19.534760	
5	31.271650	31.275495	31.339334	31.343180	19.567140	19.572633	
6	31.274953	31.278798	31.372365	31.376210	19.613382	19.618875	
7	31.278852	31.282697	31.411353	31.415198	19.667966	19.673459	
8	31.283344	31.287190	31.456277	31.460122	19.730859	19.736352	
9	31.288428	31.292273	31.507108	31.510954	19.802023	19.807516	
10	31.294098	31.297944	31.563817	31.567662	19.881415	19.886909	
11	31.300354	31.304199	31.626369	31.630214	19.968988	19.974481	
12	31.307189	31.311035	31.694726	31.698571	20.064688	20.070181	
13	31.314601	31.318447	31.768848	31.772693	20.168458	20.173952	
14	31.322586	31.326431	31.848689	31.852534	20.280236	20.285729	
15	31.331137	31.334982	31.934202	31.938047	20.399954	20.405447	
16	31.340250	31.344095	32.025334	32.029180	20.527540	20.533033	
17	31.349920	31.353765	32.122032	32.125877	20.662916	20.668410	
18	31.360140	31.363986	32.224237	32.228082	20.806003	20.811496	
19	31.370905	31.374751	32.331887	32.335732	20.956713	20.962206	
20	31.382208	31.386054	32.444917	32.448762	21.114955	21.120448	
21	31.394043	31.397888	32.563260	32.567105	21.280635	21.286128	
22	31.406401	31.410246	32.686844	32.690689	21.453652	21.459146	
23	31.419276	31.423121	32.815594	32.819439	21.633903	21.639396	
24	31.432660	31.436505	32.949434	32.953279	21.821278	21.826772	
25	31.446545	31.450390	33.088282	33.092127	22.015666	22.021159	
26	31.460922	31.464767	33.232054	33.235900	22.216948	22.222441	
27	31.475783	31.479628	33.380665	33.384511	22.425003	22.430496	
28	31.491119	31.494964	33.534025	33.537870	22.639707	22.645200	
29	31.506921	31.510766	33.692041	33.695886	22.860929	22.866422	
30	31.523179	31.527024	33.854618	33.858464	23.088537	23.094030	
31	31.539883	31.543728	34.021659	34.025504	23.322394	23.327887	
32	31.557023	31.560868	34.193062	34.196907	23.562358	23.567851	
33	31.574589	31.578434	34.368724	34.372569	23.808285	23.813779	
34	31.592571	31.596416	34.548540	34.552385	24.060028	24.065521	
35	31.610957	31.614802	34.732401	34.736246	24.317433	24.322926	
36	31.629736	31.633582	34.920197	34.924042	24.580347	24.585840	
37	31.648898	31.652743	35.111814	35.115659	24.848611	24.854104	
38	31.668430	31.672276	35.307137	35.310982	25.122063	25.127556	
39	31.688321	31.692167	35.506048	35.509893	25.400538	25.406032	
40	31.708559	31.712405	35.708427	35.712273	25.683870	25.689363	
41	31.729132	31.732977	35.914153	35.917999	25.971886	25.977380	
42	31.750027	31.753872	36.123102	36.126947	26.264415	26.269908	
43	31.771231	31.775077	36.335148	36.338993	26.561278	26.566772	
44	31.792733	31.796578	36.550162	36.554007	26.862299	26.867792	
45	31.814518	31.818364	36.768016	36.771862	27.167294	27.172788	
46	31.836575	31.840420	36.988579	36.992424	27.476082	27.481575	
47	31.858888	31.862734	37.211716	37.215562	27.788475	27.793968	
48	31.881446	31.885291	37.437295	37.441141	28.104285	28.109778	
49	31.904235	31.908080	37.665179	37.669024	28.423323	28.428816	
50	31.927240	31.931085	37.895231	37.899076	28.745395	28.750888	
51	31.950448	31.954293	38.127312	38.131157	29.070309	29.075802	
52	31.973845	31.977690	38.361283	38.365128	29.397868	29.403361	
53	31.997417	32.001262	38.597002	38.600847	29.727874	29.733368	
54	32.021149	32.024995	38.834328	38.838173	30.060131	30.065624	
55	32.045028	32.048874	39.073117	39.076962	30.394436	30.399929	
56	32.069039	32.072885	39.313226	39.317072	30.730589	30.736082	
