#k1	k2	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
-3.141593	-3.141593	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-3.092505	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-3.043418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.994330	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.945243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.896156	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.847068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.797981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.748894	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.699806	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.650719	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.601631	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.552544	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.503457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.454369	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.405282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.356194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.307107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.258020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.208932	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.159845	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.110758	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.061670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-2.012583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.963495	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.914408	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.865321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.816233	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.767146	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.718058	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.668971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.619884	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.570796	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.521709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.472622	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.423534	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.374447	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.325359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.276272	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.227185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.178097	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.129010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.079922	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-1.030835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-0.981748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-0.932660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-0.883573	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-0.834486	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-0.785398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3.141593	-0.736311	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
