#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	5.420761	16.680740	5.420761	16.680740	-5.661133	5.435059	
1	5.421062	16.681042	5.423773	16.683752	-5.656916	5.439275	
2	5.421966	16.681945	5.432807	16.692786	-5.644269	5.451922	
3	5.423471	16.683450	5.447857	16.707836	-5.623199	5.472992	
4	5.425576	16.685556	5.468914	16.728893	-5.593719	5.502472	
5	5.428282	16.688261	5.495966	16.755945	-5.555846	5.540345	
6	5.431585	16.691564	5.528996	16.788975	-5.509604	5.586587	
7	5.435483	16.695463	5.567985	16.827964	-5.455020	5.641172	
8	5.439976	16.699955	5.612908	16.872888	-5.392127	5.704065	
9	5.445059	16.705038	5.663740	16.923719	-5.320963	5.775229	
10	5.450730	16.710709	5.720449	16.980428	-5.241570	5.854621	
11	5.456985	16.716964	5.783000	17.042980	-5.153998	5.942194	
12	5.463821	16.723800	5.851358	17.111337	-5.058298	6.037894	
13	5.471233	16.731212	5.925479	17.185459	-4.954527	6.141664	
14	5.479217	16.739196	6.005320	17.265300	-4.842750	6.253442	
15	5.487768	16.747748	6.090833	17.350812	-4.723032	6.373159	
16	5.496882	16.756861	6.181966	17.441945	-4.595446	6.500745	
17	5.506551	16.766531	6.278664	17.538643	-4.460069	6.636122	
18	5.516772	16.776751	6.380868	17.640847	-4.316983	6.779208	
19	5.527537	16.787516	6.488518	17.748497	-4.166273	6.929918	
20	5.538840	16.798819	6.601548	17.861528	-4.008031	7.088161	
21	5.550674	16.810653	6.719891	17.979870	-3.842351	7.253841	
22	5.563033	16.823012	6.843475	18.103454	-3.669333	7.426858	
23	5.575908	16.835887	6.972225	18.232205	-3.489083	7.607109	
24	5.589291	16.849271	7.106065	18.366044	-3.301707	7.794484	
25	5.603176	16.863156	7.244913	18.504892	-3.107320	7.988871	
26	5.617554	16.877533	7.388686	18.648665	-2.906038	8.190153	
27	5.632415	16.892394	7.537297	18.797276	-2.697983	8.398209	
28	5.647751	16.907730	7.690657	18.950636	-2.483279	8.612912	
29	5.663552	16.923532	7.848673	19.108652	-2.262057	8.834135	
30	5.679810	16.939789	8.011250	19.271229	-2.034449	9.061743	
31	5.696514	16.956493	8.178290	19.438270	-1.800592	9.295599	
32	5.713654	16.973634	8.349693	19.609673	-1.560628	9.535564	
33	5.731221	16.991200	8.525356	19.785335	-1.314700	9.781491	
34	5.749202	17.009181	8.705172	19.965151	-1.062958	10.033233	
35	5.767588	17.027568	8.889033	20.149012	-0.805553	10.290639	
36	5.786368	17.046347	9.076828	20.336808	-0.542639	10.553553	
37	5.805530	17.065509	9.268445	20.528424	-0.274375	10.821816	
38	5.825062	17.085041	9.463768	20.723747	-0.000923	11.095268	
39	5.844953	17.104932	9.662679	20.922658	0.277553	11.373744	
40	5.865191	17.125170	9.865059	21.125038	0.560884	11.657075	
41	5.885763	17.145743	10.070785	21.330764	0.848901	11.945092	
42	5.906658	17.166638	10.279734	21.539713	1.141429	12.237620	
43	5.927863	17.187842	10.491779	21.751758	1.438292	12.534484	
44	5.949364	17.209344	10.706794	21.966773	1.739313	12.835504	
45	5.971150	17.231129	10.924648	22.184627	2.044309	13.140500	
46	5.993206	17.253185	11.145210	22.405189	2.353096	13.449287	
47	6.015520	17.275499	11.368348	22.628327	2.665489	13.761680	
48	6.038078	17.298057	11.593927	22.853906	2.981299	14.077491	
49	6.060866	17.320845	11.821811	23.081790	3.300337	14.396528	
50	6.083871	17.343851	12.051863	23.311842	3.622409	14.718601	
51	6.107079	17.367059	12.283944	23.543923	3.947323	15.043514	
52	6.130476	17.390456	12.517914	23.777894	4.274882	15.371073	
53	6.154048	17.414028	12.753634	24.013613	4.604889	15.701080	
54	6.177781	17.437760	12.990959	24.250939	4.937145	16.033336	
55	6.201660	17.461639	13.229749	24.489728	5.271450	16.367641	
56	6.225671	17.485650	13.469858	24.729837	5.607603	16.703794	
57	6.249799	17.509778	13.711142	24.971121	5.945401	17.041592	
58	6.274031	17.534010	13.953456	25.213436	6.284641	17.380832	
59	6.298350	17.558330	14.196654	25.456634	6.625118	17.721309	
60	6.322744	17.582723	14.440590	25.700569	6.966627	18.062819	
61	6.347197	17.607176	14.685115	25.945095	7.308963	18.405155	
62	6.371693	17.631673	14.930084	26.190064	7.651920	18.748111	
63	6.396220	17.656199	15.175349	26.435328	7.995290	19.091481	
64	6.420761	17.680740	15.420761	26.680740	8.338867	19.435059	
65	6.445302	17.705282	15.666173	26.926153	8.682444	19.778636	
66	6.469829	17.729808	15.911438	27.171417	9.025815	20.122006	
67	6.494326	17.754305	16.156407	27.416386	9.368771	20.464962	
68	6.518778	17.778758	16.400933	27.660912	9.711107	20.807299	
69	6.543172	17.803151	16.644868	27.904847	10.052617	21.148808	
70	6.567492	17.827471	16.888066	28.148045	10.393094	21.489285	
71	6.591723	17.851702	17.130380	28.390359	10.732334	21.828525	
72	6.615851	17.875831	17.371664	28.631644	11.070132	22.166323	
73	6.639862	17.899842	17.611774	28.871753	11.406285	22.502476	
74	6.663741	17.923721	17.850563	29.110542	11.740590	22.836781	
75	6.687474	17.947453	18.087889	29.347868	12.072846	23.169037	
76	6.711046	17.971025	18.323608	29.583587	12.402853	23.499044	
77	6.734443	17.994422	18.557579	29.817558	12.730412	23.826603	
78	6.757651	18.017630	18.789660	30.049639	13.055325	24.151517	
79	6.780656	18.040635	19.019711	30.279691	13.377398	24.473589	
80	6.803445	18.063424	19.247595	30.507575	13.696435	24.792627	
81	6.826002	18.085982	19.473174	30.733153	14.012246	25.108437	
82	6.848316	18.108295	19.696312	30.956291	14.324638	25.420830	
83	6.870372	18.130352	19.916874	31.176854	14.633426	25.729617	
84	6.892158	18.152137	20.134728	31.394708	14.938422	26.034613	
85	6.913659	18.173639	20.349743	31.609722	15.239442	26.335633	
86	6.934864	18.194843	20.561789	31.821768	15.536306	26.632497	
87	6.955759	18.215738	20.770737	32.030717	15.828834	26.925025	
88	6.976331	18.236311	20.976463	32.236443	16.116850	27.213042	
89	6.996569	18.256549	21.178843	32.438822	16.400182	27.496373	
90	7.016460	18.276440	21.377754	32.637733	16.678657	27.774849	
91	7.035993	18.295972	21.573077	32.833056	16.952109	28.048301	
92	7.055154	18.315134	21.764694	33.024673	17.220373	28.316565	
93	7.073934	18.333913	21.952490	33.212469	17.483287	28.579478	
94	7.092320	18.352299	22.136351	33.396330	17.740693	28.836884	
95	7.110302	18.370281	22.316167	33.576146	17.992435	29.088626	
96	7.127868	18.387847	22.491829	33.751808	18.238362	29.334554	
97	7.145008	18.404987	22.663232	33.923211	18.478326	29.574518	
98	7.161712	18.421691	22.830272	34.090252	18.712183	29.808374	
99	7.177970	18.437949	22.992850	34.252829	18.939791	30.035982	
100	7.193772	18.453751	23.150866	34.410845	19.161014	30.257205	
101	7.209108	18.469087	23.304225	34.564205	19.375717	30.471909	
