# n = 4.8 U  = 20.0 J = 5.000 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       90.131077        4.800110        0.599945      367.568379
       2       87.670063        4.800232        0.529938      371.154479
       3       87.658490        4.800232        0.491852      371.513382
       4       87.680590        4.799988        0.466827      371.665398
       5       87.675526        4.800232        0.450348      371.776449
       6       87.695626        4.799988        0.438995      371.844198
       7       87.689066        4.799988        0.432159      371.871861
       8       87.681466        4.799988        0.426300      371.899702
       9       87.684366        4.799988        0.422394      371.922462
      10       87.694766        4.799988        0.420441      371.937972
      11       87.694144        4.800232        0.419098      371.967443
      12       87.702294        4.800232        0.417633      371.992024
      13       87.699242        4.800232        0.416656      371.997859
      14       87.696942        4.799988        0.416046      371.980101
      15       87.691642        4.799988        0.416046      371.962855
      16       87.691642        4.799988        0.416046      371.962855
