#    itr              mu            ntot            mtot            etot
       1       39.789000        4.999329        1.000671       63.816426
       2       18.592000        4.999023       -0.590942       42.096331
       3       18.688000        4.999023        0.360474       42.385145
       4       18.774000        4.999146       -0.213623       42.485151
       5       18.801000        4.999390        0.125977       42.528598
       6       18.817000        4.999390       -0.074219       42.544051
       7       18.812000        4.999878        0.041992       42.557826
       8       18.825000        4.999146       -0.025146       42.550956
       9       18.820000        4.999146        0.017822       42.543618
      10       18.816000        4.999878       -0.012207       42.557561
      11       18.815000        4.999634        0.008545       42.560815
      12       18.812000        4.999146       -0.006104       42.549134
      13       18.814000        4.999878        0.004395       42.557904
      14       18.815000        4.999878       -0.001465       42.565561
      15       18.812000        4.999878        0.000488       42.565654
      16       18.811000        4.999390       -0.000000       42.556513
      17       18.810000        4.999390        0.000000       42.551442
      18       18.810000        4.999390       -0.000000       42.551442
