#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	69.696655	72.740784	69.696655	72.740784	59.002083	62.101006	
1	69.696956	72.741085	69.699667	72.743796	59.006299	62.105222	
2	69.697860	72.741988	69.708701	72.752829	59.018946	62.117869	
3	69.699365	72.743493	69.723751	72.767879	59.040016	62.138939	
4	69.701471	72.745599	69.744808	72.788936	59.069497	62.168419	
5	69.704176	72.748304	69.771860	72.815988	59.107369	62.206292	
6	69.707479	72.751607	69.804890	72.849019	59.153612	62.252534	
7	69.711378	72.755506	69.843879	72.888007	59.208196	62.307119	
8	69.715870	72.759998	69.888802	72.932931	59.271089	62.370012	
9	69.720953	72.765082	69.939634	72.983762	59.342253	62.441176	
10	69.726624	72.770752	69.996343	73.040471	59.421645	62.520568	
11	69.732879	72.777008	70.058895	73.103023	59.509218	62.608141	
12	69.739715	72.783843	70.127252	73.171380	59.604918	62.703841	
13	69.747127	72.791256	70.201373	73.245502	59.708688	62.807611	
14	69.755111	72.799240	70.281215	73.325343	59.820466	62.919389	
15	69.763662	72.807791	70.366727	73.410856	59.940184	63.039106	
16	69.772776	72.816904	70.457860	73.501988	60.067769	63.166692	
17	69.782446	72.826574	70.554558	73.598686	60.203146	63.302069	
18	69.792666	72.836794	70.656762	73.700891	60.346233	63.445155	
19	69.803431	72.847559	70.764412	73.808541	60.496943	63.595865	
20	69.814734	72.858862	70.877443	73.921571	60.655185	63.754108	
21	69.826568	72.870697	70.995785	74.039914	60.820865	63.919788	
22	69.838927	72.883055	71.119369	74.163498	60.993882	64.092805	
23	69.851802	72.895930	71.248120	74.292248	61.174133	64.273056	
24	69.865186	72.909314	71.381959	74.426088	61.361508	64.460431	
25	69.879070	72.923199	71.520807	74.564936	61.555895	64.654818	
26	69.893448	72.937576	71.664580	74.708708	61.757177	64.856100	
27	69.908309	72.952437	71.813191	74.857319	61.965233	65.064156	
28	69.923645	72.967773	71.966551	75.010679	62.179936	65.278859	
29	69.939446	72.983575	72.124567	75.168695	62.401159	65.500082	
30	69.955704	72.999833	72.287144	75.331272	62.628767	65.727690	
31	69.972408	73.016537	72.454184	75.498313	62.862624	65.961546	
32	69.989548	73.033677	72.625587	75.669716	63.102588	66.201511	
33	70.007115	73.051243	72.801250	75.845378	63.348515	66.447438	
34	70.025096	73.069225	72.981066	76.025194	63.600257	66.699180	
35	70.043482	73.087611	73.164927	76.209055	63.857663	66.956586	
36	70.062262	73.106390	73.352722	76.396851	64.120577	67.219500	
37	70.081424	73.125552	73.544339	76.588468	64.388841	67.487763	
38	70.100956	73.145084	73.739662	76.783791	64.662293	67.761215	
39	70.120847	73.164975	73.938573	76.982702	64.940768	68.039691	
40	70.141085	73.185213	74.140953	77.185081	65.224100	68.323022	
41	70.161658	73.205786	74.346679	77.390807	65.512116	68.611039	
42	70.182553	73.226681	74.555628	77.599756	65.804644	68.903567	
43	70.203757	73.247885	74.767673	77.811802	66.101508	69.200431	
44	70.225259	73.269387	74.982688	78.026816	66.402529	69.501451	
45	70.247044	73.291172	75.200542	78.244670	66.707524	69.806447	
46	70.269100	73.313229	75.421104	78.465233	67.016312	70.115234	
47	70.291414	73.335542	75.644242	78.688371	67.328704	70.427627	
48	70.313972	73.358100	75.869821	78.913949	67.644515	70.743438	
49	70.336760	73.380889	76.097705	79.141833	67.963552	71.062475	
50	70.359765	73.403894	76.327757	79.371885	68.285625	71.384548	
51	70.382974	73.427102	76.559838	79.603966	68.610538	71.709461	
52	70.406371	73.450499	76.793809	79.837937	68.938097	72.037020	
53	70.429943	73.474071	77.029528	80.073656	69.268104	72.367027	
54	70.453675	73.497804	77.266853	80.310982	69.600360	72.699283	
